Abk;Name
Bls A4A;AB
Bls;Bruck a.d.Leitha-West (in Bl)
Bls E1;EK km 1,605
Bls E2;EK km 2,093
Bm;Bruck a.d.Mur (in Bm)
Bm S11;Sbl Bm 1G
Bm S12;Sbl Bm 1G
Bm S13;Sbl Bm 1L
Bm S14;Sbl Bm 1L
Bm S21;Sbl Bm 2G
Bm S22;Sbl Bm 2G
Bm S33;Sbl Bm 3L
Bm S34;Sbl Bm 3L
Bm U2L;Üst Bm 2L
Bns;Bad Neusiedl am See
Bns H1;Weiden am See
Bns H2;Gols
Bns S11;Sbl Bns 1
Bns S12;Sbl Bns 1
Bob;Bischofshofen Fbf (in Bo)
Bo;Bischofshofen (in Bo)
Bof;Bockfließ
Bof H2;Raggendorf Markt
Bof K1;Auersthal (Awanst)
Bo H1;Mitterberghütten
Bo S11;Sbl Bo 1
Bo S12;Sbl Bo 1
Bo S31;Sbl Bo 3
Bo S32;Sbl Bo 3
Bo U2;Üst Bo 2
Boz;Fertöboz
Bpa;Breclav pred
Brd;Brunnenfeld
Brd H1;Lorüns
Bre;Breitenschützing
Brf;Bruck-Fusch
Bri;Brixlegg
Bri H1;Münster-Wiesing
Bri S11;Sbl Bri 1
Bri S12;Sbl Bri 1
Bri S31;Sbl Bri 3
Bri S32;Sbl Bri 3
Bri U2;Üst Bri 2
Brl;Brückl
Bro;Braunau am Inn-Ost (in Bru)
Bru;Braunau am Inn (in Bru)
Bru G;Staatsgrenze nächst Braunau am Inn
B S11;Sbl B 1
B S12;Sbl B 1
Bs;Böckstein
Bse;Wien Brünner Straße (in F)
Bs S11;Sbl Bs 1
Bs S12;Sbl Bs 1
Bs S21;Sbl Bs 2
Bs S22;Sbl Bs 2
Bs S31;Sbl Bs 3
Bs S32;Sbl Bs 3
Bs S41;Sbl Bs 4
Bs S42;Sbl Bs 4
Bst;Brennersee Terminal
Bt;Breitenstein
Bt H1;Wolfsbergkogel
Bt S11;Sbl Bt 1
Bt S12;Sbl Bt 1
Bt S21;Sbl Bt 2
Bt S22;Sbl Bt 2
Bu;Brunn-Maria Enzersdorf (in Bu)
Bun;Brunn-Maria Enzersdorf Nord (in Bu)
Bvs;Bad Vöslau
Bvs H1;Kottingbrunn
Bvs S11;Sbl Bvs 1
Bvs S12;Sbl Bvs 1
Bw;Wien Nordwestbf
Bz;Braz
Bz H1;Hst außer Betrieb
BZI;Betriebsführungszentrale Innsbruck
BZL;Betriebsführungszentrale Linz
Bz S11;Sbl Bz 1
Bz S12;Sbl Bz 1
BZS;Betriebsführungszentrale Salzburg
BZV;Betriebsführungszentrale Villach
BZW;Betriebsführungszentrale Wien
Cat;Wien Mitte - CAT (in Nw)
Cf Z1;Abzw Cf 1
Cf;Zentralfriedhof
Cv;Ceske Velenice
Cv Z9;Ceske Velenice
Da;Dalaas
De;Dellach im Drautal
De H1;Berg im Drautal
Df;Drosendorf
Dg;Dorfgastein
Dk;Deutschkreutz
Dk G;Streckenende 17001 nächst Deutschkreutz
Dl A1;AB km 9,886
Dl A2;AB km 10,742
Dl A3;AB km 10,830
Dlb A1;AB (Awanst)
Dlb A2;AB (Awanst)
Dlb;Deutschlandsberg
Dlb H1;Hollenegg Hst
Dlb H2;Schwanberg
Dlb H3;St.Peter i. Sulmtal
Dlr;Rennbahn Freudenau (in Dl)
Dlt;Terminal Wien Freudenau Hafen (in Dl)
Dl;Wien Donaukaibf (in Dl)
Dnv;Devinska Nova Ves
Do;Dornbirn (in Do)
Doe;Dölsach
Doe H1;Nikolsdorf
Do H1;Haselstauden
Do H2;Schwarzach in Vorarlberg
Dok;Wien Praterstern-Donaukanal (in Nw)
Do S11;Sbl Do 1
Do S12;Sbl Do 1
Dpt;Dorf-Paßthurn
Dr A1;AB (Awanst)
Dr A2;AB (Awanst)
Dr A3;AB (Awanst)
Dr;Arnoldstein
Drg;Drösing
Dr S13;Sbl Dr 1H
Dr S14;Sbl Dr 1H
D;Schwadorf
DUB;Donauuferbahn Fernsteuerzentrale
Due;Dürnkrut
Due H1;Jedenspeigen
Due H2;Sierndorf a.d.March
Dv;Leoben Donawitz
Ebn;Eben im Pongau
Ebn H1;Niedernfritz-St.Martin
Ebr;Ebreichsdorf
Ebr H1;Weigelsdorf
Ebs;Eberstein Lst
Eco;Eco Plus
Edb;Ederbauer
Edb H1;Oberhofen-Zell am Moos
Edb S11;Sbl Edb 1
Edb S12;Sbl Edb 1
Ed H1;Wiener Neustadt Civitas Nova
Edl A1;AB (Awanst)
Edl A2;AB (Awanst)
Edl;Edlitz-Grimmenstein
Ed;Obereggendorf
Edo;Etsdorf-Straß
E;Eisenstadt (in E)
Efd A1;AB
Efd;Eferding
Efd H2;Leumühle
Efd H3;Pupping
Efd H4;Karling
Ef;Ebenfurth (in Ef)
Ef G;Grenze ÖBB - ROeEE
Ef H1;Untereggendorf
Ef W1;Abzww Ebenfurth Nord (in Ef)
Ef W2;Abzww Ebenfurth Süd (in Ef)
Egg;Eggenburg
Egg H1;Hst außer Betrieb
Egg S11;Sbl Egg 1
Egg S12;Sbl Egg 1
Eh;Ehrwald-Zugspitzbahn
Eib;Eichberg
Eib H1;Klamm-Schottwien
Eib S11;Sbl Eib 1
Eib S12;Sbl Eib 1
Eib S21;Sbl Eib 2
Eib S22;Sbl Eib 2
Eib S41;Sbl Eib 4
Eib S42;Sbl Eib 4
Eib U3;Üst Eib 3
Eis A1A;AB (Awanst)
Eis;Eisenerz
Ela;Bad Erlach
Ela H1;Brunn a.d.Pitten
El H1;Wien Praterkai
El H3;Wien Stadlau (in St)
El S11;Sbl El 1
El S12;Sbl El 1
El S21;Sbl El 2
El S22;Sbl El 2
El;Wien Erdbergerlände (in El)
Em;Fertöszentmiklos
En;Ebensee
En H1;Ebensee Landungsplatz
En H2;Traunkirchen Ort
Ens;Enns
Ens H1;Asten-Fisching
Ens S91;Sbl Ens 1
Ens S92;Sbl Ens 1
Enz;Enzersdorf bei Staatz
Enz H1;Kottingneusiedl
Enz K1;Staatz
Er;Altmünster am Traunsee
Erb E1;EK km 30,064
Erb;Ernstbrunn
Erb G;Streckenende 18101 nächst Ernstbrunn
Erf A1;AB
Erf A2;AB
Erf;Erlauf
Erf H1;Petzenkirchen
Ern;Ernsthofen
Ern H1;Dorf a.d.Enns
Ern S11;Sbl Ern 1
Ern S12;Sbl Ern 1
Es;Eis-Ruden
Es H1;Aich im Jauntal
Es K1;Bleiburg Stadt
Esu;Eisenstadt Schule (in E)
Ez;Enzesfeld-Lindabrunn
Ez H1;Hirtenberg
Ez H2;St.Veit a.d.Triesting
Fa;Frastanz
Fam;Fischamend
Fa S11;Sbl Fa 1
Fa S12;Sbl Fa 1
Fas;Faak am See
Fas H1;Ledenitzen
Fb;Feldbach
Fb G;Grenze ÖBB-STLB Km 197,818
Fb H1;Lödersdorf
Fb Z9;Feldbach Landesbahn
Fch A1;AB (Awanst)
Fch;Flirsch
Fch H1;Hst außer Betrieb
Fch H2;Hst außer Betrieb
Fch S31;Sbl Fch 3
Fch S32;Sbl Fch 3
Fch U2;Üst Fch 2
Fch Z1;Abzw Fch 1
Fd A1;AB
Fd;Friedberg
Fd H1H;Dechantskirchen
Fd H1;Pinggau Freizeitzentrum
Feg;Fehring
Feg H1;Hohenbrugg a.d.Raab
Fe H1;St.Peter-Fr. Ort
Fel;Feldkirchen in Kärnten
Fel H1;Tiffen
Fer;Ferlach Lst
Fes;Fentsch-St.Lorenzen
Fe;St.Peter-Freienstein
F;Floridsdorf (in F)
F H1;Siemensstraße (in F)
F H2S;Langenzersdorf
F H3S;Bisamberg
Fh;Furth-Palt
Fh H1;Furth-Göttweig
Fh H2;Hst außer Betrieb
Fi A1;AB (Awanst)
Fib;Bad Fischau-Brunn
Fib H1;Brunn/Schneebergbahn
Fi;Friesach
Fi H1;Micheldorf-Hirt
Fi L2;Hirt Lst (Awanst)
Fi S11;Sbl Fi 1
Fi S12;Sbl Fi 1
Fk;Feldkirch
Fk H1;Feldkirch-Amberg
Fk H1N;Altenstadt
Fk H2N;Gisingen
Fk S11;Sbl Fk 1
Fk S12;Sbl Fk 1
Fld;Felixdorf
Fld H1;Theresienfeld
Fld H2;Wiener Neustadt Nord
Fld S11;Sbl Fld 1
Fld S12;Sbl Fld 1
Fld S31;Sbl Fld 3
Fld S32;Sbl Fld 3
Fld U2;Üst Fld 2
Fm;Frankenmarkt
Fm H1;Pöndorf
Fm S11;Sbl Fm 1
Fm S12;Sbl Fm 1
Fm S31;Sbl Fm 3
Fm S32;Sbl Fm 3
Fm U2;Üst Fm 2
Fn;Fürnitz (in Vsv)
Fn H1;Neuhaus a.d.Gail (in Vsv)
Foe;Föderlach
Foe H1;Villach Seebach
Foe S11;Sbl Foe 1
Foe S12;Sbl Foe 1
Fra;Frantschach-St.Gertraud
Frd;Freiland
Frf;Frankenfels (Gf)
Frf H1;Boding
Fr;Freistadt
Frk;Frauenkirchen
Fro;Frohnleiten (in Fro)
Fro S11;Sbl Fro 1
Fro S12;Sbl Fro 1
Fr S11;Sbl Fr 1
Fr S12;Sbl Fr 1
Frs;Frohnleiten Süd (in Fro)
Frt;Frauental-Bad Gams
F S11;Sbl F 1
F S12;Sbl F 1
F S21;Sbl F 2
F S22;Sbl F 2
Fs;Fels
Fs H1;Wagram-Grafenegg
Ft;Frättingsdorf
Fue A1;AB (Awanst)
Fue;Fürstenfeld
Fue H1;Übersbach
Fu;Frauenberg a.d.Enns
Fuk A1;AB
Fuk;Fürth-Kaprun
Fwa;Feuerwerksanstalt
Fwa H1;Bad Fischau
Fw;Fritzens-Wattens
Fw H1;Volders-Baumkirchen
Fw S11;Sbl Fw 1
Fw S12;Sbl Fw 1
Fw S33;Sbl Fw 13
Fw S34;Sbl Fw 13
Fw S53;Sbl Fw 15
Fw S54;Sbl Fw 15
Fws A1A;AB
Fws A1;AB
Fws A2;AB
Fws A3;AB
Fws A3L;AB
Fws A4L;AB
Fws A5;AB
Fws A6;AB
Fws E1;EK km 17.388
Fws E2E;EK km 19,681
Fws E3;EK km 20,120
Fws E4;EK km 20,843
