Abk;Name
Ht S11;Sbl Ht 1
Ht S12;Sbl Ht 1
Ht S21;Sbl Ht 2
Ht S22;Sbl Ht 2
Ht U3;Üst Ht 3
Ht;Wien Heiligenstadt
H U2;Üst H 2
Hue;Hüttau Terminal
Hu H1;Unter Oberndorf
Hu H2;Maria Anzbach
Hu H3;Hofstatt
Hu H4;Neulengbach Stadt
Hu;Hutten
Hui H1;Gaisruck
Hui;Hausleiten
Hu S11;Sbl Hu 1
Hu S12;Sbl Hu 1
Hu S21;Sbl Hu 2
Hu S22;Sbl Hu 2
Hw H1;Salzburg Kasern
Hw;Hallwang-Elixhausen
Hw S11;Sbl Hw 1
Hw S12;Sbl Hw 1
Hw U2;Üst Hw 2
Hw Z3;Abzw Hw 3
Hz;Wien Mitte (in Nw)
I A1;AB (Awanst)
I A2;AB (Awanst)
Id S11;Sbl Id 1
Id S12;Sbl Id 1
Ids;Wien Süd Güterzentrum Einfahrt Süd (in Id)
Idt;Wien Süd Güterzentrum (in Id)
Id;Wien Blumental (in Id)
If;Bad Ischl Frachtenbf
I H1;Unterberg-Stefansbrücke
I H2;Patsch
Ih H1;Allerheiligenhöfe
Ih H2;Kranebitten
Ih;Innsbruck Hötting (in I)
I;Innsbruck Hbf (in I)
Il A1;AB (Awanst)
Il;Bad Ischl
Im H1;Imsterberg
Im;Imst-Pitztal
Im S11;Sbl Im 1
Im S12;Sbl Im 1
Irn;Irnfritz
Irn S11;Sbl Irn 1
Irn S12;Sbl Irn 1
Itz G;Grenze ÖBB - SLB
Itz;Salzburg Itzling
I U2;Üst I 2
I U3;Üst I 3
I W1;Abzww Innsbruck Hbf Süd (in I)
I Z1;Abzw I 1
Iz;Inzersdorf Ort (in Iz)
Izo;Inzersdorf Ort-Ost (in Iz)
Jb;Jenbach
Jb S12;Sbl Jb 1
Jd G;Staatsgrenze nächst Jennersdorf
Jd H1;Hst außer Betrieb
Jd;Jennersdorf
Jg;Judenburg
J;Jedlersdorf (in F)
Jn;Jedlersdorf-Gleisgr 300 (in F)
Jp S11;Sbl Jp 1
Jp S12;Sbl Jp 1
Jp S21;Sbl Jp 2
Jp S22;Sbl Jp 2
Jp;St.Johann im Pongau
Js;Jesenice
Jti A1;AB (Awanst)
Jti A2;AB (Awanst)
Jti H1;Oberndorf in Tirol
Jti S11;Sbl Jti 1
Jti S12;Sbl Jti 1
Jti;St.Johann in Tirol
Kag;Kalwang
Kag S11;Sbl Kag 1
Kag S12;Sbl Kag 1
Kai A1;AB (Awanst)
Kai;Kainisch
Ka;Kapfenberg
Kal;Kalsdorf (in Kal)
Kam E1;EK km 148,691
Kam E2;EK km 155,742
Kam;Kadolz-Mailberg
Kap A1;AB
Kar A1;AB (Awanst)
Kar;Abzw Knoten Karlsbach
Kar H1;Neumarkt a.d.Y-Karlsbach
Kar H2;Blindenmarkt
Kar S11;Sbl Kar 1
Kar S12;Sbl Kar 1
Kar S21;Sbl Kar 2
Kar S22;Sbl Kar 2
Kar S31;Sbl Kar 3
Kar S32;Sbl Kar 3
Kar S41;Sbl Kar 4
Kar S42;Sbl Kar 4
Kar S51;Sbl Kar 5
Kar S52;Sbl Kar 5
Kar S91;Sbl Kar 11
Kar S92;Sbl Kar 11
Kar S93;Sbl Kar 12
Kar S94;Sbl Kar 12
Kar S95;Sbl Kar 14
Kar S96;Sbl Kar 14
Kar S97;Sbl Kar 15
Kar S98;Sbl Kar 15
Kar U3;Üst Kar 13
Kas;Kalsdorf-Süd (in Kal)
Kat;Kalsdorf-Terminal (in Kal)
Kch;Kirchberg am Wagram
Kd A1;AB (Awanst)
Kd H1;Spielberg
Kd;Knittelfeld
Kd S11;Sbl Kd 1
Kd S12;Sbl Kd 1
Kek;Kematen-Piberbach
Ke;Krieglach
Kel A1;AB (Awanst)
Kel H1;Markt Sachsenburg
Kel;Kleblach-Lind
Ken H1;Klosterneuburg-Kierling
Ken H2;Unter Kritzendorf
Ken;Klosterneuburg-Weidling
Ken S11;Sbl Ken 1
Ken S12;Sbl Ken 1
Kf H1;Lasberg-St.Oswald
Kf H2;Hst außer Betrieb
Kf;Kefermarkt
Kfl;Köflach
Kf S11;Sbl Kf 1
Kf S12;Sbl Kf 1
Kft;Krift
Kg;Kleinreifling
Kg S11;Sbl Kg 1
Kg S12;Sbl Kg 1
K G;Staatsgrenze nächst Kufstein
K H1;Schaftenau
K H2;Langkampfen
Ki H1;Allerheiligen-Mürzhofen
Ki;Kindberg
Kik;Kirchdorf a.d.Krems
Kip H1;Schwerbach
Kip;Kirchberg/P.
Kir;Kirchbichl
Kir S11;Sbl Kir 1
Kir S12;Sbl Kir 1
Ki S11;Sbl Ki 1
Ki S12;Sbl Ki 1
Kit H1;Brixen im Thale
Kit H2;Windau
Kit H3;Hopfgarten Berglift
Kit K1;Westendorf
Kit;Kirchberg in Tirol
Kit S11;Sbl Kit 1
Kit S12;Sbl Kit 1
Kit S31;Sbl Kit 3
Kit S32;Sbl Kit 3
Kit S41;Sbl Kit 4
Kit S42;Sbl Kit 4
Kit U2;Üst Kit 2
K;Kufstein
Kla;Klais
Klg H1;Weinburg
Klg H2;Kammerhof
Klg;Klangen
Kl H1;Mühldorf-Möllbrücke
Kl;Kolbnitz
Kln;Klein Schönau
Kl S11;Sbl Kl 1
Kl S12;Sbl Kl 1
Kls;Kaiserebersdorf (in Kls)
Kls S11;Sbl Kls 1
Kls S12;Sbl Kls 1
Kls S21;Sbl Kls 2
Kls S22;Sbl Kls 2
Kl U2;Üst Kl 2
Kms;Kammer-Schörfling
Kn;Wörgl Kundl (in W)
Ko A1A;AB (Awanst)
Ko A1;AB
Ko A2;AB
Ko A3;AB
Ko A4;AB
Ko H1;Leobendorf-Burg Kreuzenstein
Ko H2;Spillern
Ko;Korneuburg
Ko S21;Sbl Ko 2
Ko S22;Sbl Ko 2
Ko S31;Sbl Ko 3
Ko S32;Sbl Ko 3
Ko U1;Üst Ko 1
Kra A1;AB (Awanst)
Kra;Kraubath
Kra U1;Üst Kra 1
Krd H1;Pritschitz
Krd;Krumpendorf
Kre A1;AB (Awanst)
Kre;Kremsmünster
Kr;Krems a.d.Donau (in Kr)
Krl;Krimml
Krn;Krems a.d.Donau-Nord (in Kr)
Kro H1;Gaisfeld
Kro K2;Krems in Steiermark H-Lst
Kro;Krottendorf-Ligist
Kro L1;Lst (Awanst)
Krt;Kirchstetten
Krt S11;Sbl Krt 1
Krt S12;Sbl Krt 1
Krv;Krems a.d.Donau-Vorbf (in Kr)
K S11;Sbl K 1
K S12;Sbl K 1
K S31;Sbl K 3
K S32;Sbl K 3
Ksp H1;Hst außer Betrieb
Ksw;Schwechat West (in Kls)
Ktf;Klagenfurt Fbf (in Kt)
Kt H1;Klagenfurt Lend
Kt H2;Klagenfurt West
Kt H3A;Maria Rain
Kt;Klagenfurt Hbf (in Kt)
Kto;Klagenfurt Ostbf (in Kt)
Kt S11;Sbl Kt 1
Kt S12;Sbl Kt 1
Kts;Klagenfurt Süd (in Kt)
Ktt G;Staatsgrenze nächst Kittsee
Ktt;Kittsee
K U2;Üst K 2
Kue;Linz Kleinmünchen
Kue S11;Sbl Kue 1
Kue S12;Sbl Kue 1
Kue S21;Sbl Kue 2
Kue S22;Sbl Kue 2
Ku H1;Schiflugschanze Kulm
Kun;Küpfern (in Kun)
Kus;Klaus
Ku;Tauplitz
Kw;Lanzenkirchen
Kzb H1;Kitzbühel Hahnenkamm
Kzb H2;Schwarzsee
Kzb;Kitzbühel
Kzb S11;Sbl Kzb 1
Kzb S12;Sbl Kzb 1
Kz H1;Höflein a.d.Donau
Kz H2;Greifenstein-Altenberg
Kz;Kritzendorf
Kz S11;Sbl Kz 1
Kz S12;Sbl Kz 1
Kz S21;Sbl Kz 2
Kz S22;Sbl Kz 2
La A1S;AB (Awanst)
Laa A1;AB
Laa;Laa a.d.Thaya
Lad H1;St.Georgen am Längsee
Lad;Launsdorf-Hochosterwitz
Lad S11;Sbl Lad 1
Lad S12;Sbl Lad 1
Lae H1;Unter Buchberg
Lae K1;Winterbach
Lae K2;Puchenstuben
Lae;Laubenbachmühle
Lag H1;Harruck
Lag;Langschlag
La H1;Lambach Markt (in La)
La H2;Neukirchen bei Lambach
Lah;Laßnitzhöhe
Lak;Laakirchen (Gf)
La;Lambach (in La)
Lan;Langen am Arlberg
Lan Z1;Abzw Lan 1
La S11;Sbl La 1
La S12;Sbl La 1
La S21;Sbl La 2
La S22;Sbl La 2
Las E1;EK km 133,662
Las H1;Hst außer Betrieb
Las;Laa a.d.Thaya Stadt
La W1;Abzww Lambach-Ost (in La)
La W2;Abzww Lambach-West (in La)
Law A1;AB (Awanst)
Law A2A;AB (Awanst)
Law A3;AB
Law H1;Lahnstein
Law H2;Steinkogl
Law;Langwies
Laz;Laßnitzthal
Lb H1;Sollenau
Lb;Leobersdorf
Lbo A1;AB (Awanst)
Lbo A2;AB (Awanst)
Lbo H1;Lieboch Schadendorf
Lbo;Lieboch
Lb S11;Sbl Lb 1
Lb S12;Sbl Lb 1
Lb S21;Sbl Lb 2
Lb S22;Sbl Lb 2
Lca;Linz Chemie
Lc G;Staatsgrenze nächst Lochau-Hörbranz
Lc;Lochau-Hörbranz
Lcr;Linz Vbf-Logistikcenter (in Lzv)
Lc S12;Sbl Lc 1
Ldf H1;Paasdorf
Ldf;Ladendorf
Ldf S11;Sbl Ldf 1
Ldf S12;Sbl Ldf 1
Ld H1;Eschenau
Ld;Lend
Ld S11;Sbl Ld 1
Ld S92;Sbl Ld 1
Leb;Leoben Hbf (in Leb)
Leb S21;Sbl Leb 2
Leb S22;Sbl Leb 2
Leb U1;Üst Leb 1
Leg;Leoben Göss
Lei;Leibnitz
Le;Landeck-Zams
Ler H1;Lähn
Ler;Lermoos
Le S11;Sbl Le 1
Le S12;Sbl Le 1
Lew;Leoben West (in Leb)
Lez H1;Winkl im Rosental
Lez;Ledenitzen Ost
Lez S11;Sbl Lez 1
Lez S12;Sbl Lez 1
Lfg;Salzburg Liefering (in Sb)
Lf H1;Dürnbach
Lf;Lahrndorf
Lfs;Franckstraße (in Lzv)
Lga;Wien Atzgersdorf (in Lg)
Lgf;Liesing-Fbf (in Lg)
Lg H1;Perchtoldsdorf
Lg;Liesing (in Lg)
Lha E2;EK Stadlbauerstraße
Lha;Linz Vbf-Stadthafen (in Lzv)
Lhs;Linzerhaus
Lie A1A;AB (Awanst)
Lie A1;AB (Awanst)
Lie A2;AB (Awanst)
Lie A3;AB (Awanst)
Lie H1;Lienz-Peggetz
Lie;Lienz
Lif H1;Tauchendorf-Haidensee
Lif;Liebenfels
Lil A1;AB
Lil A2;AB
Lil H1;Marktl
Lil H2;Traisen Markt
Lil;Lilienfeld
Lim B11;Bl Lim 1
Lim B12;Bl Lim 1
Lim H1;Hst außer Betrieb
Lim H2;Hst außer Betrieb
Lim;Limberg-Maissau
Lir;Lindau-Reutin
Lis H1;Gobelsburg
Lis;Langenlois
Lit;Litschau
Ll A1;AB (Awanst)
Llb;Leonding Lokalbahn
Llg;Gaumberg
L;Lindau Hbf
Ll;Landl
Lma;Linz Vbf Abrollstellwerk
Lm;Linz Vbf-Ost Einfahrgr (in Lzv)
Ln A1;AB (Awanst)
Ln A2;AB (Awanst)
Lna H1;Riedenburg
Lna;Wolfurt-Lauterach Nord (in Wo)
Lng G;Streckenende 26001
Lng H1;Lenzing Ort
Lng H2;Siebenmühlen-Rosenau
Lng;Lenzing
Ln H1;Wörschach Schwefelbad
Ln;Liezen
Lnn H1;Oisnitz-St.Josef
Lnn H2;Alling-Tobisegg
Lnn;Lannach
Ln Z1;Abzw Ln 1
Lof;Loifarn (in Lof)
Lof S21;Sbl Lof 2
Lof S22;Sbl Lof 2
Lof Z1;Abzw Lof 1
Loi;Loich (Gf)
Lo;Linz Vbf-Ost Reihungsgr (in Lzv)
Lon H1;Hst außer Betrieb
Lon;Losenstein
Los H1;Melk
Los;Loosdorf
Los S11;Sbl Los 1
Los S12;Sbl Los 1
Los S21;Sbl Los 2
Los S22;Sbl Los 2
Los S41;Sbl Los 4
Los S42;Sbl Los 4
Los S51;Sbl Los 5
Los S52;Sbl Los 5
Los U3;Üst Los 3
Lp;Leopoldau
Lr;Linz Vbf-West (in Lzv)
Lsa H1;Lauterach (in Wo)
Lsa;Wolfurt-Lauterach Süd (in Wo)
Lsf;Loifarn-Süd (in Lof)
Ls G;Staatsgrenze nächst Loipersbach-Schattendorf
Ls;Loipersbach-Schattendorf
Lt A1;AB (Awanst)
Lt H2;Schlins-Beschling
Lt K1;Nenzing (Awanst)
Lt;Ludesch
Lt U1;Üst Lt 1
Lu H1;Katsdorf
Lu;Lungitz
Lu S11;Sbl Lu 1
Lu S12;Sbl Lu 1
Lva;Linz Vbf-Ausfahrgr (in Lzv)
Lv;Linz Vbf-Durchfahrgr (in Lzv)
Lwa;Wolfurt-Lauterach West (in Wo)
Lx A1;AB (Awanst)
Lx A2;AB
Lx;Laxenburg-Biedermannsdorf (Gf)
L Z9;Lindau-Aeschach
Lz G;Grenze ÖBB-LILO
Lzg;Linz Gaumberg (in Lz)
Lz H1;Leonding
Lz H1S;Untergaumberg (in Lz)
Lz H1W;Linz Oed
Lz H2;Pasching
Lz;Linz Hbf (in Lz)
Lz S11;Sbl Lz 1
Lz S12;Sbl Lz 1
Lz S31;Sbl Lz 3
Lz S32;Sbl Lz 3
Lz U2;Üst Lz 2
Lzv G;Grenze ÖBB - Voest Anschluss I
Lzv;Linz Vbf (in Lzv)
Lzv W1;Abzww Str 20814 (in Lzv)
Lzv W2;Anschluss Voest Alpine Linz III (in Lzv)
Lzv W3;Anschluss Voest Alpine Linz I (in Lzv)
Lzw;Linz Hbf Westbrücke (in Lz)
M A1;AB (Awanst)
Mac G;Staatsgrenze nächst Marchegg
Mac;Marchegg
Mae;Maria Ellend (in Mae)
Mag H1;Niederöblarn
Mag;St.Martin am Grimming
Ma H1;Oberfalkenstein
Mah;Mariahof-St.Lambrecht
Mak A1;AB (Awanst)
Mak A2;AB (Awanst)
Mak;Marchtrenk
Mak S13;Sbl Mak 1P
Mak S14;Sbl Mak 1P
Mak S21;Sbl Mak 2
Mak S22;Sbl Mak 2
Mak Z1;Abzw Mak 1
Mal A1;AB (Awanst)
Mal A2;AB (Awanst)
Mal H1H;Hst außer Betrieb
Mal H1;Klagenfurt Annabichl
Mal;Maria Saal
Mal S11;Sbl Mal 1
Mal S12;Sbl Mal 1
Mal S21;Sbl Mal 2
Mal S22;Sbl Mal 2
Ma;Mallnitz-Obervellach (in Ma)
Man;Mannersdorf (in Goe)
Mar;Maria Lanzendorf
Ma S11;Sbl Ma 1
Ma S12;Sbl Ma 1
Ma S31;Sbl Ma 3
Ma S32;Sbl Ma 3
Mas A1A;AB (Awanst)
Mas A1;AB (Awanst)
Mas H1H;Kapfenberg Fachhochschule
Mas S11;Sbl Mas 1
Mas S12;Sbl Mas 1
Mas;St.Marein-St.Lorenzen
Mat;Wien Matzleinsdorf (in Wbf)
Ma U2;Üst Ma 2
Mau H1;St.Georgen a.d.Mattig
Mau;Mauerkirchen
Maw;Martinswand
Maz;Mariazell (Gf)
Mb H1H;Mistelbach Stadt
Mb H2H;Siebenhirten
Mb H3;Hörersdorf
Mb;Mistelbach
Mbo;Maribor
Mdg;Mandling
Md H1;Guntramsdorf-Thallern
Md H2;Gumpoldskirchen
Md;Mödling
Md S11;Sbl Md 1
Md S12;Sbl Md 1
Md S31;Sbl Md 3
Md S32;Sbl Md 3
Md U2;Üst Md 2
Mei;Matrei
Mes H1;Raaba
Mes H2;Hart bei Graz
Mes;Messendorf
Mfl;Freilassing
M H1;Traboch-Timmersdorf
Mh A1A;AB (Awanst)
Mh A1;AB (Awanst)
Mhf;Mönchhof-Halbturn
Mh H1;St.Pantaleon
Mh;Mauthausen
Mho H1;Furth
Mho K1;Uttendorf-Helpfau
Mho;Mattighofen
Mh Z1;Abzw Mh 1
Mib;Mitterweißenbach
Mid A1;AB (Awanst)
Mid A2;AB (Awanst)
Mid;Micheldorf
Mig H1;Hagenau im Innkreis
Mig;Mining
Mig W1;Abzww Str 26101 (in Bru)
Mil;Mittersill
Mim K1;Unter Waltersdorf (Awanst)
Mim;Mitterndorf-Moosbrunn
Mim S11;Sbl Mim 1
Mim S12;Sbl Mim 1
Mis E1;EK km 51,252
Mis G;Streckenende 18101 nächst Mistelbach Lokalbahn
Mis L1;ÖBH Rampe Mistelbach
Mis;Mistelbach Lokalbahn
Mit;Mitterbach (Gf)
Mi;Wien Meidling (in Wbf)
Mld;Müllendorf
Mld S11;Sbl Mld 1
Mld S12;Sbl Mld 1
Mlx;W.Mat.-Laxenburg (in Wbf)
Mn A1;AB (Awanst)
Mn A1H;AB
Mn H1;Hart im Innkreis
Mn;St.Martin im Innkreis
Mog;Mogersdorf
Mos A1;AB (Awanst)
Mos H1;Trasdorf
Mos H2H;Sitzenberg-Reidling
Mos H3;Gemeinlebarn
Mos;Moosbierbaum-Heiligeneich
Mos S11;Sbl Mos 1
Mos S12;Sbl Mos 1
Mot;St.Michael-Ost (in M)
Mp H1;Wenns
Mp;Mühlbach im Pinzgau
Mr H1;Marz-Rohrbach
Mr;Mattersburg (in Mr)
Mro Z9;Rosenheim
M S11;Sbl M 1
M S12;Sbl M 1
M S13;Sbl M 1K
M S14;Sbl M 1K
M;St.Michael (in M)
Ms;Voest Alpine Linz
Msw;Mannswörth (in Kls)
Mt G;Staatsgrenze nächst Lustenau
Mth;Mallnitz-Hintertal (in Ma)
Mtn;Mallnitz-Nord (in Ma)
Mt;St.Margrethen
Mue;Münchendorf
Mue S11;Sbl Mue 1
Mue S12;Sbl Mue 1
Mug;Mureck
Mu;Mautern
Mun H1;Schalchen-Mattighofen
Mun;Munderfing
Mu S11;Sbl Mu 1
Mu S12;Sbl Mu 1
Mv;Mitterdorf-Veitsch
Mw;Mittenwald
Mwt;St.Michael-West (in M)
Mx;Mixnitz-Bärenschützklamm
Mx S11;Sbl Mx 1
Mx S12;Sbl Mx 1
Mx S31;Sbl Mx 3
Mx S32;Sbl Mx 3
Mx U2;Üst Mx 2
Mzg;Mürzzuschlag-Güterbf (in Mz)
Mz H1;Hönigsberg
Mz H2;Langenwang
Mz;Mürzzuschlag (in Mz)
Mz S11;Sbl Mz 1
Mz S12;Sbl Mz 1
Mzs;Mürzzuschlag Süd (in Mz)
Mz U2;Üst Mz 2
Nbb;Wiener Neustadt Hbf-Schleppbf (in Nb)
Nbf;Wiener Neustadt Hbf-Gleisgr 600 (in Nb)
Nb H1A;Wiener Neustadt Anemonensee
Nb H1;Katzelsdorf
Nb H1S;St.Egyden
Nbn;Wiener Neustadt Hbf-Gleisgr 200 (in Nb)
Nb S11;Sbl Nb 1
Nb S12;Sbl Nb 1
Nb S13;Sbl Nb 1P
Nb S14;Sbl Nb 1P
Nb S31;Sbl Nb 3
Nb S32;Sbl Nb 3
Nbs;Wiener Neustadt Hbf-Gleisgr 700 (in Nb)
Nb U2;Üst Nb 2
Nb W1;Abzww Ne (in Nb)
Nb;Wiener Neustadt Hbf (in Nb)
Nd G;Staatsgrenze nächst Nendeln
Nd H1;Forst Hilti
Nd H1H;Schaan-Vaduz
Nd;Nendeln
Nef H1;Hst außer Betrieb
Nef H2;Iglmühle
Nef;Neufelden
Nek;Neunkirchen N.Ö.
Nel;Neudörfl
Nen H1;Kleinzell
Nen;Neuhaus-Niederwaldkirchen
Ner H2;Rosental
Ner;Neukirchen am Großvenediger
Nes L1;Wildbad-Einöd Lst (Awanst)
Nes;Neumarkt in Steiermark
Nes U1;Üst Nes 1
Net H1;Nöstlbach-St.Marien
Net;Nettingsdorf
Neu H1;Kimpling
Neu H1P;Wendling
Neu H2;Kumpfmühl
Neu;Neumarkt-Kallham (in Neu)
Neu S21;Sbl Neu 2
Neu S22;Sbl Neu 2
Neu U1;Üst Neu 1
Ne;Wiener Neustadt Hbf-Einfahrbf (in Nb)
New;Neumarkt-Kallham West (in Neu)
Nfl A1;AB
Nfl;Neufeld a d Leitha
Nfl S11;Sbl Nfl 1
Nfl S11;Sbl Nfl 1
Nf;Nußdorf
Nf S11;Sbl Nf 1
Nf S12;Sbl Nf 1
Ngg;Wiener Neustadt Hbf-Gleisgr 500 (in Nb)
Ng;Wien Praterstern-Fbf (in Nw)
Nh H1;Rabensburg
Nh;Hohenau
Ni A1;AB (Awanst)
Nie;Nieder Fladnitz
Nif G;Staatsgrenze nächst Nickelsdorf
Nif;Nickelsdorf
Ni;Niklasdorf
Ni S11;Sbl Ni 1
Ni S12;Sbl Ni 1
Nkr;Neuhofen a.d.Krems
Nk;St.Nikola-Struden
Nl H1;Ollersbach
Nl;Neulengbach
Nl S11;Sbl Nl 1
Nl S12;Sbl Nl 1
N;Neubau-Kreuzstetten
Nn;Neu Nagelberg
Noe H1;Emmersdorf
Noe;Nötsch
Nrr;Ladestelle Neukirchen
Nr;Wiener Neustadt Hbf-Ausfahrbf (in Nb)
ns A1;AB (Awanst)
Nsf;Friedburg (in Nst)
Ns G;Grenze ÖBB-RoeEE Km 102,154
Nsi A1;AB
Nsi H1;Lengdorf
Nsi;Niedernsill
Nsl;Steindorf-Lagermax (in Nst)
Ns;Neusiedl am See
Nst H1H;Straßwalchen West (in Nst)
Nst H1;Weng
Nst H2H;Lengau
Nst H2;Wallersee
Nst H3H;Teichstätt
Nst H4H;Achenlohe
Nst H5H;Munderfing Dampfsäge
Nst K1;Neumarkt-Köstendorf (Awanst)
Nst S11;Sbl Nst 1
Nst S12;Sbl Nst 1
Nst S31;Sbl Nst 3
Nst S32;Sbl Nst 3
Nst;Steindorf bei Straßwalchen (in Nst)
Nst U2;Üst Nst 2
Nw H1H;Vienna Biocenter-St.Marx
Nw H1;Wien Traisengasse
Nw H2;Handelskai
Nw H3;Hst außer Betrieb
Nwi;Wien Praterstern-Innstraße (in Nw)
Nw S11;Sbl Nw 1
Nw S12;Sbl Nw 1
Nw S21;Sbl Nw 2
Nw S22;Sbl Nw 2
Nw S31;Sbl Nw 3
Nw S32;Sbl Nw 3
Nw S41;Sbl Nw 4
Nw S42;Sbl Nw 4
Nw U11;Üst Nw 11
Nw;Wien Praterstern (in Nw)
Oa H1;Hallstatt
Oa H2;Obersee
Oa;Obertraun-Dachsteinhöhlen
Obd A1;AB (Awanst)
Obd L1;Taxwirt Lst (Awanst)
Obd;Obdach
Ob H1H;Oberland Haltestelle (in Ob)
Ob H2;Gaflenz
Ob;Oberland (in Ob)
Obw A1A;AB
Obw A2;AB
Obw A3;AB
Obw G;Grenze ÖBB - SRB
Obw;Oberwart
Odf H1;Pillichsdorf
Odf;Obersdorf
Od H1;Irschen
Od;Oberdrauburg
Oeb H1;Stein a.d.Enns
Oeb;Öblarn
Oed H1;Miesenbach-Waidmannsfeld
Oed;Oed
Oep H1;Schlägl
Oep;Oepping
O;Floridsdorf-Fbf (in F)
Of;Wien Hauptbahnhof Autoreisezug (in Wbf)
Ogr;Ober Grafendorf
Oh;Hollabrunn
Oi H1;St.Urban am Ossiachersee
Oi;Ossiach-Bodensdorf
Ok H1;Breitensee
Ok;Ottakring
Ola A1;AB (Awanst)
Ola;Oberlaa
On;Oberweiden
Op A1;AB (Awanst)
Op A2;AB (Awanst)
Op A3;AB (Awanst)
Op A4;AB (Awanst)
Opa;Opel Austria
Op H1;Wopfing
Op;Ober Piesting
Ort H1;Pernitz Wipfelhofstraße
Ort;Ortmann
Ost;Wien Hbf-Südosttangente (in Wbf)
Osw;W.Mat.-Oswaldgasse (in Wbf)
Otg A1;AB
Otg H1;Bergern
Otg H2;Holzleithen
Otg H3;Hausruck
Otg H4;Eberschwang
Otg H5;Oberbrunn
Otg;Ottnang-Wolfsegg
Ott H1;Walding
Ott;Ottensheim
Ow;Wien Westbf-Fbf (in Ws)
Oz;Ötztal
P A1;AB (Awanst)
P A2;AB (Awanst)
Pag;Passau Gbf
Pam G;Staatsgrenze nächst Pamhagen
Pam K1;Fertöujlak mrh
Pam K2;Fertöszeplak-Fertöd mrh
Pam;Pamhagen
Pa;Passau Hbf
Par A1;AB (Awanst)
Par H1;Neudorf
Par L1;Neudorf Lst (AWANST)
Par;Parndorf
Par S11;Sbl Par 1
Par S12;Sbl Par 1
Pau A1;AB (Awanst)
Pau H1;Hst außer Betrieb
Pau;Paudorf
Pb S21;Sbl Pb 2
Pb S22;Sbl Pb 2
Pb S91;Sbl Pb 12
Pb S92;Sbl Pb 12
Pb;St.Pölten Hbf (in Pb)
Pb Z1;Abzw Pb 1
Pd H1;Markersdorf a.d.Pielach
Pd;Prinzersdorf
Pd S11;Sbl Pd 1
Pd S92;Sbl Pd 1
Pd U2;Üst Pd 2
Peb H1;Hst außer Betrieb
Peb;Pettenbach
Pem H1;Pernitz Raimundviertel
Pem;Pernitz-Muggendorf
Pet;Petronell-Carnuntum
Pew;Pernhofen-Wulzeshofen
Pf A1;AB (Awanst)
Pf H1A;Paternion-Feistritz Haltestelle (in Pf)
Pf H2A;Weissenstein-Kellerberg
Pf H3;Puch
Pf;Paternion-Feistritz (in Pf)
Pf S11;Sbl Pf 1
Pf S12;Sbl Pf 1
Pfs;Pfronten-Steinach
Pfs Z9;Pfs Z9
Pg G;Grenze ÖBB-STLB Km 190,945
Pg H1;Stübing
Pg;Peggau-Deutschfeistritz
Pg S11;Sbl Pg 1
Pg S12;Sbl Pg 1
Pg S31;Sbl Pg 3
Pg S32;Sbl Pg 3
Pg U2;Üst Pg 2
Pg Z9;Deutschfeistritz
P H1;Aisthofen
Ph;Pöham
Ph S11;Sbl Ph 1
Ph S12;Sbl Ph 1
Pic;Pichl
Pie H1;Dreistetten
Pie;Piesting
Pi;Pians
Piv H1;Roßleithen
Piv;Pießling-Vorderstoder
Piv S11;Sbl Piv 1
Piv S12;Sbl Piv 1
Pkf;Pinkafeld
Pk;Penk
Pk S11;Sbl Pk 1
Pk S12;Sbl Pk 1
Pks A1;AB
Pks;Pinkafeld Schule
Plk H1;Altenhof
Plk;Plank am Kamp
Pls;Pöls
Pl;St.Pölten-Kaiserwald
Pm H1;Pressbaum
Pm H2;Dürrwien
Pm S11;Sbl Pm 1
Pm S12;Sbl Pm 1
Pms;Premstätten-Tobelbad
Pm;Tullnerbach-Pressbaum
Pn;Pernegg
Poe A1H;AB (Awanst)
Poe A1W;AB
Poe H1;Krummnußbaum
Poe H2;Säusenstein
Poe;Pöchlarn
Poe S12;Sbl Poe 1
Poe S13;Sbl Poe 1
Poe S21;Sbl Poe 2
Poe S22;Sbl Poe 2
Poe S31;Sbl Poe 3
Poe S32;Sbl Poe 3
Poe S91;Sbl Poe 11
Poe S92;Sbl Poe 11
Poe S94;Sbl Poe 13
Poe S95;Sbl Poe 13
Poe U12;Üst Poe 12
Pow H1;Töschling
Pow;Pörtschach am Wörthersee
Pow S11;Sbl Pow 1
Pow S12;Sbl Pow 1
P;Perg
Pra A1;AB (Awanst)
Pra H2;Peterskirchen
Pra;Pram-Haag
Pre;Pregarten
Pre S11;Sbl Pre 1
Pre S12;Sbl Pre 1
Pr H1;Küb
Pr;Payerbach-Reichenau
Pr S11;Sbl Pr 1
Pr S12;Sbl Pr 1
Pr S21;Sbl Pr 2
Pr S22;Sbl Pr 2
Prv;Prevalje
Psb;Piesendorf Bad
Ps H3;Jesdorf-Bergfried
Ps;Piesendorf
Pta;Bratislava-Petrzalka
Pt;Pottenstein a.d.Triesting
Ptt A1;AB (Awanst)
Ptt H1;Sautern-Schiltern
Ptt;Pitten
Pub E1;EK km 0,279
Pub H1;Hengsttal
Pub;Puchberg am Schneeberg
Pue;Pürbach-Schrems
Pu;Graz Puntigam
Pu H1A;Feldkirchen-Seiersberg
Pu H1;Flughafen Graz Feldkirchen
Pur H1H;Breitenbrunn
Pur H2H;Winden
Pur H3H;Jois
