Abk;Weg
A;A-Strecke: Südbahnhof-Heddernheim-(Ginnheim/Bad Homburg/Oberursel)
A1;Anschlussstrecke A1: Weißer Stein-Ginnheim
A2;Anschlussstrecke A2: Heddernheim-Bad Homburg Gonzenheim
A3;Anschlussstrecke A3: Abzweig Nordwest-Oberursel Hohemark
B;B-Strecke: Hauptbahnhof-Konstablerwache-(Preungesheim/Seckbacher Landstraße)
