Abréviation;Définition
BEV;Bas Evette
BEW;Briare
BEX;Beuxes
BEY;Bernay
BF;Bourganeuf
BFD;Benfeld
BFF;Biffontaine
BFH;Bischoffsheim
BFP;La Baule les Pins
BFT;Belfort
BGA;Bussiere Galant
BGB;Bourg en Bresse
BG;Bully Grenay
BGC;Bergerac
BGD;Bellegarde (AIN)
BGE;Bauge
BGH;Bruges
BGL;Begles
BGM;Birmingham International
BGN;Brignais
BGO;Bagnoles de L'Orne
BGR;Bourg Argental
BGS;Bourges
BGT;Bourgtheroulde Thuit Hebert
BGU;Baillarguesg
BGV;Bougival
BGW;Le Bourget Triage
BGY;Beaugency
BGZ;Bourgneuf en Retz
BHA;Bersac
BH;Buchs
BHC;Anvers-Berchem
BHF;Berlin Hauptbahnhof
BHH;Breitenbach (Ht Rhin)
BHI;Bohain
BHM;Bischheim
BHN;Berthelming
BHS;Les Bossons
BHT;Beauchastel
BHU;Bessines
BHV;Bucheres Verrieres
BHW;Bischwiller Bas Rhing
BIA;Biache St Vaast
BIB;Belle Isle Begard
BIE;Braine
BIG;Bigny
BIH;Breuillet Bruyeres Le Chatel
BII;La Bassee Violaines
BI;Isbergues
BIL;Beillant
BIM;Blesme Haussignemont
BIP;Blangy sur Ternoise
BIQ;Besle
BIR;Beautiran
BIS;Bievres
BIU;Bailleul Nord
BIV;Beaurainville
BIW;Brienon
BIY;Bouilly Roncenay
BIZ;Bize
BJC;Barjac
BJL;Boujailles
BJO;Biot
BKB;Balsieges Bourg
BKO;Bocognano
BKW;Boucoiran
BLA;Boissy L'Aillerie
BL;Blois
BLC;Barisey La Cote
BLD;Bar Le Duc
BLE;Bellenaves
BLG;Brive La Gaillarde
BLI;Bonlieu Roubion (lgv)
BLL;Bellac
BLM;Brassac Les Mines Ste Florine
BLN;Bollene La Croisiere
BLQ;Bouaye
BLR;Beaumont Le Roger
BLS;Brignoles
BLU;Bellevue
BLV;Blainville Damelevieres
BLX;Boisleux 
BLY;Blaye
BMA;Bry Sur Marne 
BM;Boulevard Massena 
BMC;Brion Montreal La Cluse
BMD;Bourg Madame
BME;Ballan
BMM;Boulogne Maritine
BMO;Bas Monistrol
BMR;Bussac
BMT;Bourmont 
BMV;Bonnemain
BNA;Bruxelles National Aeroport
BN;Besancon Viotte
BNC;Bannalec
BND;Bandol
BNE;Berne
BNG;Bening
BNH;Bengy
BNI;Bellignat
BNL;Bagnols
BNM;Besancon Mouillere
BNO;Beynost
BNR;Bonnieres
BNS;Bains Les Bains
BNT;Bolbec Nointot 
BNU;Brignoud
BNW;Bennwihr
BNX;La Bernerie
BNY;Brunoy
BNZ;Bournezeau
BOA;Boulogne Bassins
BOB;Bobigny
BO;Bonneval
BOE;Boen
BOG;Bologne
BOH;Boutheon
BOI;Boissy St Leger
BOM;Bourron Marlotte Grez
BON;Bonneville
BOO;Bruzolo Di Suza
BOR;Bords
BOS;Broons
BOU;Boulouris Sur Mer
BOV;Boves
BOW;Bollwiller
BPE;Brion Pres Thouet
BPT;Budapest
BQE;Bolquere Eyne
BQF;Blanquefort
BQJ;Le Bosquet
BQQ;Bourg La Reine
BRA;Bebra
BRB;Bar Sur Aube
BRC;Brienne Le Chateau
BRD;Brioude
BRE;Breil Sur Roya
BRG;Bourgoin Jallieu
BRI;Briancon
BRJ;Brugges
BRK;Bruyeres Sur Oise
BRL;Beaune La Rolande
BRM;Bram
BRN;Boran Sur Oise
BRO;Brou
BRP;Beaurepaire
BRR;Berre
BRS;Bressuire
BRT;Baroncourt 
BRU;Bruxelles-Midi
BRV;Breteuil Ville
BRW;Breuillet Village
BRY;Brig
BRZ;Bruz
BSA;Bourg St Andeol
BSB;Blaisy Bas
BS;Beziers
BSE;Bresles Sur Oise
BSG;Besseges
BSH;Bailleul Sir Berthoult
BSK;Batz Sur Mer
BSL;Bordeaux St Louis
BSM;Bourg-Saint-Maurice
BSN;Bonson
BSO;Bouray
BSP;La Bassee
BSR;Bessancourt
BSS;Boussens
BST;Bailleul Sur Therain
BSU;Brebieres Sud
BSV;Bossey Veyrier
BSW;Belloy St Martin
BSX;Bressoux
BSY;Busigny
BSZ;Barsanges
BTB;Breaute Beuzeville
BT;Brest
BTD;Bertry
BTG;Bettembourg
BTH;Bertholene
BTI;Bucarest
BTL;Batilly
BTM;Barentin
BTN;Betton
BTO;Bretoncelles
BTP;Beugnatre
BTR;Bon Encontre
BTT;Bassens Appontements
BTU;Breteil
BTV;Betheneville
BTX;Bertrix
BTZ;Bantzenheim
BUA;Bourg Lastic Messeix
BUC;Busseau Sur Creuse
BUE;Bueil
BUG;Bugeat
BUH;Budeliere Chambon
BUI;Bar Sur Seine
BUL;Bulle
BUM;Beaulieu Sur Mer
BUO;Bussoleno
BUR;Ballancourt
BUS;Beuvrages
BUT;Bourth
BUU;Boucau
BUY;Bruyeres Vosges
BUZ;Buzy En Bearn
BVA;Breval
BVD;Belleville Vendee
BVE;Beardg
BVF;La Beuvriere
BVG;Brens Virignin
BVI;Boulevard Victor
BVL;Belleville Sur Saone
BVO;Bretteville Norrey
BVP;Bauvin Provin
BVR;Beuvry Pas De Calais
BVS;Beauvais
BVU;La Bonneville
BVY;Bavay
BVZ;Belvezet
BW;Bitschwiller (HT RHIN)
BWQ;Le Bruel
BWR;Boulainvilliers
BXB;Bretenoux Biars
BX;Bordeaux St Jean
BXK;Bordeaux Docks
BXL;Brax Leguevin
BXP;Les Boullereaux Champigny
BXR;Boissy Saint Leger Rer 
BYB;Byans
BY;Bretigny
BYC;Baleycourt 
BYD;Bayard
BYE;Bayonne 
BYH;Besse Sur Braye 
BYK;Blanzy
BYM;Billy Montigny 
BYN;Bayon
BYO;Bloye
BYS;Beynes
BYT;Bayet
BYU;Bogny Sur Meuse 
BYW;Bouy
BYY;Bussy Lettree Vatry 
BZ;Biarritz 
BZI;Bazeilles
BZL;Beuzeville Eure
BZN;Briouze
BZO;Billom
BZP;Belz-Ploemel 
BZT;Bazancourt
BZV;Bouzonville
BZY;Blanzy Poste  
CAB;Cannes La Bocca
CAF;Caffiers
CAG;Carignan
CAH;Cahors
CAI;Champs St Bris
CAL;Chatel Censoir
CAM;Cambrai Ville
CAO;Coulanges Sur Yonne
CAP;Chemilly Appoigny
CAQ;Carquefou
CAR;Carentan
CAU;Caudry
CAV;Cannes Voyageurs
CAW;Claveyson Bren (lgv)
CAZ;Chilly Mazarin
CBA;Cambrai Annexe
CBB;Choisy Au Bac
CB;Cambiador Irun
CBF;Chateauneuf Bujaleuf
CBI;Corbie
CBO;Chamborigaud
CBS;Colombiers
CBT;Cintegabelleg
CBU;Cherbourg
CBX;Cenon
CBY;Corbigny
CBZ;Cravant Bazarnesg
CCA;Concarneau
CCB;Coussac Bonneval
CCD;Courcelles Sur Nied
