BEZEICHNUNG_OFFIZIELL;Abkuerzung
Albistunnel Südportal;ALBS
Albistunnel Mitte;ALBT
Luzern Allmend/Messe;ALD
Altstätten SG, Depot;ALDE
Alchenstorf, Dorf;ALDO
Allmend Tunnel Portal Süd;ALDS
Allmend Tunnel;ALDT
Allmend;ALDW
Altstätten SG, Fleuben;ALFL
Algetshausen-Henau;ALG
Alp Grüm;ALGR
Altbüron, Hiltbrunnen;ALHI
Allaman;ALL
Allaman équipe mobile;ALL56
Alle centre agricult d'Ajoie;ALLC
Alle;ALLE
Allières;ALLI
Allmendingen (B);ALLM
Al Motto (c bin);ALM
Al Motto Est;ALME
Altnau;ALN
Alchenstorf, Oberalchenstorf;ALOB
Alpiglen;ALP
Alp Nouva;ALPN
Altbüron, Post;ALPO
Gonten Alpsteinblick;ALPS
Altstätten SG, Rathaus;ALRA
Altenrhein;ALRH
Altenrhein Werk Stadler;ALRH05
Al Sasso;ALSA
Altstätten Stadt;ALST
Altstätten SG;ALT
Altstätten SG 94;ALT94
Altstätten SG 95;ALT95
Altstätten SG 96;ALT96
Altstätten SG 97;ALT97
Altstätten SG 98;ALT98
Altanca (funicolare);ALTA
Altendorf;ALTD
Altstätten SG, Eichbergerstr.;ALTE
Altikofen (Abzw);ALTI
Altdorf Telldenkmal;ALTL
Altreu;ALTR
Altdorf UR, Telldenkmal;ALTT
Löwenberg Altreu;ALU
Alchenstorf, Unteralchenstorf;ALUN
Alvaneu;ALV
Alchenstorf, Wil;ALWI
Amriswil, Bahnhof;AMBF
Amphion-les-Bains (F) (lac);AMCG
Amsteg, Post;AMPO
Andelfingen;AN
Andermatt, Bahnhof;ANBF
Andermatt;AND
Andelfingen Ost;ANOS
Ansbach mobile Equipe;ANS56
Andeer, Tgavugl;ANTX
Aarburg-Oftringen, Bahnhof;AOBF
Ambrì-Piotta;AP
Ambrì-Piotta squadra mobile;AP56
Apples;APPL
Appenzell;APPZ
Altenburg-Rheinau;AR
Arbon;ARB
Arbon mobile Equipe;ARB56
Arbon, Bahnhof;ARBF
Arbon Ost;ARBO
Arth Brennstuden;ARBR
Arbon Seemoosriet;ARBS
Arbon West;ARBW
Archy A (bif);ARCA
Arch;ARCH
Archy (bif);ARCY
Ardon;ARD
Arlesheim, Dorf;ARHD
Arosa Iselstrasse Barriere;ARIS
Arnegg;ARN
Arnegg mobile Equipe;ARN56
Les Arnoux;ARNO
Arosa;AROS
Arnegg, Restaurant Ilge;ARRE
Arbon, Romanshornerstrasse;ARRH
Arth Röten;ARRO
Arth Rütti;ARRU
Arbon, Stahelplatz;ARSP
Arveyes;ARVE
Arzier;ARZ
Amsteg-Silenen;AS
Annemasse SBB;ASBB
Amsteg Grund (Agl);ASGR
Alt St. Johann, Horb;ASJH
Amsteg Kabelstollen Ost;ASKO
Amsteg Kraftwerk;ASKW
Assens;ASNS
Aareschlucht, Ost;ASOS
Aspwald (Jona);ASPW
L'Asse;ASSE
Amsteg Kabelstollen West;ASSW
Alpnachstad;AST
Altstätten Stadt Gleisende;ASTG
Alpnachstad ZB;ASTZ01
Amsteg Zugangsstollen Ost;ASZO
Amsteg Zugangsstollen West;ASZW
Altmatt;AT
Abzweig ATG Nord;ATGN
Aarau Torfeld;ATOR
Aareschlucht Ost MIB;ATOS
Aathal Public Provider-Site;ATPP
Attiswil;ATTI
Au ZH;AU
Aubonne, gare;AUGA
Äuli;AULI
Au SG;AUSG
Auvernier;AUV
Auvernier Est (bif);AUVE
Avenches;AV
Avenches équipe mobile;AV56
Les Avants;AVA
Les Aviolats;AVIO
Avry;AVRC
Avry-Matran;AVRY
Amriswil;AW
Amriswil mobile Equipe;AW56
Amriswil Felwis;AWFE
Arnex;AX
Axenbergtunnel;AXET
Axen-Tunnel Sisikon (UR);AXT
Muntelier-Löwenberg AZL;AZL
Alter Zoll;AZO
Baar;BAA
Baar Lindenpark;BAAL
Baar Neufeld;BAAN
Bärau, Bahnübergang;BABA
Bärau, Bäraugrund;BABD
Bachtele (Trimstein);BACH
Basel Bad Bf;BAD
Basel Bad Bf BW (DB);BAD05
Basel Bad Bf 94;BAD94
Basel Bad Bf 95;BAD95
Basel Bad Bf 96;BAD96
Basel Bad Bf 97;BAD97
Basel Bad Bf 98;BAD98
Basel Bad Rbf (Df);BADF
Basel Bad Rbf KH (Abzw);BADH
Bärau, Dorf;BADO
Bäch;BAE
Bärschwil;BAER
Basel, Aeschenplatz;BAES
Bäretswil Tobel (Agl);BAET
Bäretswil;BAEW
Ecublens VD, Bassenges;BAGE
Balerna;BAL
Balgach, Ländern;BALA
Balgach, Bad;BALB
Balgach, Dorf;BALD
Bâle Gare SNCF;BALE
Galleria Balerna;BALG
Ballens;BALL
Balerna Nord;BALN
Balgach, Optik;BALO
Balgach, Rathaus;BALR
Balerna Sottocentrale;BALS
Baltschieder (Agl);BALT
Baltenswil (Abzw);BALW
