BEZEICHNUNG_OFFIZIELL;Abkuerzung
Belp;BP
Belp Aemmemattstrasse 43;BPAE
Belp Steinbach;BPST
Brig;BR
Brig Unterhalt P;BR25
Brig SA Lokbereich(incl.Wagen);BR41
Brig mobile Equipe G-SR;BR46
Brig mobile Equipe;BR56
Brig Ent-/Versorgung;BR80
Brig DR;BR86
Brig 94;BR94
Brig 95;BR95
Brig 96;BR96
Brig 97;BR97
Brig 98;BR98
Le Brassus;BRA
Le Brassus 94;BRA94
Le Brassus 95;BRA95
Le Brassus 96;BRA96
Le Brassus 97;BRA97
Le Brassus 98;BRA98
Bronschhofen AMP (Agl);BRAA
Brandegg;BRAD
Bad Ragaz;BRAG
Brig Arsenal;BRAR
Le Brassus TRAVYS;BRAX
Basel SBB RB Gr A;BRBA
Basel SBB RB Gr B;BRBB
Basel SBB RB Gr D;BRBD
Basel SBB RB Gr E;BRBE
Basel SBB RB Gr F;BRBF
Basel SBB RB Gr G;BRBG
Basel SBB RB Gr J;BRBJ
Brienz GR Blockstelle;BRBL
Basel SBB RB Süd;BRBM
Basel SBB RB Ost;BRBO
Bern RBS;BRBS
Basel SBB RB Gr T;BRBT
Basel SBB RB West;BRBW
Brig Contact Center Ausbild 1;BRC1
Brig Contact Center Ausbild 2;BRC2
Brig Contact Center SBB;BRCC
Braunwald;BRD
Brig Depot Ceres;BRDC
Brunnen (Df);BRDF
Biel/Bienne,rte.de Reuchenette;BRDR
Bret [F];BRE
Bremgarten;BREG
Breitenacker (Spw);BREI
Les Breuleux-Eglise;BREL
Les Brenets;BREN
Les Breuleux;BREU
Birrfeld;BRF
Birrfeld Auto;BRFA
Brunnenfluh;BRFL
Brig MGB-fo;BRFO
Bargen;BRG
Brunegg;BRGG
Bronschhofen, Gemeindehaus;BRGH
Brüglen (Spw);BRGL
Brittnau, Ausserdorf;BRIA
La Brinaz;BRIN
Brusio;BRIO
Brisgi (B);BRIS
Brittnau-Wikon;BRIT
Brügglen b. Kaltacker;BRKA
Breitlauenen;BRLA
Brig-Lötschberg (Abzw);BRLO
Brunnmatt (Spw);BRM
Brig Bahnhofplatz;BRMG
Brunnen Morschachtunnel;BRMT
Brunnadern-Neckertal;BRN
Brunni;BRNI
Brennero/Brenner squadra mobil;BRNN56
Bronschhofen;BRO
Bronschhofen AMP;BROA
Bronschhofen AMP SBB;BROA01
Broc-Fabrique;BROF
Bad Ragaz Ost;BROS
Bronschhofen SBB;BROS01
Broc-Village;BROV
Brig Konfigurations-Center;BRP
Brig, Bahnhof;BRPX
Brig RB;BRRB
Brig Stellwerk 1;BRS1
Brig Stellwerk 2;BRS2
Brig Stellwerk 3;BRS3
Biel/Bienne RB Süd (Abzw);BRSA
Brescia Scalo squadra mobile;BRSC56
Brittnau, Schulhaus;BRSH
Brüttisellen (Vzw);BRSL
Brunnen, See/Schiffstation;BRSS
Bretonnières;BRT
Brüttenertunnel;BRTL
Bretonnières Nord;BRTN
Bristen-Tunnel Amsteg (UR);BRTT
Brig Tunnel;BRTU
Brunnen;BRU
Brunnen mobile Equipe;BRU56
Brunnen 95;BRU95
Brunnen 96;BRU96
Brunnen 97;BRU97
Brunnen 98;BRU98
Brunnen Süd (Abzw);BRUA
Brünig-Hasliberg;BRUE
Brünig-Hasliberg ZB;BRUE01
Brunnen (See);BRUS
Brüttelen;BRUT
Brig Unterwerk;BRUW
Brienzwiler;BRW
Bruggwaldtunnel (Abzw);BRWA
Bronschhofen, Würe;BRWE
Brienzwiler West (Spw);BRWS
Brittnau-Wikon West (Agl);BRWW
Brienzwiler ZB;BRWZ01
Brienz;BRZ
Brienz Dorf;BRZD
Brienz (See);BRZS
Brienz West;BRZW
Brienz West ZB;BRZW01
Brienz ZB;BRZZ01
Basel SBB;BS
Basel SBB RKZ;BS20
Basel SBB PZR-1;BS25
Basel SBB SA Lokbereich;BS41
Basel SBB SA Lok-Waschanlage G;BS48
Basel SBB Zentrale G-PN;BS50
Basel SBB mobile Equipe;BS56
Basel SBB Zentrale G-SR;BS60
Basel Ent-/Versorgung;BS80
Basel SBB DR UZR;BS86
Basel SBB SA Lokwaschanlage P;BS87
Basel SBB 94;BS94
Basel SBB 95;BS95
Basel SBB 96;BS96
Basel SBB 97;BS97
Basel SBB 98;BS98
Basel SBB RB I (Abzw);BSAS
Basel Satellit;BSAT
Basel Auhafen;BSAU
Basel, Bankverein;BSBA
Birsfelden Hafen;BSBH
Birsfelden Hafen mobile Equipe;BSBH56
Basel Birsbrücken;BSBI
Birsfelden Hafen Gleisende;BSBV
Birsfelden Hafen (Abzw);BSBW
Bassecourt;BSC
Basel SBB Change;BSCH
Bassecourt sous-station (BKW);BSCU
Bassersdorf;BSD
Basel Dreispitz Gleisende;BSDG
Basel Dreispitz;BSDH
Bassersdorf Ost (Vzw);BSDO
Basel SBB Dreispitz;BSDS
Brüttisellen (B);BSEL
Basel Elsässertor;BSET
Basel, EuroAirport;BSEU
Buchs SG, EW;BSEW
Basel Grenze (FR);BSFR
Basel SBB Cargo;BSG
Basel SBB GB;BSGB
Basel SBB Gleise 30-35;BSGL
Basel SBB GB Ost;BSGO
Hagnau (Abzw);BSHA
Basel, Heuwaage;BSHW
Basel Schifflände;BSIF
Basel SBB RB II;BSII
Basel St. Jakob;BSJA
Basel St.Johann Grenze;BSJG
Basel St. Johann Hafen;BSJH
Kleinhüningen Hafen Gleisende;BSKE
Basel Kleinhüningen Hafen;BSKH
Bs Kleinh. Hafen mob. Equipe;BSKH56
Basel Kannenfeldtunnel Süd;BSKS
Kannenfeldtunnel;BSKT
Basel Margrethenbrücke;BSMB
Basel Morgartenring;BSMO
Bussnang Stadler AG;BSNG05
Basel SBB RB Nordkopf (Abzw);BSNK
Basel SBB Nordost (Abzw);BSNO
Basel SBB Ost (Abzw);BSO
Basel SBB RB II Ost (Abzw);BSOS
Basel PZR Ent-/Versorgung;BSP80
Basel Passarellen;BSPB
Basel SBB RB;BSRB
Basel SBB RB F-Gruppe Loküberg;BSRBFG
Boss (B);BSS
Basel Stellwerk 4;BSS4
Basel St. Johann;BSSJ
Basel St. Johann mobile Equipe;BSSJ56
Bern F-SSO;BSSO
Basel Schützenmatttunnel Süd;BSTS
Basel VB Grenze;BSVB
Basel SBB GB VL;BSVL
Basel SBB West (Abzw);BSW
Basel RB DG West;BSWW
Basel Zentralstellwerk;BSZS
Basel Funkmast Müst-Brücke;BSZX
Buttes;BT
Brittnau, Abzw. Bahnhof;BTAB
Brittnau, Abzw. Hard;BTAH
Bilten, Bahnhof;BTBF
Brittnau, Bifang;BTBI
Brittnau, Einmündung Zelgli;BTEZ
Brittnau, Grod;BTGR
Balsthal;BTH
Brittnau, Kleinfeld;BTKF
Brittnau, Liebigen;BTLI
Bilten, Linth-Escherstrasse;BTLS
Brittnau, Lärchenweg;BTLW
Brittnau, Nelkenweg;BTNW
Brittnau, Post;BTPO
La Bâtiaz sous-station (EOS);BTSS
Bettwiesen;BTW
Bättwil, Dorf;BTWI
Bettwiesen SBB;BTWS01
Bettwiesen Tanklager;BTWT
Buchs SG;BU
Buchs SG mobile Equipe;BU56
Buchs SG 94;BU94
Buchs SG 95;BU95
Buchs SG 96;BU96
Buchs SG 97;BU97
Buchs SG 98;BU98
Bundkofen Autobahnbrücke;BUAB
Buchs SG, Langäulistrasse;BUAE
Buchs AG;BUAG
Bubikon;BUB
Büren an der Aare, Bahnhof;BUBA
Buchs SG, Bahnhof;BUBF
Buckten;BUC
Buckten, Dorf;BUCK
Buchs-Dällikon;BUD
Buchs-Dällikon mobile Equipe;BUD56
Buchs-Dällikon Industrie;BUDI
Bubendorf;BUDO
Burgau Deponie ZAB (Agl);BUDZ
Bülach;BUE
Bülach mobile Equipe;BUE56
Bülach 94;BUE94
Bülach 95;BUE95
Bülach 96;BUE96
Bülach 97;BUE97
Bülach 98;BUE98
Bütschwil, Au;BUEA
Bühler;BUEH
Bützberg Ost (Agl);BUEO
Büren an der Aare;BUER
Bütschwil Süd;BUES
Bütschwil;BUET
Buchs SG Elektrizitätswerk;BUEW
Löwenberg Burgfeld;BUFE
Grabs, Industrie;BUGI
Bugnei;BUGN
Buchhalde (Spw);BUHA
Burg AG, Hinterdorf;BUHD
Büel (Spw);BUHL
Büren zum Hof;BUHO
Buchs-Dällikon Hofwisen(Verzw);BUHW
Bützberg, Käserei;BUKA
Bucktentunnel SBB;BUKT
Bulle;BUL
Bulle équipe mobile;BUL56
Buchli;BULI
Buchs SG, NTB/BZB;BUNB
Bützberg, Neuquartier;BUNE
Buochs (See);BUO
Burg AG, Rössligasse;BUPL
Bussnang, Post;BUPO
Buchs SG, Rathaus;BURA
Buchs SG RB;BURB
Bure-Casernes;BURE
Burglauenen;BURG
Büchel bei Rüthi (Rheintal);BURH
Burier;BURI
Buchrain;BURN
Busswil;BUS
Bussy-Chardonney;BUSM
Busswil Nord;BUSN
Bützberg, Tell;BUTE
Buchs SG Technikgebäude;BUTG
Buttogno;BUTT
Bützberg, Unterdorf;BUUN
Buchs SG Unterwerk (SAK);BUUW
Bugnei, via Alpsu;BUVC
Buchs SG, Werdenberg;BUWB
Bützberg, Wyssenried;BUWY
Buchs SG Zement;BUZE
Bühltunnel ZG;BUZT
Bevaix;BV
Barrage du Vieux-Emosson;BVEM
Bellavista;BVIS
Bellavista GR;BVTA
Beinwil am See;BW
Beinwil am See 95;BW95
Beinwil am See 96;BW96
Beinwil am See 97;BW97
Beinwil am See 98;BW98
Burgistein;BWA
Brittnau-Wikon, Bahnhof;BWBF
Bern Weyermannshaus GB;BWEY
Birrwil;BWL
Bern Weyermannshaus (Spw) BLS;BWMB
Bern Weyermannshaus (Spw);BWMS
Beinwil am See Nord;BWN
Bern Weyermannshaus Stellwerk1;BWS1
Bottenwil, Unterdorf;BWUD
Bern Wyler;BWY
Bern Wyler West (Spw);BWYW
Buix;BX
Bex Pont-Neuf;BXPN
Bussigny;BY
Bussigny Waschanl Scheuchzer;BY48
Bussigny Est (bif);BYE
Byfang (B);BYF
Bussigny Scheuchzer;BYS05
Bussigny-Scheuchzer (bif);BYSC
Bussigny sous-station;BYSS
Bressonnaz;BZ
Doppelspurtunnel Bözberg;BZBT
Bazenheid, altes Zeughaus;BZFQ
Bischofszell Nord;BZN
Bischofszell Nord mobil Equipe;BZN46
BZ Ost Betrano 3. Stock;BZOBO3
BZ Ost Betrano 4. Stock;BZOBO4
BZ OST Glatt;BZOGL
BZ OST Limmat;BZOLI
BZ Ost Operation 3. Stock;BZOOP3
BZ Ost Operation 4. Stock;BZOOP4
BZ OST Pfannenstiel;BZOPF
BZ Ost Rückfallebene 3. Stock;BZORF3
BZ Ost Rückfallebene 8. Stock;BZORF8
BZ Ost Rückfallebene 9. Stock;BZORF9
BZ OST St. Gallen;BZOSG
BZ OST Technischer Betrieb;BZOTB
BZ OST Voralpen;BZOVA
BZ OST Winterthur;BZOWI
BZ OST Zürich;BZOZ
Bischofszell Stadt;BZS
Bischofszell Stadt, Bahnhof;BZSB
Cappella-Agnuzzo;CAAG
Lancy-Bachet;CABA
Chamby-Musée;CABM
Carouge-Bachet saut du Km;CABS
Monthey Centre agr Bas-V (embr;CABV
Chamby;CABY
Cadera;CADE
Castei (dira);CADI
Cadera Barriere;CADS
Campascio;CAIO
Caldé;CALD
Camedo;CAME
Camorino Nord;CAMN
Camorino (dira);CAMO
Campocologno;CAMP
Camorino Sud;CAMS
Camedo transito;CAMT
Capolago-Riva S. Vitale;CAP
Capäls;CAPA
Capolago Gaggio;CAPG
Capolago Lago;CAPL
Capolago-Riva S. Vitale MG;CAPM
Carolina;CARO
Les Cases;CASE
Castione Impianto d'inversione;CASI
Caslano;CASL
Castione Nord (c bin);CASN
Castrisch;CASR
Castione-Arbedo;CAST
Trun Campliun Barriere;CAUN
Caux;CAUX
Cavaglia;CAVA
Cavigliano;CAVI
Cava Tigozzi squadra mobile;CAVT56
Cazis;CAZI
Collombey, Les Perraires;CBLP
Collombey, Pré Géroux;CBPG
Collombey, rte de la Fin;CBRF
Collombey, Ronziers;CBRO
Ceneri Basistunnel;CBT
Collombey;CBY
Collombey, église;CBYE
Collombey, Le Foyer;CBYF
Collombey-le-Grand;CBYG
Concise;CC
Cresciano Ca d'Ossola;CCDO
Courchavon;CCH
C-Container 1-2014;CCUW01
C-Container 2-2014;CCUW02
C-Container 3-2014;CCUW03
C-Container 4-2014;CCUW04
C-Container 5-2014;CCUW05
C-Container 6-2014;CCUW06
C-Container 7-2014;CCUW07
C-Container 8-2014;CCUW08
C-Container 9-2014;CCUW09
C-Container 10-2014;CCUW10
C-Container 11-2014;CCUW11
C-Container 12-2014;CCUW12
C-Container 13-2014;CCUW13
C-Container 14-2014;CCUW14
C-Container 15-2014;CCUW15
C-Container 16-2014;CCUW16
C-Container 17-2014;CCUW17
C-Container 18-2014;CCUW18
Cadenazzo;CD
Cadenazzo squadra mobile;CD56
Cadenazzo 95;CD95
Cadenazzo 96;CD96
Cadenazzo 97;CD97
Cadenazzo 98;CD98
Champ-du-Moulin;CDM
Cadenazzo Ovest (bif);CDO
Tunnel du col des Roches;CDRT
Cadenazzo, Stazione;CDST
Cavadürli;CDUE
Céligny (lac);CECG
Cery-Fleur-de-Lys;CEF
Céligny;CEL
Celerina;CELE
Celle mobile Equipe;CELL56
Celerina Staz;CELS
Cernier, centre;CER
Ecublens VD, Cerisaie;CERI
Löwenberg Ceso;CESO
La Chaux-de-Fonds;CF
La Chaux-de-Fonds équipe mobil;CF46
La Chaux-de-Fonds 94;CF94
La Chaux-de-Fonds 95;CF95
La Chaux-de-Fonds 96;CF96
La Chaux-de-Fonds 97;CF97
La Chaux-de-Fonds 98;CF98
La Chaux-de-Fonds [voie 2];CFDX
La Chaux-de-Fonds-Est;CFES
La Chaux-de-Fonds-Grenier;CFG
La Chaux-de-Fonds Nord;CFN
La Chaux-de-Fonds Ouest;CFO
La Chaux-de-Fonds [voie 1];CFUN
Courfaivre;CFV
Courgenay;CG
Montreux-Collège;CGE
Cugy FR;CGY
Chur;CH
Chur Depot 8;CH20
Chur mobile Equipe Cargo;CH56
Chur Ent-/Versorgung;CH80
Chur 94;CH94
Chur 95;CH95
Chur 96;CH96
Chur 97;CH97
Chur 98;CH98
Chamoson-St-Pierre-de-Clages;CHA
Cham Alpenblick;CHAA
Le Châble;CHAB
Chardonney-Château;CHAC
Chappelle (B);CHAE
Chur, Arosafeld;CHAF
Chardonne-Jongny;CHAJ
Châtelard VD;CHAL
Cham;CHAM
Chantemerle-près-Blonay;CHAN
Charrat-Fully;CHAR
Châtillens;CHAT
La Chaudanne-Les Moulins;CHAU
Chavannes;CHAV
En Charnet;CHAY
Les Charbonnières;CHB
Chur, Bahnhofplatz;CHBA
Château-de-Blonay;CHBL
Chur Arosabahn;CHBP
Château-de-Chillon (lac);CHCH
Chiasso Smistamento Cimitero;CHCIM
Chaulin-Cornaux;CHCO
Chiasso CT;CHCT
Chiasso Smistamento (Df);CHDF
Chénens;CHE
Chêne-Bourg;CHEB
Chêne-Bourg-Frontière;CHEF
Chernex;CHER
Cheseaux;CHES
Le Locle Le Chalet;CHET
Les Chevalleyres;CHEV
Chemex;CHEX
Châteauneuf-Conthey;CHF
Le Châtelard-Frontière;CHFR
Chur GB;CHGB
Le Châtelard VS;CHGI
Chigny;CHGN
Genève-Champel;CHHO
Chiasso;CHI
Chiasso SA settore loc;CHI41
Chiasso squadra mobile G-SR;CHI46
Chiasso SA impianto lavaggio G;CHI48
Chiasso squadra mobile;CHI56
Chiasso Smaltimento/Fornitura;CHI80
Chiasso 94;CHI94
Chiasso 95;CHI95
Chiasso 96;CHI96
Chiasso 97;CHI97
Chiasso 98;CHI98
Chiasso Ovest (bif);CHIB
Chiasso Confine;CHIC
Chiasso Est;CHIE
Chiggiogna (c bin);CHIG
Chiasso Nord;CHIN
Gall Mte Olimpino;CHIO
La Chiésaz;CHIZ
Chessiloch;CHLH
Champs-lovats (B);CHLV
En Châlex;CHLX
Chur, Malteser;CHMA
La Chèvrerie-Monteret;CHMO
Charlemont (B);CHMT
Chambrelien;CHN
Châtelaine (bif);CHNE
Chambrelien (cul-de-sac);CHNF
Chambrelien Nord (bif);CHNN
Chur Gleisende RhB;CHNO
Chiasso Olimpino II;CHOD
Château-d'Oex;CHOE
Chiasso Olimpino I;CHOU
Yverdon-Champ Pittet;CHP
Chur, Rigahaus;CHRG
Chriesbach (Abzw);CHRI
Wünnewil Chrummatt;CHRM
Cheyres;CHS
Chur Altstadt;CHSA
Châtel-St-Denis;CHSD
Chiasso Smistamento;CHSM
Chiasso Smistamento Nord (bif);CHSN
Chiasso SM Fascio U;CHSU
Chur Zentralstellwerk;CHSW
Châtelaine (tunnel);CHTU
Château-d'Hauteville;CHTV
Churwalden, Bergbahnen;CHUB
Le Châtelard VS usine;CHUS
Chur Unterwerk Haldenstein;CHUW
Chavornay;CHV
Chavornay équipe mobile;CHV56
Chavornay-Industrie;CHVI
Chavornay Sud (bif);CHVS
Chur West (Gleisende);CHW
Chur West;CHWE
CH-Weit;CHWEIT
Chur Wiesental;CHWI
Chexbres-Village;CHX
La Chaux-d'Abel;CHXA
La Chaux-des-Breuleux;CHXB
Chambésy;CHY
Chambésy ch du Vengeron 18;CHYD
Choindez;CHZ
La Cibourg;CIB
Cinuos-chel-Brail;CIN
Chippis sous-station;CISS
Clarens;CL
Claro;CLA
La Clairière;CLAI
Claro Schutzstrecke;CLASS
Colombier;CLB
Colombier équipe mobile;CLB56
Clarens (lac);CLCG
Clies;CLIE
Chez-le-Maître;CLM
Chez-le-Maître-Ecoles;CLME
Chez-le-Maître-Ecoles TRAVYS;CLMX
Colombier sous-station;CLSS
Löwenberg FstZ;CLT
Chens-sur-Léman (F) (lac);CLTO
Clavoz (B);CLZ
Colmegna;CMA
Corcelles-Nord;CN
Chamoson sous-station (EOS);CNSS
Cortébert;CO
La Corbatière;COBA
Coppet (lac);COCG
Commerce de fer (racc);CODF
Les Coeudres-Est;COED
Les Coeudres;COEU
Collonge (funi);COFU
Corgémont;COG
Tunnel de Courchavon Nord;COHT
Vernier;COI
Coimo;COIM
Le Locle-Col-des-Roches;COL
Col-de-Bretaye;COLB
Colondalles;COLD
Coldrerio Galleria;COLG
Col-de-Soud;COLS
La Combe;COMB
Les Combes;COMS
Tunnel de Combes;COMT
Collombey-Muraz;COMU
Contone;CONE
Coppet;COP
Corbier;COR
Corcapolo;CORA
Corbéron (B);CORB
Corcelles BE;CORC
Corcelles BE SBB;CORC01
Cornaux fin des voies;CORF
Cornaux industrie;CORI
Cormoret;CORM
Cornaux;CORN
Cornaux équipe mobile;CORN56
Corseaux-Cornalles;CORS
Corseaux;CORX
Cossonay-Penthalaz;COS
Cossonay équipe mobile;COS56
Cossonay-Ville;COSS01
Coldrerio Süd;COSU
Cottens;COT
Combe-Tabeillon;COTA
Cottendart (embr);COTD
La Cour;COU
Courroux, poste;COUP
Courtepin;COUR
Cousset;COUS
Corcelles BE, village;COVI
Corbes (Ventil);COVL
Corcelles-Peseux;CP
Croy-Romainmôtier;CR
Croy-Romainmôtier équipe mobil;CR46
Crans;CRA
Crémines, centre du village;CRCV
Courrendlin;CRD
Crêt-d'y-Bau;CRDB
Crevogno (dira);CRDI
Le Creux-des-Biches;CREB
Creggio;CREG
Crémines;CREM
Crémines SBB;CREM01
Le Crêt-du-Locle;CRET
Cressier FR;CRFR
Creux-de-Genthod;CRGD
Cressier NE;CRNE
Tunnel de la Croix Nord;CRNY
Chavannes-R., Crochy;CROC
Tunnel des Crosettes;CROT
Crans-s.-S., Grand-Place;CRS
Croy-Romainmôtier sous-station;CRSS
Croy-Romainmôtier Sud;CRSU
Galleria Crocetto;CRTG
Tunnel des Crêtes;CRTT
Cruschetta (B);CRUS
Champéry;CRY
Champéry-Village;CRYV
Corcelles-Sud;CS
Court;CT
Court équipe mobile;CT56
Courtemaîche;CTM
Courtemaîche Sud (bif);CTMS
Courtemaîche sous-station;CTMU
Courtételle;CTT
Courtelary;CTY
Cully;CU
Cully (lac);CUCG
Cugniel;CUG
La Cure;CURE
Li Curt;CURT
Convers;CV
La Conversion;CVN
Couvet CFF;CVT
Couvet;CVTR
Les Convers;CVXX
Challex;CX
Croix-du-Nant;CXN
Cornaux Unterwerk;CXUW
Dachsen;DA
Därligen, Bahnhof;DABF
Davos Clavadelstrasse Barriere;DACL
Davos Dorf;DAD
Därligen, Dorf;DADO
Därligen;DAE
Därligen West;DAER
Dättwil;DAET
Davos Frauenkirch;DAF
Dagmersellen;DAG
Dagmersellen mobile Equipe;DAG56
Davos Glaris;DAGL
Davos Hertistrasse Barriere;DAHE
Daillens (bif);DAIB
Daillens;DAIL
Dallenwil;DAL
Davos Laret;DALT
Davos Monstein;DAM
Damm (B);DAMM
Darmstadt mobile Equipe;DAR56
Davos Glaris ARA Barriere;DARA
Dachsen Süd;DASU
Därligen (See);DATS
Davos Platz;DAV
Davos Schiabach Barriere;DAVS
Davos Wolfgang;DAW
Le Day;DAY
Le Day Nord (bif);DAYN
Le Day sous-station;DAYS
Galleria Dazio;DAZG
Dettenbergtunnel;DBTU
Domat/Ems;DE
Derendingen, Freiheit;DEFR
Limite coordonnées GE;DEGE
Deisswil;DEI
Derendingen, Kreuzplatz;DEKP
Derendingen, Löhr;DELO
Denges-Echandens;DEN
Denges A (bif);DENA
Denges B (bif);DENB
Dennigkofen (B);DENN
Chur Depot Sand;DEPS
Derendingen;DER
Derendingen, Ritterplatz;DERP
Dessau SA Lokbereich;DESA41
Dessau mobile Equipe;DESA56
Desio squadra mobile;DESI56
Dettenberg Tunnel Ost;DETO
Dettenberg Tunnel West;DETW
Les Deurres;DEU
Löwenberg Déville;DEV
Dézaley (B);DEZ
Dietfurt, Feldeck;DFFQ
Dietfurt, Neudietfurt;DFNT
Degersheim;DG
Tunnel du Gibet;DGIT
Degersheim West (Abzw);DGWE
Dürrenroth, Dorf;DHDO
Dürrenroth, Fuchsloch;DHFU
Dürrenroth, Gärbihof;DHGH
Dürrenroth, Hulligen;DHHU
Dielsdorf;DI
Les Diablerets;DIAB
Distelberg;DIBE
Diepflingen;DIE
Diepflingen, Dorf;DIED
Dieni;DIEN
Dieni Ost;DIEO
Dietwil;DIET
Dinhard;DIH
Diesbach GL, Hauptstrasse;DIHS
Disentis/Mustér Pardomat Barri;DIPA
Dieni, Pendicularas;DIPE
Dirinella;DIRI
Disentis/Mustér;DIS
Disentis Betriebsgrz. MGB/RhB;DISB
Diesbach GL, Schulhaus;DISH
Disla Fehlerprofil;DISL
Däniken;DK
Däniken mobile Equipe;DK46
Däniken Cargo;DKC
Däniken (Df);DKDF
Däniken Ost;DKO
Däniken RB;DKRB
Däniken West (Abzw);DKW
Delle;DL
Tunnel de la Croix;DLCT
Delle-Frontière;DLF
Dietfurt, Langensteig;DLFQ
Delle Nord;DLN
Disentis/Mustér, staziun/posta;DMSP
Delémont;DMT
Delémont équipe mobile Cargo;DMT56
Delémont 95;DMT95
Delémont 96;DMT96
Delémont 97;DMT97
Delémont 98;DMT98
Delémont Est;DMTE
Delémont Nord;DMTN
Delémont sous-station;DMTS
Deitingen;DN
Deitingen Unterwerk;DNUW
Domodossola;DO
Domodossola 94;DO94
Domodossola 95;DO95
Domodossola 96;DO96
Domodossola 97;DO97
Domodossola 98;DO98
Dotzigen, alte Käserei;DOAK
Döttingen Beznau;DOBE
Dornach, Bahnhof;DOBF
Domodossola (bif);DOBI
Dornach;DOCH
Döttingen;DOE
Dornach Oepfelsee;DOEP
Dörfli;DOER
Domat/Ems, Plaz;DOEX
Dorfnest Hagenholztunnel West;DOHW
Domo II;DOII
Domodossola II squadra mobile;DOII46
Domdidier;DOM
Dotzigen;DON
Dompierre;DOP
Doppleschwand-Romoos;DOPP
Dornach-Arlesheim;DOR
Dorfnest (Abzw);DORF
Dossenboden (Spw);DOSS
Dottikon-Dintikon;DOT
Domodossola Aussenkabine;DOTK
Dottikon Umspannanlage;DOTU
La Douay;DOUY
Därstetten;DR
Daillens (embr) RFA;DRFA
Dürrenroth;DROT
Druogno;DRSS
Diesbach-Betschwanden;DSB
Diessenhofen;DSH
Basel, Dreispitz;DSPZ
Dietikon Stoffelbach;DSTO
Dietikon;DT
Dietikon AVA;DTBD
Dietfurt;DTF
Dietfurt Süd;DTFS
Dietlikon;DTL
Dietlikon Nord (Vzw);DTLN
Dietlikon Süd (Abzw);DTLS
Dortmund-Obereving mob Equipe;DTMO56
Dietikon Schöneggstrasse;DTSS
Dulliken;DU
Dübendorf;DUE
Düdingen;DUED
Düdingen mobile Equipe;DUED56
Dübendorf Flugplatz;DUEF
Düdingen Ost (Agl);DUEO
Dübendorf Unterwerk (NOK);DUEU
Duggingen;DUG
Düsseldorf-Rath mobile Equipe;DURA56
Duisburg-Ruhrort Hafen mob Equ;DURH56
Duisburg-Wedau mobile Equipe;DUWE56
Daiwil;DWIL
Eggerberg;EB
Ebnat, Acker;EBAC
Engelberg;EBG
Engelberg Boden;EBGB
Ebikon;EBI
Erlenbach im Simmental;EBIS
Ebligen;EBLI
Ebligen ZB;EBLI01
Emmenbrücke;EBR
Ebikon Süd (Abzw);EBSD
Echallens;ECH
Echandens (B);ECHA
Les Echenards;ECHE
Eclépens;ECL
Eclépens équipe mobile;ECL56
Eclépens Ciment (embr);ECLC
Eclépens Nord (bif);ECLN
Eclépens sud;ECLS
Tunnel d'Eclépens (Mormont);ECLT
Les Echets;ECTS
Ecublens-Rue;ECU
Ennenda;EDA
Les Esserts-de-Rive;EDR
Effretikon;EF
Effretikon mobile Equipe;EF56
Effretikon 95;EF95
Effretikon 96;EF96
Effretikon 97;EF97
Effretikon 98;EF98
Emmenfeld (Agl);EFD
Effingen;EFG
Egerkingen;EG
Eggiwil, Brambach;EGBR
Eggiwil, Buchschachen;EGBU
Eggiwil, Dorf;EGDO
Egg;EGG
Eggenschwand (Spw);EGGE
Eggiwil, Holzmatt;EGHO
Eglisau;EGL
Eggiwil, Leimen;EGLE
Eggli;EGLI
Eglisau Unterwerk;EGLU
Egnach;EGN
Eggiwil, Neuhof;EGNH
Eggiwil, obere Zilmatt;EGOZ
Eggersriet, Post;EGPX
Eggiwil, Schwelli;EGSI
Eggiwil, Skilift;EGST
Eggiwil, Tenndli;EGTI
Eggwald (Spw);EGW
Engi, Weberei;EGWE
Egnach, Wilenstrasse;EGWS
Eggiwil, Zimmertsei;EGZI
Eggiwil, Zilmatt;EGZT
Eiken;EI
Eifeld;EIF
Eigerwand;EIGE
Eigergletscher;EIGL
Eihalden (B);EIH
Ei im Emmental;EIIE
Einigen (Spw);EIN
Einfang (Abzw);EINF
Einsiedeln;EIS
Einsiedeln 94;EIS94
Einsiedeln 95;EIS95
Einsiedeln 96;EIS96
Einsiedeln 97;EIS97
Einsiedeln 98;EIS98
Einsiedeln Gleisende;EISE
Eismeer;EISM
Einigen (See);EITS
Ebnat-Kappel;EK
Ebnat-Kappel, Bahnhof;EKBF
Elgg;EL
Elm, Station;ELST
Embrach-Rorbas;EMB
Emdthal, Dorf;EMDD
Emmen Hüsten Tunnel;EMHU
Les Emibois;EMI
Emmenmatt;EMM
Emmat;EMMA
Emmetunnel NBS;EMMT
Ems Werk (B);EMSB
Ems Werk;EMSW
Emmenbrücke Unterwerk;EMUW
Entlebuch Entlenstaldentunnel;ENES
Enge im Simmental;ENGE
Engi, Vorderdorf;ENGI
Engi, Hinterdorf;ENHD
Enney;ENN
Ennenda, Bahnhof;ENNB
Ennetbürgen (See);ENNE
Enge i.S., Abzweigung Bahnhof;ENRE
Entlebuch Schächlitunnel;ENSO
Entlebuch;ENT
L' Eau Noire Wassererfassung;ENWG
Entlebuch Wilzigentunnel;ENWI
Ependes;EP
La Tour-de-Trême Parqueterie;EPA
Epalinges, Croisettes;EPAC
