Nummer;Laufweg
70;LU Adolf-Kolping-Straße - Sternstraße - Friesenheim - BASF - LU Rathaus - LU Hbf
71;LU Notwende - Hans-Warsch-Platz - Ebertpark Süd - LU Rathaus
72;LU Ruchheim - Oderstraße - Hans-Warsch-Platz - Melm
73;LU Oggersheim Bahnhof - Maudach Gemeindehaus - Marienkrankenhaus - Otto-Thiele-Platz
74;LU Berliner Platz - Am Schwanen - Marienkrankenhaus - Niederfeld - Bayreuther Straße - LU Hauptbahnhof - LU Rathaus
75;LU Berliner Platz - LU Hbf - Große Blies - Marienkrankenhaus - Rheingönheim Bf - Rheingönheim
76;LU Berliner Platz - Rhein-Galerie - Große Blies - Marienkrankenhaus - Maudach
77;LU Berliner Platz - Rheinallee - Parkinsel - Rheinallee - LU Berliner Platz
78;LU BASF Süd - LU Hbf - Große Blies - Gartenstadt - LU Maudach
80;LU BASF Süd - Mundenheim
84;LU Oppau -Brüsseler Ring – Frankenthal Hauptbahnhof
85;LU Oppau West - LU Oppau
86;LU Oppau - Wolfsgrube - Anglerstraße - LU Oppau
87;LU Oppau - Gemeindehaus - Edigheim - LU Pfingstweide
89;LU Berliner Platz - Pfalzbau - Ebertpark - Freibad Willersinn
90;LU Berliner Platz - Friesenheim - Oggersheim - Notwende/Melm
94;LU Berliner Platz - Am Schwanen - Marienkrankenhaus - Niederfeld
95;Berliner Platz - Maudach
96;LU Berliner Platz - Mundenheim - Rheingönheim - Gartenstadt - Maudach
97;LU Berliner Platz - Friesenheim - Oppau - Edigheim - Pflingstweide
M1;Bismarckplatz - Rohrbach - Emmertsgrund
M2;Uniplatz - Bismarckplatz - Wieblingen - Uniplatz
M3;Bismarckplatz - Bahnstadt - Kirchheim - Rohrbach Hasenleiser
M4;HD Bismarckplatz - Schlierbach - Ziegelhausen
M5;HD Schwimmbad - HD Hbf - Bismarckplatz - S-Bf. Altstadt
