Ort;Haltestelle;Abkürzung
Pesterwitz;Dorfplatz Pesterwitz;DFP
Pesterwitz;Obere Straße;OBS
Pesterwitz;Pesterwitz;PES
Pesterwitz;Wurgwitzer Straße;WWS
Radebeul;Altserkowitz;ASE
Radebeul;Bergblick;BBL
Radebeul;Borstraße;BOR
Radebeul;Dr.-Külz-Straße;DKU
Radebeul;Eduard-Bilz-Straße;EBI
Radebeul;Eisenbahnbrücke;EIS
Radebeul;Fichtestraße;FIS
Radebeul;Flemmingstraße;FLM
Radebeul;Forststraße;FOR
Radebeul;Fritz-Schulze-Straße;FSR
Radebeul;Gellertstraße;GES
Radebeul;Gerhart-Hauptmann-Straße;GHA
Radebeul;Gradsteg;GST
Radebeul;Gutenbergstraße;GBG
Radebeul;Hauptstraße;HPT
Radebeul;Hospiz (Radebeul);HRD
Radebeul;Johannisbergstraße;JHA
Radebeul;Kaufland;KLR
Radebeul;Landesbühnen Sachsen;LDB
Radebeul;Moritzburger Straße;MOG
Radebeul;Nizzastraße;NIZ
Radebeul;Radebeul Ost;RBO
Radebeul;Radebeul West (Schleife);RBW
Radebeul;Reichsstraße;RES
Radebeul;S-Bf. Weintraube;SWT
Radebeul;Schildenstraße;SIL
Radebeul;Schloß Wackerbarth;SWA
Radebeul;Wasastraße;WAA
Radebeul;Zillerstraße;ZIL
Radebeul;Zinzendorfstraße;ZIZ
Röhrsdorf (b Pirna);Röhrsdorf;ROE
Sobrigau;Fußweg nach Sobrigen;FSO
Sobrigau;Hummelmühle;HUM
Sobrigau;Sechserhaus;SHS
Weinböhla;Florian-Geyer-Weg;EFYW
Weinböhla;Haltepunkt Weinböhla;EHWB
Weinböhla;Weinböhla Kirchplatz;EWBK
Weinböhla;Köhlerstraße;KOL
Weinböhla;Weinböhla;WBL
