VKM;UNIQUE;Keeper Name / Halter Name / Nom du détenteur / Название владельца;Country Страна;Status Статус;www.;
LEG;LEG;LEG Leipziger Eisenbahnverkehrsgesellschaft mbH;DE;in use;leipziger-eisenbahn.de;
LEGET;LEGET;RTC Luka Leget AD;RS;in use;leget.rs;OTIF
LEITH;LEITH;Leithenmayr GmbH;AT;in use;;
LEL;LEL;Landeseisenbahn Lippe e.V.;DE;in use;landeseisenbahn-lippe.de;
LERG;LERG;LERG S.A.;PL;in use;;
LET;LET;Leo Expres Tenders s.r.o.;CZ;in use;le.cz;
LETEA;LETEA;LETEA S.A.;RO;in use;letea.ro;
LEUNA;LEUNA;InfraLeuna GmbH;DE;in use;infraleuna.de;
LEVEN;LEVEN;LEVEN DESARROLLOS, S.L.;ES;in use;levensl.com;
LF;LF;LOGISTICA FEROVIARA SRL;RO;in use;;
LFB;LFB;Limfjordsbanen;DK;in use;Limfjordsbanen.dk;
LFGRO;LFGRO;LAFARGE CIMENT (ROMANIA) SA;RO;in use;lafarge.ro;
LFI;LFI;Transporto Ferroviario Toscano;IT;in use;trasportoferroviariotoscano.it/;
LFIAB;LFIAB;Lars Filipsson Invest AB;SE;in use;;
LFP;LFP;LÍNEA FIGUERAS PERPIGNAN, S.A.;ES;in use;lfpperthus.com;
LG;LG;SPAB "Lietuvos Gelezinkeliai";LT;Revoked;litrail.lt;
LGAT;LGAT;Linde Gas GmbH;AT;in use;linde-gas.at;
LGBG;LGBG;Linde Gas Bulgaria EOOD;BG;in use;;
LGD;LGD;Linde GmbH Gases Division;DE;in use;linde.com;
LGGD;LGGD;Leyrer + Graf Baugesellschaft m.b.H;AT;in use;leyrer-graf.at;
LGM;LGM;LGM Logistikgesellschaft mbH;DE;in use;lgm-bahnlogistik.de;
LGS;LGS;HEAVY MACHINERY SERVICES a.s.;CZ;in use;legios.eu;
LGSE;LGSE;Linde Gas AB;SE;in use;linde-gas.se;
LGSL;LGSL;Legios Loco a.s.;CZ;in use;;
LGTRN;LGTRN;LOGITREN FERROVIARIA S.A.;ES;in use;;
LGYCA;LGYCA;Logyca Ultimo Miglio Ferroviario S.r.l.;IT;in use;logyca.it;
LHB;LHB;Liebherr-Hydraulikbagger GmbH;DE;in use;liebherr.com;
LHEJL;LHEJL;Lukáš Hejl;CZ;in use;;
LHS;LHS;PKP Linia Hutnicza Szerokotorowa Spólka z.o.o. w Zamosciu;PL;Blocked;;
LI;LI;Linea S.p.A.;IT;Revoked;lineaferroviaria.it;
LIBYA;LIBYA;Libya Railways;LY;in use;libyanrailways.com;OTIF
LILO;LILO;Linzer Lokalbahn;AT;Revoked;stern-verkehr.at;
LIN;LIN;LINSINGER Maschinenbau GmbH;AT;in use;linsinger.com;
LINDE;LINDE;LINDE TECHNOPLYN a.s.;CZ;in use;;
LINE;LINE;Line CNM AB;SE;Revoked;linekontaktledning.com;
LIO;LIO;Liberty Ostrava a.s.;CZ;in use;libertyostrava.cz;
LIS;LIS;Logistic Intermodal Services B.V.;NL;in use;logims.com;
LIVI;LIVI;Liikennevirasto;FI;in use;liikennevirasto.fi;
LJ;LJ;Lollandsbanen;DK;in use;lollandsbanen.dk;
LJM;LJM;Landeryds Järnvägsmuseum;SE;in use;landeryd.org;
LJV;LJV;Qvickab AB;SE;in use;;
LK;LK;Luka Koper, d. d.;SI;in use;luka-kp.si;
LKA;LKA;ŁÓDZKA KOLEJ AGLOMERACYJNA SP. Z O.O.;PL;in use;lka.lodz.pl;
LKAB;LKAB;LKAB;SE;in use;lkab.com;
LKB;LKB;Josef Kolvenbach GmbH & CO KG;DE;in use;;
LKKP;LKKP;Luka Koper;BG;Revoked;luka-kp.si;
LKM;LKM;Lokomotiva doo;RS;in use;;OTIF
LKO;LKO;LKO Teknik AB;SE;in use;;
LKR;LKR;LUKOIL ROMANIA SRL;RO;in use;;
LM;LM;Lokomotion Gesellschaft für Schienentraktion mbH;DE;in use;lokomotion-rail.de;
LMCRG;LMCRG;LAUMAR CARGO S. L.;ES;in use;;
LMF;LMF;LMF SAS;FR;in use;;
LMLUX;LMLUX;LMLux Sarl;LU;in use;;
LMP;LMP;Liebherr Mietpartner GmbH;DE;in use;liebherr.com;
LMSA;LMSA;Laurent Membrez SA;CH;in use;membrez.ch;OTIF
LMSTE;LMSTE;Lokalbahn Mixnitz – St. Erhard AG;AT;in use;;
LMVAB;LMVAB;LMV Kontaktledning AB;SE;in use;kontaktledning.se;
LN;LN;LeNord S.r.l.;IT;in use;lenord.it;
LNS;LNS;Lineas Group SA/NV;BE;in use;lineas.net;
LNVG;LNVG;Landesnahverkehrsgesellschaft Niedersachsen mbH;DE;in use;lnvg.de;
LNVV;LNVV;Landi Nord Vaudois-Venoge SA;CH;in use;landinordvaudoisvenoge.ch/;OTIF
LO;LO;Métro Lausanne-Ouchy SA;CH;Revoked;;OTIF
LOC;LOC;LoConnect GmbH;DE;in use;loconnect.eu;
LOCD;LOCD;Locomore GmbH & Co. KG;AT;in use;locomore.com;
LOCON;LOCON;LOCON Logistik & Consulting AG;DE;in use;locon.de;
LOG;LOG;Vossloh Rail Services Deutschland GmbH;DE;in use;vossloh.com;
login;LOGIN;Login Berufsbildung;CH;in use;login.ch;OTIF
LOGR;LOGR;Lokálka Group, o.s.;CZ;in use;lokalkagroup.cz;
LOGS;LOGS;Logistik Service GmbH;AT;in use;logserv.at;
LOGT;LOGT;LOGTRAR SRL;RO;in use;;
LOGWI;LOGWI;Logistik Wiesböck GmbH;DE;in use;logistik-wiesboeck.de;
LOK;LOK;LOK-SERWIS Krystian Stróżyk;PL;in use;;
LOKAL;LOKAL;UEF Lokalbahn Amstetten-Gerstetten e.V.;DE;in use;uef-lokalbahn.de;
LOKO;LOKO;Loko Trans BG OOD / Локо Транс БГ ООД;BG;in use;;
LOKOM;LOKOM;Przedsiębiorstwo Handlowo-Usługowe LOKOM – TOR Mariusz Król;PL;in use;lokomtor.pl;
LOKSK;LOKSK;LOK RAIL s.r.o.;SK;in use;;
LOKTM;LOKTM;Lokteam-Verein zur Erhaltung und Betrieb des Dampftriebfahrzeuges 52.4984;AT;in use;lokteam.at;
LOLLO;LOLLO;Mietlok;DE;in use;mietlok.de;
LOMI;LOMI;London Midland;UK;in use;londonmidland.com;
LOMO;LOMO;LOKO-MOTIV, z.s.;CZ;in use;loko-motiv.cz;
LONZA;LONZA;Lonza AG;CH;in use;lonza.com;OTIF
LORRY;LORRY;Lorry-Rail s.a.;LU;in use;lorry-rail.com;
LOSTR;LOSTR;LOSTR a.s.;CZ;Revoked;;
LOTOS;LOTOS;LOTOS Kolej Sp. z o.o.;PL;in use;;
LOTR;LOTR;LOTRAS S.R.L.;FR;in use;;
LOZYW;LOZYW;LOZYW SPÓŁKA Z O.O.;PL;in use;;
LP;LP;Lok-Partner Betriebsgesellschaft mbH & Co. KG;DE;in use;lok-partner.de;
LPAG;LPAG;LokPool AG;CH;in use;lokpool.ch;OTIF
LPG;LPG;Locomotives Pool GmbH;DE;in use;locomotives-pool.com;
LPR;LPR;LokoPro s.r.o.;CZ;in use;;
LPTAB;LPTAB;Logent Terminal AB;SE;in use;longent.se;
LPZ;LPZ;Lipsia Erlebnisreisen GmbH;DE;in use;lipsia-erlebnisreisen.de;
LR;LR;LokRapid;DE;in use;lokrapid.de;
LRL;LRL;LOKORAIL, a.s.;SK;in use;lokorail.sk;
LRS;LRS;LRS Leipzig Rail Service GmbH;DE;in use;;
LS;LS;L&S Luddeneit und Scherf GmbH;DE;in use;l-und-s.de;
LSB;LSB;LSB Lok Service Balmer AG;CH;in use;lsbag.ch;OTIF
LSD;LSD;LOGISTIC SERVICES DANUBIUS S.R.L.;RO;in use;;
LSDB;LSDB;DB Schenker Rail Bulgaria;BG;Revoked;;
LSL;LSL;Leiteritz ServiceLogistic UG (haftungsbeschränkt);DE;in use;leiteritz-servicelogistik.de;
LSLSP;LSLSP;Leasing Slovenskej sporitelne, a.s.;SK;in use;leasingslsp.sk;
LSR;LSR;Loacker Swiss Recycling AG;CH;in use;loacker.ch;OTIF
LTAB;LTAB;Landeryds Trafik AB;SE;in use;lt-ab.se;
LTB;LTB;LOKO TRANS s.r.o.;CZ;in use;lokotrans.cz;
LTBCZ;LTBCZ;LOKO TRANS s.r.o. - organinisačná zloška;SK;in use;lokotransslovakia.sk;
LTBTT;LTBTT;Logistik-Transporte-Bahr GmbH & Co. KG;DE;in use;lt-bahr.de;
LTC;LTC;Logistic & Transport Company sp.  z o.o.;PL;in use;;
LTCMZ;LTCMZ;LOKO - CMZ, s. r. o.;SK;in use;;
LTE;LTE;LTE Logistik und Transport GmbH;AT;in use;lte-group.eu;
LTEAT;LTEAT;LTE Austria GmbH;AT;in use;lte-group.eu;
LTEHU;LTEHU;LTE Hungária Vasúti Árufuvarozó és Logisztikai Kft.;HU;in use;lte-group.eu;
LTEPL;LTEPL;LTE Polska sp. z o.o.;PL;in use;lte-group.eu;
LTERO;LTERO;LTE-RAIL ROMANIA SRL;RO;in use;lte.at/en/LTE/LTE-RO46.html;
LTESK;LTESK;LTE Logistik a Transport Slovakia, s.r.o.;SK;in use;lte.at;
LTEU;LTEU;Loko Train s.r.o.;CZ;in use;lokotrain.eu;
LTF;LTF;LOGISTICA Y TRANSPORTE FERROVIARIO, SAU;ES;in use;;
LTFBG;LTFBG;LO.TRA.FER. -LOGISTICA TRANSPORTI FERROVIARI-s.r.l.;IT;in use;lotrafer.it;
LTG;LTG;AB „LTG CARGO";LT;in use;litrail.lt;
LTGPL;LTGPL;LTG CARGO Polska sp. z o.o.;PL;in use;ltgcargo.pl;
LTL;LTL;LTL GmbH;DE;in use;;
LTS;LTS;LOKO TRANS;SK;in use;lokotransslovakia.sk;
LTSA;LTSA;La Traction SA;CH;in use;la-traction.ch;OTIF
LTSB;LTSB;LOKOTRANS SERVIS s.r.o.;CZ;in use;;
LTSL;LTSL;LTS Logistik, s.r.o.;SK;in use;;
LUE;LUE;Lühring GmbH;DE;in use;luehring-baggerunternehmen.de;
LUGO;LUGO;LUGO TERMINAL S.P.A.;IT;in use;lugoterminal.com;
ЛУКБГ;LUKBG;Лукойл България ЕООД;BG;in use;lukoil.bg;
LUKo;LUKo;Neftohimtrejn;BG;in use;;
LUMAC;LUMAC;Lumac s.a.;ES;in use;lumac.es;
LUNDW;LUNDW;Laeger & Wöstenhöfer GmbH & Co. KG;DE;in use;lundw-privatbahn.de;
LUTRA;LUTRA;LUTRA GMBH- Mittelbrandenburgische Hafengesellschaft;DE;in use;hafenkw.de;
LUTT;LUTT;LUTTERODT, Gleis- und Tiefbau;DE;in use;;
LUTZ;LUTZ;Gebr. Lutz Bauunternehmung GmbH & Co. KG;DE;in use;gebr-lutz.de;
LUW;LUW;Laeger & Wöstenhöfer GmbH & Co. KG;DE;in use;lundw-privatbahn.de;
LVCH;LVCH;Lovochemie, a.s.;CZ;in use;;
LVE;LVE;Lokalbahn Lambach - Vorchdorf=Eggenberg;AT;Revoked;stern-verkehr.at;
LVT;LVT;Konigs Wuserhausen Mittenwalde Töpchiner Kleinbahn GmbH;DE;in use;;
LW;LW;Förderverein Berlin-Anhaltiche Eisenbahn e.V;DE;in use;eisenbahnverein-wittenberg.de;
LWB;LWB;Lappwaldbahn;DE;in use;lappwaldbahn.de;
LWC;LWC;LWC Lappwaldbahn Cargo GmbH;DE;in use;lappwaldbahn.de;
LWRTE;LWRTE;LEONHARD WEISS RTE AS;EE;in use;leonhard-weiss.com;
LWS;LWS;LWS Lappwaldbahn Service GmbH;DE;in use;lappwaldbahn.de;
LWZ;LWZ;LWZ Sp. z o.o.;PL;in use;;
LZC;LZC;Lead & Zinc Complex PLC / Оловно цинков комплекс;BG;in use;;
LŽK;LZK;Letohradský železnični klub z.s.;CZ;in use;lzkclub.estranky.cz;
MAASG;MAASG;GBM Gleisbau Maas GmbH;DE;in use;maasbau.de;
MABS;MABS;Museumseisenbahn Ammerland-Barßel-Saterland e.V.;DE;in use;mabs-online.de;
MAED;MAED;Maik AMPFT Eisenbahndienstleistungen;DE;in use;;
