Linie;Streckenverlauf;Verkehrsmitteltext;Kompakte Liniennummer
62;Uhlbach - Obertürkheim - Hedelfingen - Rohracker;5 - Bus;30-62-j18
64;(Buchwald - Waldebene Ost-) Stelle - Frauenkopf;5 - Bus;30-64-j18
65;(Uhlbach -) Obertürkheim - Heumaden - Plieningen;5 - Bus;30-65-j18
66;Kühwasen - Geschwister-Scholl-Gymnasium;5 - Bus;30-66-j18
67;(Fellbach Gewerbegebiet -) Bahnhof - Gartenstraße;5 - Bus;30-67-j18
70;(Hoffeld -) Ruhbank - (Schönberg -) Plieningen;5 - Bus;30-70-j18
71;Hoffeld - Degerloch - Asemwald - Schönberg;5 - Bus;30-71-j18
72;Möhringen - Fasanenhof;5 - Bus;30-72-j18
73;Degerloch - Plieningen - Neuhausen;5 - Bus;30-73-j18
74;Degerloch - Bernhausen - Nürtingen;5 - Bus;30-74-j18
E;Plattenhardt - Sielmingen - Nürt. Hölderlin-Gymn. (Schülerverkehr);5 - Bus;30-74-a-j18
75;Bernhausen - Aich - Walddorfhäslach;5 - Bus;30-75-j18
E;(Plieningen -) Sielmingen - Bernhausen - Bonlanden - Aich (Schülerverkehr);5 - Bus;30-75-a-j18
76;Degerloch - Bernhausen - Stetten - Echterdingen;5 - Bus;30-76-j18
77;Degerloch - Echterdingen - Harthausen;5 - Bus;30-77-j18
78;Degerloch - Messe;5 - Bus;30-78-j18
80;Vaihingen Bf (Ost) - Industriegebiet - Vaihingen Bf (Ost);5 - Bus;30-80-j18
81;Büsnau - Vaihingen - Rohr - Dürrlewang;5 - Bus;30-81-j18
82;Waldeck - Universität - Vaihingen - Rohr (- Leinfelden Bf);5 - Bus;30-82-j18
84;Vaihingen - Sindelfingen - Universität;5 - Bus;30-84-j18
86;Vaihingen - Musberg - Leinfelden;5 - Bus;30-86-j18
90;Korntal - Weilimdorf - Giebel;5 - Bus;30-90-j18
91;Feuerbach - Forsthaus (- Lauchhau - Sindelf. Spitzholz);5 - Bus;30-91-j18
92;Stuttgart  - Leonberg - Universität - Heslach Vogelrain;5 - Bus;30-92-j18
94;Leonb. Blosenbergk. - Bf - Ramtel (- Waldfriedhof);5 - Bus;30-94-j18
98;Ditzingen - Gerlingen - Leonberg Golfplatz;5 - Bus;30-98-j18
