Abk;Name;UIC
GHCB;Großenhain Cottb Bf = Großenhain;8011749
GHW;Gensingen-Horrweiler;8000121
GI;Gießen;8000124
GLA;Gladbeck West;8000125
GNT;Genthin;8010123
GODE;Goddelau-Erfelden;8000126
GOE;Göttingen;8000128
GOES;Gößnitz;8010134
GOLM;Golm;8013481
GP;Göppingen;8000127
GR;Görlitz;8010131
GRAB;Graben-Neudorf;8000131
GRAG;Grambow;8011689
GRB;Großbothen;8010144
GRD;Gernrode(Harz);8010127
GREV;Grevenbroich;8000133
GRIM;Grimmenthal;8010142
GRK;Großkorbetha;8010146
GRS;Gransee;8011691
GRSS;Großschönau(Sachs);8011761
GRUE;Grünstadt;8000137
GRUI;Gruiten;8000138
GRUN;Grunow(Nl);8010150
GRZ;Greiz;8010140
GS;Goslar;8000130
GSN;Güsen(b Genthin);8010151
GTH;Gotha;8010136
GUE;Güstrow;8010153
GUET;Güterglück;8010154
GUNT;Guntershausen;8000140
GUS;Güsten;8010152
GUT;Gutenfürst;8011790
GWZ;Göschwitz(Saale);8010133
GZ;Günzburg;8000139
H;Hannover Hbf;8000152
HA;Hagen Hbf;8000142
HAG;Hagenwerder;8011799
HAGL;Hagenow Land;8010156
HAL;Halle(Saale)Hbf;8010159
HALA;Halle-Ammendorf;8010162
HALN;Halle-Neustadt;8010160
HALT;Haltern(Westf);8000145
HAM;Hamm(Westf);8000149
HAR;Hamburg-Harburg;8000147
HARZ;Bad Harzburg;8000019
HAST;Haste;8002634
HAUS;Hausach;8000333
HB;Bremen Hbf;8000050
HBO;Hohenbocka;8010171
HBS;Halberstadt;8010157
HD;Heidelberg Hbf;8000156
HDL;Haldensleben;8010158
HDO;Holzdorf(Elster);8011909
HE;Helmstedt;8000159
HEBO;Herborn(Dillkr);8000161
HEI;Heide(Holst);8000155
HENN;Hennigsdorf(Berlin);8013483
HER;Herne;8000164
HERB;Herbertingen;8000160
HERL;Herlasgrün;8010166
HERP;Hersbruck(r Pegnitz);8002794
HERS;Bad Hersfeld;8000020
HERV;Hervest-Dorsten;8000165
HESE;Hesepe;8000167
