Linie;Laufweg
732;Lübz - Sehlsdorf - Gallin - Sandhof
733;Bahlenrade - Werder - Tannenhof - Passow
734;Parchim - Spornitz - Dütschow
735;Meyenburg - Plau am See - Krakow am See - Güstrow (Bahnersatzverkehr)
737;Dargelütz - Neuhofer Weiche - Parchim
740;Plau - Lübz - Schwerin
750;Zidderich - Goldberg - Lübz
750;Zidderich - Goldberg - Lübz
751;Mestlin - Dobbertin - Spendin - Woosten
752;Goldberg - Woosten - Spendin
800;Rufbuszone Plau am See - Plauerhagen
801;Rufbuszone Lübz - Ganzlin
802;Rufbuszone Plau
803;Rufbuszone Lübz - Ganzlin
804;Rufbuszone Lübz - Mestlin
805;Rufbuszone Parchim - Mestlin
806;Rufbuszone Parchim - Marnitz
807;Rufbuszone Parchim - Groß Godems
808;Rufbuszone Parchim - Domsühl
809;Rufbuszone Parchim - Raduhn
810;Rufbuszone Grabow - Balow
811;Rufbuszone Grabow - Dömitz
812;Rufbuszone Ludwigslust - Vielank - Dömitz
813;Rufbuszone Ludwigslust - Picher
814;Rufbuszone Ludwigslust - Rastow
815;Rufbuszone Neustadt-Glewe - Ludwigslust
820;Rufbuszone Hagenow - Picher
821;Rufbuszone Hagenow - Lübtheen
822;Rufbuszone Hagenow - Vellahn - Wittenburg
823;Rufbuszone Hagenow - Gammelin
824;Rufbuszone Wittenburg - Tessin - Zarrentin
825;Rufbuszone Zarrentin - Kogel
830;Rufbuszone Boizenburg - Gallin - Zarrentin
831;Rufbuszone Boizenburg - Teldau
832;Rufbuszone Boizenburg - Vellahn - Wittenburg
840;Rufbuszone Schwerin - Stralendorf
841;Rufbuszone Crivitz - Goldenstädt - Plate
842;Rufbuszone Crivitz - Demen
843;Rufbuszone Sternberg - Dabel
844;Rufbuszone Sternberg - Brüel - Kuhlen
846;Rufbuszone Schwerin - Ventschow
847;Rufbuszone Schwerin - Banzkow - Rastow
848;Rufbuszone Crivitz - Ruthenbeck
849;Rufbuszone Sternberg - Brüel - Groß Raden
5081;Kaarßen - Neuhaus - Darchau Fähre (Notfahrplan bei Ausfall der Fähre)
5504;Rufbuszone Neuhaus - Boizenburg
5505;Rufbuszone Neuhaus - Dömitz
8790;Bf. Ratzeburg - Sterley - Seedorf - Zarrentin
8850;Büchen - Gudow - Sterley - Mölln
8859;Rufbuszone Zarrentin - Gudow
