BANENR;TIB;HVDSTRK;STRKAFS;TRINBRAET;NAVN;FORKORTELSE;FRAKM;TILKM;STATIONSMIDTE;BANEKLASSE;BTRTYPE;BEMAERKNING;SORT_ORDER;FILTER
;;494;494000;;(Rødekro) - Aabenraa;Rq-Åa;1,09;6,383;;Nedlagt;Fri Bane;Tidl. Godsbane;531;3
;;494;494007;;Aabenraa;Åa;6,383;6,768;6,8;Nedlagt;Station;Tidl. Godsbane;532;STED
;;496;496001;;Haderslev By;Hab;0;0,254;0;Nedlagt;Station;Tidl. Godsbane;533;STED
;;496;496000;;Haderslev - (Vojens);Had-Oj;0,254;10,975;;Nedlagt;Fri Bane;Tidl. Godsbane;534;4
52;52;52;521252;;Lindholm - Aalborg Lufthavn;Lih-Abl;252,319;253,86;;Hovedbane;Fri Bane;Data er ikke endelige;535;4
52;52;52;521255;;Aalborg Lufthavn;Abl;253,86;254,303;254,198;Hovedbane;Station;Data er ikke endelige;536;STED
;;53;531002;;Aalborg - Aalborg Østhavn;Ab-Abø;2,154;16,919;;Godsbane;Fri Bane;;537;3
;;602;602001;;Jægersborg;Jæt;0;0,83;0;Privatbane;Station;;538;STED
;;602;602002;;Jægersborg - Fuglevad;Jæt-Fgv;0,83;3,16;;Privatbane;Fri Bane;;539;4
;;602;602002;602011;Nørgaardsvej;Nøv;;;1,2;Privatbane;Trinbræt;;540;STED
;;602;602002;602019;Lyngby Lokal;Lyl;;;1,9;Privatbane;Trinbræt;;541;STED
;;602;602003;;Fuglevad;Fgv;3,16;3,61;3,3;Privatbane;Station;;542;STED
;;602;602004;;Fuglevad - Ørholm;Fgv-Ørh;3,61;5,25;;Privatbane;Fri Bane;;543;4
;;602;602004;602045;Brede;Bre;;;4,5;Privatbane;Trinbræt;;544;STED
;;602;602005;;Ørholm;Ørh;5,25;5,65;5,5;Privatbane;Station;;545;STED
;;602;602006;;Ørholm - Nærum;Ørh-Nær;5,65;7,33;;Privatbane;Fri Bane;;546;4
;;602;602006;602061;Ravnholm;Rvh;;;6,1;Privatbane;Trinbræt;;547;STED
;;602;602073;;Nærum;Nær;7,33;7,64;7,64;Privatbane;Station;;548;STED
;;604;604002;;Hillerød - Brødeskov;Hi-Bsk;0,971;4,45;;Privatbane;Fri Bane;;549;3
;;604;604005;;Brødeskov;Bsk;4,45;5,32;4,8;Privatbane;Station;;550;STED
;;604;604006;;Brødeskov - Gørløse;Bsk-Gør;5,32;9,5;;Privatbane;Fri Bane;;551;4
;;604;604011;;Gørløse;Gør;9,5;10,25;9,8;Privatbane;Station;;552;STED
;;604;604012;;Gørløse - Skævinge;Gør-Skv;10,25;13,97;;Privatbane;Fri Bane;;553;4
;;604;604015;;Skævinge;Skv;13,97;15,22;14,2;Privatbane;Station;;554;STED
;;604;604016;;Skævinge - Ølsted;Skv-Øls;15,22;18,94;;Privatbane;Fri Bane;;555;4
;;604;604016;604017;Grimstrup;Gsf;;;17,3;Privatbane;Trinbræt;;556;STED
;;604;604019;;Ølsted;Øls;18,94;19,69;19,3;Privatbane;Station;;557;STED
;;604;604020;;Ølsted - Kregme;Øls-Krf;19,69;21,28;;Privatbane;Fri Bane;;558;4
;;604;604021;;Kregme;Krf;21,28;22;21,5;Privatbane;Station;;559;STED
;;604;604022;;Kregme - Frederiksværk;Krf-Frv;22;25,21;;Privatbane;Fri Bane;;560;4
;;604;604022;604023;Lille Kregme;Llk;;;23;Privatbane;Trinbræt;;561;STED
;;604;604025;;Frederiksværk;Frv;25,21;26,37;25,8;Privatbane;Station;;562;STED
;;604;604026;;Frederiksværk - Melby;Frv-Mel;26,37;29,85;;Privatbane;Fri Bane;;563;4
;;604;604026;604027;Hanehoved;Hhf;;;27,3;Privatbane;Trinbræt;;564;STED
;;604;604029;;Melby;Mel;29,85;30,59;30;Privatbane;Station;;565;STED
