BANENR;TIB;HVDSTRK;STRKAFS;TRINBRAET;NAVN;FORKORTELSE;FRAKM;TILKM;STATIONSMIDTE;BANEKLASSE;BTRTYPE;BEMAERKNING;SORT_ORDER;FILTER
;;662;662013;;Hesselmed;Hst;13,92;14,41;14;Privatbane;Station;;722;STED
;;662;662014;;Hesselmed - Oksbøl;Hst-Oks;14,41;14,73;;Privatbane;Fri Bane;;723;4
;;662;662015;;Oksbøl;Oks;14,73;15,58;15,1;Privatbane;Station;;724;STED
;;662;662016;;Oksbøl - Henne;Oks-Hnn;15,58;24,36;;Privatbane;Fri Bane;;725;4
;;662;662016;662017;Baunhøj;Bah;;;16,2;Privatbane;Trinbræt;;726;STED
;;662;662016;662019;Vrøgum;Vrø;;;18,2;Privatbane;Trinbræt;;727;STED
;;662;662016;662021;Jegum;Jeg;;;19,7;Privatbane;Trinbræt;;728;STED
;;662;662016;662023;Søvig Sund;Søt;;;21,8;Privatbane;Trinbræt;;729;STED
;;662;662016;662237;Dyreby;Dy;;;23,7;Privatbane;Trinbræt;;730;STED
;;662;662025;;Henne;Hnn;24,36;25,39;25;Privatbane;Station;;731;STED
;;662;662026;;Henne - Outrup;Hnn-Ovt;25,39;27,22;;Privatbane;Fri Bane;;732;4
;;662;662027;;Outrup;Ovt;27,22;27,82;27,7;Privatbane;Station;;733;STED
;;662;662028;;Outrup - Nørre Nebel;Ovt-Nbl;27,82;37,17;;Privatbane;Fri Bane;;734;4
;;662;662028;662029;Løftgård;Løt;;;29,1;Privatbane;Trinbræt;;735;STED
;;662;662028;662032;Lunde;Luj;;;32,2;Privatbane;Trinbræt;;736;STED
;;662;662037;;Nørre Nebel;Nbl;37,17;37,81;37,6;Privatbane;Station;;737;STED
;;663;663002;;Oksbøl - Oksbøl Lejren;Oks-Oksl;0;4,79;;Privatbane;Fri Bane;;738;4
;;664;664009;;Odder;Odd;9,7;10,06;9,7;Privatbane;Station;;739;STED
;;664;664012;;Odder - Assedrup;Odd-Ass;10,06;13,66;;Privatbane;Fri Bane;;740;4
;;664;664012;664111;Rude Havvej;Ruh;;;11,1;Privatbane;Trinbræt;;741;STED
;;664;664013;;Assedrup;Ass;13,66;14,69;14;Privatbane;Station;;742;STED
;;664;664016;;Assedrup - Malling;Ass-Mal;14,69;17,93;;Privatbane;Fri Bane;;743;4
;;664;664017;;Malling;Mal;17,93;18,85;18,1;Privatbane;Station;;744;STED
;;664;664020;;Malling - Mårslet;Mal-Mst;18,85;22,69;;Privatbane;Fri Bane;;745;4
;;664;664020;664205;Beder;Bed;;;20,5;Privatbane;Trinbræt;;746;STED
;;664;664020;664221;Vilhelmsborg;Vh;;;22,1;Privatbane;Trinbræt;;747;STED
;;664;664023;;Mårslet;Mst;22,69;23,43;23,1;Privatbane;Station;;748;STED
;;664;664024;;Mårslet - Tranbjerg;Mst-Trg;23,43;26,84;;Privatbane;Fri Bane;;749;4
;;664;664024;664237;Mølleparken;Mpk;;;23,8;Privatbane;Trinbræt;;750;STED
;;664;664024;664261;Nørrevænget;Nrv;;;26,1;Privatbane;Trinbræt;;751;STED
;;664;664027;;Tranbjerg;Trg;26,84;27,67;27,2;Privatbane;Station;;752;STED
;;664;664028;;Tranbjerg - Viby Jylland;Trg-Vi;27,67;31,12;;Privatbane;Fri Bane;;753;4
;;664;664028;664291;Gunnar Clausensvej;Gct;;;29,1;Privatbane;Trinbræt;;754;STED
;;664;664028;664297;Øllegårdsvej;Øgt;;;29,7;Privatbane;Trinbræt;;755;STED
;;664;664028;664305;Rosenhøj;Rh;;;30,6;Privatbane;Trinbræt;;756;STED
;;664;664031;;Viby Jylland;Vi;31,12;31,9;31,6;Privatbane;Station;;757;STED
;;664;664032;;Viby Jylland - Aarhus H;Vi-Ar;31,9;35,501;;Privatbane;Fri Bane;;758;3
;;664;664032;664033;Kongsvang;Kgv;;;33,4;Privatbane;Trinbræt;;759;STED
;;665;665002;;Lemvig - Strande;Lmv-Sta;1,28;10,04;;Privatbane;Fri Bane;;760;4
;;665;665002;665003;Balleby;Bat;;;3,7;Privatbane;Trinbræt;;761;STED
;;665;665002;665007;Klinkby;Kli;;;6,5;Privatbane;Trinbræt;;762;STED
;;665;665002;665009;Nejrup;Net;;;8,7;Privatbane;Trinbræt;;763;STED
;;665;665011;;Strande;Sta;10,04;10,86;10,3;Privatbane;Station;;764;STED
;;665;665012;;Strande - Harboøre;Sta-Hbø;10,86;17,06;;Privatbane;Fri Bane;;765;4
;;665;665012;665013;Victoria Street Station;Vic;;;11,9;Privatbane;Trinbræt;;766;STED
;;665;665012;665015;Vrist;Vri;;;14,6;Privatbane;Trinbræt;;767;STED
;;665;665017;;Harboøre;Hbø;17,06;17,95;17,5;Privatbane;Station;;768;STED
;;665;665018;;Harboøre - Rønland;Hbø-Røn;17,95;21,18;;Privatbane;Fri Bane;;769;4
;;665;665021;;Rønland;Røn;21,18;22,29;21,7;Privatbane;Station;;770;STED
;;665;665024;;Rønland - Thyborøn Havn;Røn-Thb;22,29;28,01;;Privatbane;Fri Bane;;771;4
;;665;665024;665025;Sprogøvej;Ths;;;26,5;Privatbane;Trinbræt;;772;STED
;;665;665024;665027;Thyborøn;Tht;;;27,2;Privatbane;Trinbræt;;773;STED
;;665;665029;;Thyborøn Havn;Thb;28,01;28,5;28,1;Privatbane;Station;;774;STED
;;666;666002;;Vemb - Bækmarksbro;Vem-Bkm;0,61;8,08;;Privatbane;Fri Bane;;775;4
;;666;666002;666005;Amstrup;Amt;;;5,5;Privatbane;Trinbræt;;776;STED
;;666;666009;;Bækmarksbro;Bkm;8,08;8,81;8,3;Privatbane;Station;;777;STED
;;666;666010;;Bækmarksbro - Fåre;Bkm-Fre;8,81;13,59;;Privatbane;Fri Bane;;778;4
;;666;666010;666011;Sinkbæk;Sit;;;11,6;Privatbane;Trinbræt;;779;STED
;;666;666013;;Fåre;Fre;13,59;14,28;13,8;Privatbane;Station;;780;STED
;;666;666016;;Fåre - Ramme;Fre-Ram;14,28;18,72;;Privatbane;Fri Bane;;781;4
;;666;666019;;Ramme;Ram;18,72;19,37;18,9;Privatbane;Station;;782;STED
;;666;666020;;Ramme - Bonnet;Ram-Bnt;19,37;22,53;;Privatbane;Fri Bane;;783;4
;;666;666023;;Bonnet;Bnt;22,53;23,22;23;Privatbane;Station;;784;STED
;;666;666024;;Bonnet - Lemvig;Bnt-Lmv;23,22;27,69;;Privatbane;Fri Bane;;785;4
;;666;666024;666025;Armose;Arm;;;25,9;Privatbane;Trinbræt;;786;STED
;;666;666027;;Lemvig;Lmv;27,69;28,9;28,8;Privatbane;Station;;787;STED
;;667;667000;;Mariager - Fårup;Mrg-Fp;0;18,87;;Privatbane;Fri Bane;Veteranbane;788;4
;;668;668001;;Hjørring;Hj;0,46;0,82;0;Privatbane;Station;;789;STED
;;668;668001;668005;Kvægtorvet;Kt;;;0,5;Privatbane;Trinbræt;;790;STED
;;668;668002;;Hjørring - Tornby;Hj-Tnb;0,82;10,13;;Privatbane;Fri Bane;;791;3
;;668;668002;668015;Teglgårdsvej;Tgv;;;1,6;Privatbane;Trinbræt;;792;STED
;;668;668002;668033;Herregårdsparken;Hgp;;;3,2;Privatbane;Trinbræt;;793;STED
;;668;668002;668041;Vellingshøj;Vlh;;;4;Privatbane;Trinbræt;;794;STED
;;668;668002;668069;Vidstrup;Vid;;;6,9;Privatbane;Trinbræt;;795;STED
;;668;668002;668095;Sønderby;Sdby;;;9,4;Privatbane;Trinbræt;;796;STED
;;668;668011;;Tornby;Tnb;10,13;10,87;10,4;Privatbane;Station;;797;STED
;;668;668012;;Tornby - Hirtshals;Tnb-Hhs;10,87;16,5;;Privatbane;Fri Bane;;798;4
;;668;668012;668135;Horne;Hon;;;13,6;Privatbane;Trinbræt;;799;STED
;;668;668012;668151;Emmersbæk;Emm;;;15,1;Privatbane;Trinbræt;;800;STED
;;668;668017;;Hirtshals;Hhs;16,5;17,9;17,8;Privatbane;Station;;801;STED
;;668;668017;668165;Lilleheden;Lhe;;;16,6;Privatbane;Trinbræt;;802;STED
;;669;669002;;Frederikshavn - Strandby;Fh-Stb;1,36;6,16;;Privatbane;Fri Bane;;803;3
;;669;669005;;Strandby;Stb;6,16;6,87;6,5;Privatbane;Station;;804;STED
;;669;669008;;Strandby - Jerup;Stb-Jeu;6,87;12,86;;Privatbane;Fri Bane;;805;4
;;669;669008;669009;Rimmen;Rim;;;9,5;Privatbane;Trinbræt;;806;STED
;;669;669013;;Jerup;Jeu;12,86;13,47;13,3;Privatbane;Station;;807;STED
;;669;669014;;Jerup - Ålbæk;Jeu-Ålb;13,47;19,69;;Privatbane;Fri Bane;;808;4
;;669;669014;669015;Napstjert;Nap;;;15,6;Privatbane;Trinbræt;;809;STED
;;669;669019;;Ålbæk;Ålb;19,69;20,47;19,9;Privatbane;Station;;810;STED
;;669;669022;;Ålbæk - Hulsig;Ålb-Hul;20,47;27,97;;Privatbane;Fri Bane;;811;4
;;669;669022;669025;Bunken;Buk;;;24,5;Privatbane;Trinbræt;;812;STED
;;669;669027;;Hulsig;Hul;27,97;28,59;28,2;Privatbane;Station;;813;STED
;;669;669030;;Hulsig - Skagen;Hul-Sgb;28,59;39,05;;Privatbane;Fri Bane;;814;4
;;669;669030;669037;Frederikshavnsvej;Fhv;;;38;Privatbane;Trinbræt;;815;STED
;;669;669039;;Skagen;Sgb;39,05;39,93;39,85;Privatbane;Station;;816;STED
80;810,820,850;81;811000;;København H;Kh;0;0,781;0;S-bane;Station;;817;STED
80;810;81;812001;;København H - Valby;Kh-Val;0,781;3,401;;S-bane;Fri Bane;Kun spor V;818;3
80;810,850;81;812002;;København H - Skelbæk;Kh-Slb;0,781;0,967;;S-bane;Fri Bane;Ikke spor V;819;3
80;810,850;81;812002;812021;Dybbølsbro;Dbt;;;0,9;S-bane;Trinbræt;;820;STED
80;810,850;81;813000;;Skelbæk;Slb;0,967;1,696;1,3;S-bane;Teknisk Station;Ikke spor V;821;STED
80;810;81;814002;;Skelbæk - Valby;Slb-Val;1,696;3,401;;S-bane;Fri Bane;Ikke spor V;822;4
80;810;81;814002;814023;Carlsberg;Cb;;;2,55;S-bane;Trinbræt;;823;STED
80;810,830;81;815000;;Valby;Val;3,401;4,846;3,925;S-bane;Station;;824;STED
81;810;81;816006;;Valby - Glostrup;Val-Gl;4,846;10,478;;S-bane;Fri Bane;;825;4
81;810;81;816006;816007;Danshøj;Dah;;;5,26;S-bane;Trinbræt;;826;STED
81;810;81;816006;816063;Hvidovre Nær;Hit;;;6,3;S-bane;Trinbræt;;827;STED
81;810;81;816006;816075;Rødovre;Rdo;;;7,4;S-bane;Trinbræt;;828;STED
81;810;81;816006;816085;Brøndbyøster;Bøt;;;8,5;S-bane;Trinbræt;;829;STED
81;810;81;816011;;Glostrup;Gl;10,478;11,998;11,214;S-bane;Station;;830;STED
81;810;81;816012;;Glostrup - Taastrup;Gl-Tå;11,998;16,902;;S-bane;Fri Bane;;831;3
81;810;81;816012;816141;Albertslund;Alb;;;14,1;S-bane;Trinbræt;;832;STED
81;810;81;817000;;Taastrup;Tå;16,902;17,999;17,4;S-bane;Station;;833;STED
81;810;81;818020;;Taastrup - Høje Taastrup;Tå-Htå;17,999;18,929;;S-bane;Fri Bane;;834;3
81;810;81;819000;;Høje Taastrup;Htå;18,929;19,822;19,5;S-bane;Station;;835;STED
80;820;82;821000;;København H;Kh;0;0,4;0;S-bane;Station;;836;STED
80;820;82;822002;;København H - Østerport;Kh-Kk;0,4;2,375;;S-bane;Fri Bane;;837;3
80;820;82;822002;822023;Vesterport;Vpt;;;0,5;S-bane;Trinbræt;;838;STED
80;820;82;822002;822027;Nørreport;Kn;;;1,5;S-bane;Trinbræt;;839;STED
80;820;82;822003;;Østerport;Kk;2,375;3,593;3,055;S-bane;Station;;840;STED
80;820;82;822004;;Østerport - Svanemøllen;Kk-Sam;3,593;5,315;;S-bane;Fri Bane;;841;3
80;820;82;822004;822045;Nordhavn;Nht;;;4,5;S-bane;Trinbræt;;842;STED
80;820,840,8820;82;823000;;Svanemøllen;Sam;5,315;6,305;5,8;S-bane;Station;;843;STED
82;8820;82;824006;;Svanemøllen - Hellerup;Sam-Hl;6,305;7,043;;S-bane;Fri Bane;;844;4
82;8820,8860,8880;82;825000;;Hellerup;Hl;7,043;8,556;7,825;S-bane;Station;;845;STED
82;8820;82;826010;;Hellerup - Gentofte;Hl-Gj;8,556;10,064;;S-bane;Fri Bane;;846;3
82;8820;82;826010;826109;Bernstorffsvej;Bft;;;9,3;S-bane;Trinbræt;;847;STED
82;8820;82;826011;;Gentofte;Gj;10,064;11,851;10,926;S-bane;Station;;848;STED
82;8820;82;826012;;Gentofte - Lyngby;Gj-Ly;11,851;13,199;;S-bane;Fri Bane;;849;3
82;8820;82;826012;826125;Jægersborg;Jæt;;;12,56;S-bane;Trinbræt;;850;STED
82;8820;82;826013;;Lyngby;Ly;13,199;14,476;13,89;S-bane;Station;;851;STED
82;8820;82;826016;;Lyngby - Holte;Ly-Hot;14,476;18,142;;S-bane;Fri Bane;;852;3
82;8820;82;826016;826165;Sorgenfri;Sft;;;15,728;S-bane;Trinbræt;;853;STED
82;8820;82;826016;826171;Virum;Vir;;;17,7;S-bane;Trinbræt;;854;STED
82;8820;82;826019;;Holte;Hot;18,142;19,817;18,96;S-bane;Station;;855;STED
82;8820;82;826020;;Holte - Birkerød;Hot-Bi;19,817;23,076;;S-bane;Fri Bane;;856;4
82;8820;82;826023;;Birkerød;Bi;23,076;24,748;23,823;S-bane;Station;;857;STED
82;8820;82;826026;;Birkerød - Allerød;Bi-Li;24,748;28,766;;S-bane;Fri Bane;;858;3
82;8820;82;826026;826270;Høvelte;Høv;;;26,3;S-bane;Trinbræt;;859;STED
82;8820;82;826029;;Allerød;Li;28,766;30,375;29,335;S-bane;Station;;860;STED
82;8820;82;826032;;Allerød - Hillerød;Li-Hi;30,375;35,625;;S-bane;Fri Bane;;861;3
82;8820;82;827000;;Hillerød;Hi;35,625;36,676;36,5;S-bane;Station;;862;STED
83;830;83;832006;;Valby - Vanløse;Val-Van;4,74;6,5;;S-bane;Fri Bane;;863;4
83;830;83;832006;832065;Langgade;Vat;;;4,8;S-bane;Trinbræt;;864;STED
83;830;83;832006;832069;Peter Bangsvej;Pbt;;;5,9;S-bane;Trinbræt;;865;STED
83;830;83;833000;832071;Flintholm;Fl;;;6,8;S-bane;Trinbræt;;866;STED
83;830;83;833000;;Vanløse;Van;6,5;8,081;7,3;S-bane;Station;;867;STED
83;830;83;834010;;Vanløse - Herlev;Van-Her;8,081;11,473;;S-bane;Fri Bane;;868;4
83;830;83;834010;834105;Jyllingevej;Jyt;;;8,2;S-bane;Trinbræt;;869;STED
83;830;83;834010;834107;Islev;Ist;;;9,4;S-bane;Trinbræt;;870;STED
83;830;83;834010;834109;Husum;Hut;;;10,752;S-bane;Trinbræt;;871;STED
83;830;83;834011;;Herlev;Her;11,473;12,898;12,34;S-bane;Station;;872;STED
83;830;83;834014;;Herlev - Ballerup;Her-Ba;12,898;16,939;;S-bane;Fri Bane;;873;4
83;830;83;834014;834151;Skovlunde;Sko;;;15;S-bane;Trinbræt;;874;STED
83;830;83;834014;834161;Malmparken;Mpt;;;16;S-bane;Trinbræt;;875;STED
83;830;83;835000;;Ballerup;Ba;16,939;19,12;17,855;S-bane;Station;;876;STED
83;830;83;836020;;Ballerup - Veksø;Ba-Vs;19,12;25,515;;S-bane;Fri Bane;;877;3
83;830;83;836020;836021;Måløv;Mw;;;21,07;S-bane;Trinbræt;;878;STED
83;830;83;836020;836023;Kildedal;Kid;;;23,142;S-bane;Trinbræt;;879;STED
83;830;83;836025;;Veksø;Vs;25,515;27,318;26,24;S-bane;Station;;880;STED
83;830;83;836028;;Veksø - Ølstykke;Vs-Øl;27,318;33,256;;S-bane;Fri Bane;;881;3
83;830;83;836028;836029;Stenløse;St;;;30,03;S-bane;Trinbræt;;882;STED
83;830;83;836028;836031;Egedal;Egd;;;31,5;S-bane;Trinbræt;;883;STED
83;830;83;836033;;Ølstykke;Øl;33,256;34,93;34,06;S-bane;Station;;884;STED
83;830;83;836036;;Ølstykke - Frederikssund;Øl-Fs;34,93;40,851;;S-bane;Fri Bane;;885;3
83;830;83;836036;836037;Vinge;Vng;;;37,265;S-bane;Trinbræt;Ikke i drift endnu;886;STED
83;830;83;837000;;Frederikssund;Fs;40,851;41,836;41,84;S-bane;Station;;887;STED
84;840;84;842008;;Svanemøllen - Dyssegård;Sam-Dyt;6,937;9,85;;S-bane;Fri Bane;;888;4
84;840;84;842008;842087;Ryparken;Ryt;;;7,1;S-bane;Trinbræt;;889;STED
84;840;84;842008;842089;Emdrup;Emt;;;9,2;S-bane;Trinbræt;;890;STED
84;840;84;842011;;Dyssegård;Dyt;9,85;11,06;10,6;S-bane;Station;;891;STED
84;840;84;842012;;Dyssegård - Buddinge;Dyt-Bud;11,06;13,079;;S-bane;Fri Bane;;892;4
84;840;84;842012;842123;Vangede;Ang;;;11,5;S-bane;Trinbræt;;893;STED
84;840;84;842012;842125;Kildebakke;Ket;;;12,7;S-bane;Trinbræt;;894;STED
84;840;84;842013;;Buddinge;Bud;13,079;14,407;13,8;S-bane;Station;;895;STED
84;840;84;842016;;Buddinge - Hareskov;Bud-Har;14,407;19,886;;S-bane;Fri Bane;;896;4
84;840;84;842016;842165;Stengården;Sgt;;;15,6;S-bane;Trinbræt;;897;STED
84;840;84;842016;842169;Bagsværd;Bav;;;16,8;S-bane;Trinbræt;;898;STED
84;840;84;842016;842183;Skovbrynet;Skt;;;18,2;S-bane;Trinbræt;;899;STED
84;840;84;842019;;Hareskov;Har;19,886;20,746;20,2;S-bane;Station;;900;STED
84;840;84;842022;;Hareskov - Farum;Har-Fm;20,746;26,188;;S-bane;Fri Bane;;901;4
84;840;84;842022;842233;Værløse;Vær;;;23,2;S-bane;Trinbræt;;902;STED
84;840;84;843000;;Farum;Fm;26,188;27,444;27,3;S-bane;Station;;903;STED
85;850;85;852001;;København H - Bavnehøj;Kh-Ban;0,781;1,928;;S-bane;Fri Bane;Kun spor V;904;3
85;850;85;852002;;Skelbæk - Bavnehøj;Slb-Ban;1,696;1,928;;S-bane;Fri Bane;Ikke spor V;905;4
85;850;85;852003;;Bavnehøj;Ban;1,928;2,759;2,4;S-bane;Teknisk Station;;906;STED
85;850;85;852004;;Bavnehøj - Åmarken;Ban-Åm;2,759;5,763;;S-bane;Fri Bane;;907;4
85;850;85;852004;852043;Sydhavn;Syv;;;2,9;S-bane;Trinbræt;;908;STED
85;850;85;852004;852045;Sjælør;Sjæ;;;3,8;S-bane;Trinbræt;;909;STED
85;850;85;852004;852049;Ny Ellebjerg;Nel;;;4,4;S-bane;Trinbræt;;910;STED
85;850;85;852005;;Åmarken;Åm;5,763;6,91;6,275;S-bane;Station;;911;STED
85;850;85;852008;;Åmarken - Vallensbæk;Åm-Vlb;6,91;13,297;;S-bane;Fri Bane;;912;3
85;850;85;852008;852091;Friheden;Frh;;;7,8;S-bane;Trinbræt;;913;STED
85;850;85;852008;852097;Avedøre;Avø;;;9,631;S-bane;Trinbræt;;914;STED
85;850;85;852008;852119;Brøndby Strand;Bsa;;;11,923;S-bane;Trinbræt;;915;STED
85;850;85;852013;;Vallensbæk;Vlb;13,297;14,593;14,1;S-bane;Station;;916;STED
85;850;85;852016;;Vallensbæk - Hundige;Vlb-Und;14,593;17,789;;S-bane;Fri Bane;;917;4
85;850;85;852016;852165;Ishøj;Ih;;;16,422;S-bane;Trinbræt;;918;STED
85;850;85;853000;;Hundige;Und;17,789;19,384;18,7;S-bane;Station;;919;STED
85;850;85;854020;;Hundige - Karlslunde;Und-Klu;19,384;23,708;;S-bane;Fri Bane;;920;4
85;850;85;854020;854219;Greve;Gre;;;21,8;S-bane;Trinbræt;;921;STED
85;850;85;854023;;Karlslunde;Klu;23,708;24,935;24,248;S-bane;Station;;922;STED
85;850;85;854026;;Karlslunde - Solrød Strand;Klu-Sol;24,935;28,772;;S-bane;Fri Bane;;923;4
85;850;85;854029;;Solrød Strand;Sol;28,772;29,895;29,3;S-bane;Station;;924;STED
85;850;85;854030;;Solrød Strand - Ølsemagle;Sol-Ølm;29,895;32,724;;S-bane;Fri Bane;;925;4
85;850;85;854030;854309;Jersie;Jsi;;;30,754;S-bane;Trinbræt;;926;STED
85;850;85;854033;;Ølsemagle;Ølm;32,724;33,81;33,348;S-bane;Teknisk Station;;927;STED
85;850;85;854034;;Ølsemagle - Køge;Ølm-Kj;33,81;37,443;;S-bane;Fri Bane;;928;4
85;850;85;854034;854341;Køge Nord;Kjn;;;34,094;S-bane;Trinbræt;;929;STED
85;850;85;854034;854363;Ølby;Ølb;;;36,3;S-bane;Trinbræt;;930;STED
85;850;85;855000;;Køge;Kj;37,443;38,98;38,98;S-bane;Station;;931;STED
86;8860;86;862010;;Hellerup - Klampenborg;Hl-Kl;8,556;12,115;;S-bane;Fri Bane;;932;3
86;8860;86;862010;862103;Charlottenlund;Ch;;;10,25;S-bane;Trinbræt;;933;STED
86;8860;86;862010;862116;Ordrup;Op;;;11,6;S-bane;Trinbræt;;934;STED
86;8860;86;863000;;Klampenborg;Kl;12,115;13,411;13,312;S-bane;Station;;935;STED
87;880;88;881000;881003;Ny Ellebjerg;Nel;;;2,348;S-bane;Trinbræt;;936;STED
87;880;88;881000;;Vigerslev;Ig;2,285;3,323;2,5;S-bane;Teknisk Station;;937;STED
87;880;88;882002;;Vigerslev - Flintholm;Ig-Fl;3,323;6,122;;S-bane;Fri Bane;;938;3
87;880;88;882002;882003;Vigerslev Allé;Vgt;;;3,425;S-bane;Trinbræt;;939;STED
87;880;88;882002;882004;Danshøj;Dah;;;4,139;S-bane;Trinbræt;;940;STED
87;880;88;882002;882005;Ålholm;Ålm;;;4,958;S-bane;Trinbræt;;941;STED
87;880;88;882002;882006;KB Hallen;Kbn;;;5,599;S-bane;Trinbræt;;942;STED
87;880;88;882007;;Flintholm;Fl;6,122;7,083;6,6;S-bane;Station;;943;STED
87;880;88;882008;;Flintholm - Lersøen;Fl-Ler;7,083;10,14;;S-bane;Fri Bane;;944;3
87;880;88;882008;882009;Grøndal;Ght;;;7,8;S-bane;Trinbræt;;945;STED
87;880;88;882008;882010;Fuglebakken;Fut;;;8,7;S-bane;Trinbræt;;946;STED
87;880;88;882008;882011;Nørrebro;Nø;;;9,74;S-bane;Trinbræt;;947;STED
87;880;88;883000;882013;Bispebjerg;Bit;;;10,387;S-bane;Trinbræt;;948;STED
87;7,880,8880;88;883000;;Lersøen;Ler;10,14;11,945;10,6;S-bane;Teknisk Station;;949;STED
87;880,8880;88;884012;;Lersøen - Hellerup;Ler-Hl;11,945;12,87;;S-bane;Fri Bane;;950;4
87;880,8880;88;884012;884013;Ryparken;Ryt;;;12;S-bane;Trinbræt;;951;STED
