Tabellennummer;Liniennummer;Laufweg
661;RB 31, RE 13;Mainz - Alzey - Kirchheimbolanden
662;RB 31, RB 35, RE 13;Bingen (Rhein) Stadt - Alzey - Worms Rheinhessenbahn
662_1;RB 65;Monsheim - Kaiserslautern Zellertalbahn
663;;Armsheim - Alzey (Gesamtverkehr)
665;;Ludwigshafen - Mannheim - Heidelberg
665_1_2;;(Mannheim -) Heidelberg - Neckargemünd - Osterburken
665_3_4;;(Mannheim - ) - Schifferstadt - Germersheim - Graben-Neudorf/Wörth - Bruchsal
665_5;;Heidelberg - Meckesheim - Eppingen/Aglasterhausen
666;RB 46;Eiswoog - Grünstadt - Frankenthal
667;RB 45;Monsheim - Grünstadt - Bad Dürkheim - Neustadt
670;RB 71, RB 70, RE 1, RE 68, RE 69, S 1, S 2, S 3, S 4;Saarbrücken - Kaiserslautern - Mannheim
670_1;;Ludwigshafen Hbf-Ludwigshafen BASF
671;RB 67;Kaiserslautern - Landstuhl - Kusel
672;RB 68, RB 64, RB 65, RB 35;Pirmasens Hbf - Pirmasens Nord Gesamtverkehr
672_1;;Kaiserslautern - Pirmasens
672_2;;Bingen - Bad Kreuznach - Kaiserslautern
673;RB 66;Kaiserslautern - Lauterecken-Grumbach Lautertalbahn
674;RB 68;Saarbrücken - Zweibrücken - Pirmasens
675;RB 51, RB 55, RB 56;Pirmasens - Landau
675_1;RB 56;Bundenthal-Rumbach - Hinterweidenthal
676;RE 6, RB 51, RB 53;Neustadt - Landau - Karlsruhe
677;;Wörth - Lauterbourg
678;RB 54;Winden - Bad Bergzabern
679;RB 53;Neustadt - Winden - Wissembourg
680;RB 33, RB 34, RB 76, RB 73, RE 3, RE 2, RB 26, RB 65, RB 67, RE 15;Saarbrücken - Sulzbach - Türkismühle - Bad Kreuznach - Mainz
681;RB 72, RB 76;Saarbrücken - Merchweiler - Neunkirchen - Lebach-Jabach
683;RB 74, RB 76;Illingen - Neunkirchen - Homburg
684;RE 19;Saarbrücken - Sarreguemines - Strasbourg
685;RB 71, RB 77, RE 1;Saarbrücken - Trier Saarstrecke -Trier
687;RB 77;Niedaltdorf - Dillingen
688;;Konz - Trier - Ehrang (Gesamtverkehr)
690;RB 81, RB 82, RE 1, RE 11;Trier - Koblenz Moselstrecke
692;RB 82, RE 17;Trier - Perl ( - Metz Ville ) Obermoselstrecke
693;RE 11;Luxembourg - Wasserbillig - Trier Mosel-Syretal-Strecke
700;;Mannheim - Schwetzingen - Graben-Neudorf - Karlsruhe
701;;Heidelberg - Karlsruhe
702;;Karlsruhe - Offenburg - Freiburg - Müllheim (Baden) - Basel
703;;Freiburg - Müllheim (Baden) - Mulhouse
707;;Neckarbischofsheim - Hüffenhardt
710_1;AVG S 1, AVG S 11;Hochstetten - Karlsruhe - Ittersbach/Bad Herrenalb
710_3;AVG S 3, AVG S 31, AVG S 32, AVG S 71;Odenheim - Menzingen - Karlsruhe - Rastatt
710_4;AVG S 4;Karlsruhe-Eppingen-Heilbronn-Öhringen
710_5;AVG S 5;Pforzheim-Karlsruhe-Wörth
710_6;AVG S 6;Bad Wildbad-Pforzheim
710_7;AVG S 8, AVG S 7, AVG S 71;Achern-Rastatt-Karlsruhe
710_8;AVG S 7, AVG S 8, AVG S 81;Herrenberg-Bondorf-Karlsruhe
710_9;AVG S 9;Bretten-Bruchsal
710_41;AVG S 1, AVG S 5, AVG S 41, AVG S 42;Mosbach (S41)/Sinsheim (S42) - Bad Friedrichshall - Heilbronn
710_51;AVG S 51, AVG S 52;Germersheim-Karlsruhe-Pforzheim
717;;Achern - Ottenhöfen
718;;Offenburg - Appenweier - Bad Griesbach
719;;Strasbourg - Kehl - Appenweier - Offenburg
720;;Offenburg - Villingen - Singen - Konstanz
721;;Offenburg - Hausach - Freudenstadt /Hornberg
722;;Biberach - Oberharmersbach-Riersbach - Oberharmersbach Dorf
723;;Breisach - Endingen - Riegel-Malterdingen
725;;Bad Krozingen - Staufen - Münstertal
726;;Freiburg (Breisgau) - Waldkirch - Elzach
727;;Breisach/Endingen - Freiburg - Titisee - Seebrugg/Neustadt - Donaueschingen
730;;Basel - Waldshut - Schaffhausen - Singen (Hohentwiel)
730_4;SBB S 23, SBB S 27, SBB S 41, SBB S 19;Waldshut - Koblenz - Winterthur/Baden - (Zürich)
731;;Radolfzell - Friedrichshafen
732;;Radolfzell - Stockach
734;;(Zell / Schopfheim) - Steinen - Lörrach - Weil am Rhein
735;;Basel - Lörrach - Schopfheim - Zell - (Todtnau)
737;;Waldshut - Weizen
740;;Stuttgart - Eutingen - Freudenstadt/Horb - Rottweil - Tuttlingen - Singen
742;;Rottweil - Trossingen - Villingen - Donaueschingen - Bräunlingen
742_1;;Trossingen Bahnhof - Trossingen Stadt
743;;Rottweil / Sigmaringen - Tuttlingen - Immendingen - Blumberg - Waldshut
750;;Stuttgart - Göppingen - Geislingen (Steige) - Ulm
751;;Ulm - Aulendorf - Friedrichshafen - Lindau
752;;Aulendorf - Bad Wurzach
753;;Sigmaringen - Aulendorf - Kißlegg - Wangen (Allgäu) - Hergatz
754;;Aulendorf - Pfullendorf
755;;Ulm - Sigmaringen - Tuttlingen - Donaueschingen
757;;Aalen - Heidenheim - Langenau - Ulm
758;;Amstetten - Gerstetten
759;;Ulm-Schelklingen - Münsingen - Engstingen - Gammertingen
760;;Stuttgart - Plochingen - Reutlingen - Tübingen
762;R 82;Nürtingen - Neuffen
763;;(Tübingen) - Metzingen (Württ) - Bad Urach
764;;Tübingen - Herrenberg
766;;Tübingen - Sigmaringen
767;;Eyach - Hechingen
768;;Hechingen - Gammertingen - Sigmaringen
769;;Balingen - Schömberg
770;;Karlsruhe - Pforzheim - Mühlacker - Vaihingen (Enz) - Stuttgart
771;;Mannheim - Heidelberg - Bruchsal - Mühlacker - Vaihingen (Enz) - Stuttgart
771_Fv;;Mannheim - Heidelberg - Bruchsal - Mühlacker - Vaihingen (Enz) - Stuttgart
772;;Mühlacker / Pforzheim - Maulbronn
774;;Pforzheim - Horb - Tübingen
780;;Würzburg - Heilbronn - Stuttgart
781;;Aschaffenburg - Miltenberg - Wertheim
782;;Wertheim - Lauda - Bad Mergentheim - Crailsheim
783;;Heilbronn - Öhringen - Schwäbisch Hall - Crailsheim
784;;Miltenberg - Amorbach - Walldürn - Seckach
785;;Stuttgart - Backnang - Schwäbisch Hall-Hessental - Crailsheim - Nürnberg
786;;Stuttgart - Schwäbisch Gmünd - Aalen - Crailsheim
790_1;;Kirchheim (Teck) - Plochingen - Stuttgart - Böblingen - Herrenberg
790_2_3;;Backnang / Schorndorf - Waiblingen - Stuttgart - S-Flughafen/Messe - Filderstadt
790_4_5;;Bietigheim-Bissingen / Backnang - Marbach - Ludwigsburg - Stuttgart Schwabstraße
790_6;;Weil der Stadt / Böblingen - Renningen - Leonberg - Stuttgart Schwabstraße
790_11;;Kornwestheim - Stuttgart-Untertürkheim
790_21;R 21;Schorndorf - Rudersberg
790_61;R 61;Korntal - Hemmingen - Heimerdingen
790_64;;Kirchheim - Oberlenningen - Unterlenningen
790_72;R 72;Böblingen - Holzgerlingen - Dettenhausen
800;;Aschaffenburg - Würzburg
801;;Schlüchtern - Gemünden
803;EB 50;Gemünden - Bad Kissingen
805;;Würzburg - Nürnberg
806;;Neustadt (A) - Steinach
807;;Fürth - Markt Erlbach
808;;Fürth - Cadolzburg
810;;Würzburg - Bamberg
815;EB 40, EB 50, RE 7, EB 4, RE 7;Meiningen/Grimmenthal// Bad Kissingen - Ebenhausen - Schweinfurt
820;;Nürnberg - Bamberg - Lichtenfels - Sonneberg (Thür)
821;R 22;Forchheim - Ebermannstadt
826;R 26;Bamberg - Ebern
831;R 24;Coburg - Bad Rodach
840;RB 18;Leipzig - Jena - Saalfeld - Kronach - Lichtenfels (- Nürnberg)
850;;Bamberg - Lichtenfels - Neuenmarkt-Wirsberg - Hof/Bayreuth
853;;Münchberg - Helmbrechts
855;;Hof - Marktredwitz - Weiden - Schwandorf - Regensburg
857;;Hof - Naila - Bad Steben
858;;Marktredwitz - Cheb - As - Selb - Hof
860;;Nürnberg - Pegnitz - Bayreuth/Marktredwitz -Cheb/Hof
861;;Nürnberg Nordost - Gräfenberg (Mo-Fr)
862;R 32;Bayreuth - Weidenberg
867;R 43;Bayreuth - Kirchenlaibach - Weiden (Oberpf)
870;;Nürnberg - Weiden - Neustadt (Waldnaab) - Schwandorf
875;;Schwandorf - Cham - Furth i Wald - Domazlice
876;;Cham - Waldmünchen
877;;Cham - Bad Kötzting - Lam
880;;Nürnberg - Regensburg - Passau
890_1;S 1;Bamberg - Erlangen - Fürth - Nürnberg - Hartmannshof
890_2;S 2;Roth - Schwabach - Nürnberg - Feucht - Altdorf
890_3;S 3;Nürnberg - Neumarkt (Oberpf)
890_4;S 4;Nürnberg - Ansbach - Crailsheim
891;;Pegnitz/Simmelsdorf-Hüttenbach - Neunkirchen a Sand - Nürnberg
900;;Nürnberg - Ingolstadt - München
900_1;;Ffm / Fulda-Würzburg-Nürnberg-München (Fv)
905;;Bayerisch Eisenstein - Plattling - Plzen hl.n.
906;;Zwiesel - Grafenau
907;;Zwiesel - Bodenmais
908;;Gotteszell - Viechtach
910;;Nürnberg - Augsburg (Nv)
911;;Roth - Hilpoltstein
912;;Pleinfeld - Gunzenhausen
920;;Würzburg - Ansbach - Treuchtlingen
921;;Steinach - Rothenburg
922;;Wicklesgreuth - Windsbach
930;;Regensburg - Landshut - München
931;;München - Landshut - Passau
932;;Bogen - Straubing - Neufahrn
940;;München - Mühldorf
941;;Linz Hbf - Braunau/Inn - Simbach - Mühldorf
942;;Mühldorf - Burghausen
944;;Mühldorf - Rosenheim
945;;Landshut - Mühldorf - Salzburg
946;;Mühldorf - Pfarrkirchen - Pocking - Passau
947;;Mühldorf - Garching - Traunstein
948;;Grafing - Ebersberg - Wasserburg
950;;München - Rosenheim - Kufstein
951;;München - Rosenheim - Traunstein - Salzburg
951_1;;Salzburg - Freilassing
952;;Prien - Aschau (Chiemgau)
953;;Traunstein - Ruhpolding
954;;Salzburg - Freilassing - Berchtesgaden
955;;München - Holzkirchen - Bayrischzell
956;;München - Holzkirchen - Lenggries/Tegernsee
957;;München - Holzkirchen - Lenggries/Tegernsee
958;;Holzkirchen - Rosenheim - München Hbf
959;;Traunstein - Waging
960;;Innsbruck - Mittenwald - München - München Hbf Gl.27-36
961;;München - Tutzing - Kochel
962;;Weilheim - Peißenberg - Schongau
963;;Murnau - Oberammergau
965;;Reutte - Garmisch-Partenkirchen
970;;München/Augsburg - Buchloe - Kempten - Lindau/Oberstdorf - München - München - München
971;;Augsburg - Buchloe - Türkheim - Bad Wörishofen / Memmingen (Gesamtverkehr) - (Lindau) - München
973;;Kempten - Pfronten - Reutte
974;;Buchloe - Füssen
975;;Ulm - Memmingen - Kempten - (Oberstdorf/Lindau)
976;;Ulm - Senden - Weißenhorn
977;;Ulm - Günzburg (Gv)
978;;Mindelheim - Krumbach - Günzburg
980;;Ulm - Augsburg (Nv)
980_1;;Stuttgart - Ulm - Augsburg - München (Fv)
981;;Augsburg-Oberhausen - München (Nv)
983;;Augsburg - Ingolstadt
985;;Augsburg - Weilheim
986;;Augsburg - Kaufering - Landsberg (Lech)
989;;Aalen - Donauwörth
990;;Treuchtlingen - Ingolstadt
991;;Eichstätt Bahnhof - Eichstätt Stadt
993;;Ulm - Donauwörth - Ingolstadt - Regensburg
998;;München - Deisenhofen - Holzkirchen
999_1;S 1;Freising / Flughafen - Neufahrn - München Ost - Leuchtenbergring
999_2;S 2;Petershausen / Altomünster - München - Erding
999_3;S 3;Mammendorf - München - Holzkirchen
999_4;S 4;Geltendorf - München - Trudering
999_6;S 6;Tutzing - München - Ebersberg
999_7;S 7;Wolfratshausen - München - Kreuzstraße
999_8;S 8;Herrsching - München - München Flughafen
