Tabellennummer;Liniennummer;Laufweg
209_43;RB 43, RE 10, S 4;Cottbus - Leipzig Hbf
209_60;RB 60;Eberswalde - Wriezen - Frankfurt (Oder)
209_61_62;;Eberswalde Hbf - Angermünde - Prenzlau - Schwedt (Oder)
209_66;RB 66, RE66;Szczecin Glowny - Angermünde - (Berlin)
211;RB 11, RE 1;;;RE 14, RB 51;Dessau - Lutherstadt Wittenberg - Falkenberg
225;RB 31, RE 15, RE 18, RB 49, S 4;Elsterwerda-Biehla/Hoyerswerda - Ruhland - Großenhain - Cossebaude - Dresden
226;RB 33;Königsbrück - Dresden-Klotzsche - Dresden
227;RB 34;Kamenz - Radeberg - Dresden
233;RE 2, RE 1, RB 61, RB 60, RB 34, RB 33, S 2;Dresden - Dresden-Klotzsche - Arnsdorf
240;RB 31, RE5;Berlin - Elsterwerda - Dresden
241_1;S 1;Meißen Triebischtal - Coswig - Dresden - Pirna - Schöna
241_1S;RE 20;Dresden - Bad Schandau - Decin hl.n. - Usti nad Labem hl.n. - Litomerice mesto
241_2;S 2;Pirna - Dresden - Dresden Flughafen
242;S 2, S 1;Dresden-Neustadt - Dresden - Heidenau - Pirna
245;RE 50, RE 18, RE 15, RB 31, S 1;Riesa/Großenhain - Priestewitz - Weinböhla - Coswig - Radebeul Ost/Cossebaude - Dresden
246;RE 19, RB 72;Kurort Altenberg - Glashütte - Heidenau - Dresden Müglitztalbahn
247;U 28;Decin hl.n. - Bad Schandau - Sebnitz (Sachs) - Rumburk
247_1;;Goßdorf-Kohlmühle - Porschdorf (Kr. Pirna) - Goßdorf-Kohlmühle
248;RB 71;Pirna - Neustadt (Sachs) - Sebnitz (Sachs)
250;RE 13, RE 14, RE 38, RE 3, RB 51, S 8, S 2;Lutherstadt Wittenberg/Dessau - Bitterfeld - Leipzig/Halle
254;RE 13, RE 14;Magdeburg - Roßlau (Elbe) - Dessau Hbf
256;RE 14, RE 13, RE 7, RE 3, RB 51;Roßlau - Dessau Gesamtverkehr
257;DWE;Dessau - Wörlitz
261;RE 14, RE 13, RE 1, RB 40;Magdeburg - Biederitz (Gesamtverkehr)
300;RE 30;Hannover - Gifhorn - Wolfsburg
301;RE 50, RE 6, RB 36, RB 35;Wolfsburg - Oebisfelde - Stendal
305;RE 20, RB 32, S 1;Uelzen/Wittenberge - Stendal - Zielitz - Magdeburg - Schönebeck-Bad Salzelmen
308;RE 6, RB 36;Wolfsburg - Oebisfelde - Haldensleben - Magdeburg
310;RB 40;Braunschweig - Helmstedt - Magdeburg - Burg (Magdeburg)
312;;Braunschweig - Schöppenstedt
313;RE 50;Hildesheim - Braunschweig
315;RE 31, RE 21, RE 11, RB 43;Magdeburg - Halberstadt - Blankenburg/Thale
320;RE 10;Hannover - Hildesheim - Goslar - Bad Harzburg
325;HSB;Wernigerode - Drei Annen Hohne - Schierke - Brocken
326;HSB;Drei Annen Hohne - Eisfelder Talmühle - Ilfeld - Nordhausen
330;RE 24, RE 21, RE 4, RB 47, RB 44;Goslar - Halberstadt - Aschersleben/Bernburg - Könnern - Halle
333;HSB;Gernrode (Harz) - Harzgerode / Stiege - Hasselfelde / Eisfelder Talmühle
334;RB 50, RB 41;Aschersleben - Köthen - Dessau
335;RE 10, RB 59, RB 41;Magdeburg - Güsten - Aschersleben/Sangerhausen - Sömmerda - Erfurt
339;;Magdeburg - Calbe Ost - Bernburg
340;RE 30;Magdeburg - Calbe (Saale) - Köthen - Halle (Saale)
350;;Hannover - Elze - Kreiensen - Northeim - Göttingen
351;;Einbeck Salzderhelden ( -Göttingen) - Einbeck Mitte
352;;Salzgitter-Lebenstedt - Braunschweig
353;RB 42, RB 43;Braunschweig - Vienenburg - Bad Harzburg / Goslar
354;;Bad Harzburg - Goslar - Seesen - Kreiensen - Göttingen
355;RB 84, RB 85;Paderborn - Ottbergen - Bodenfelde - Göttingen - Holzminden - Kreiensen
356_2;;Bodenfelde - Northeim
357;;Göttingen - Northeim - Herzberg - Nordhausen
358;;Braunschweig - Seesen - Herzberg
360_2;;Nienburg - Wunstorf - Hannover - Weetzen - Haste
360_3;;Hannover - Lehrte - Hildesheim
360_4;;Bennemühlen - Hannover - Hildesheim
360_5;S 5;Hannover Flughafen - Hannover - Hameln - Paderborn
360_6_7;;Hannover - Celle
361_1;;Hannover - Wunstorf
361_2;;Hannover Hbf - Han.-Bismarckstr. - Han.-Liinden/Fischerhof - Weetzen
361_3;;Hannover Hbf - Lehrte
361_4;;Hannover - Hildesheim
370;RE 6, RE 60 (WFB), ERB 61, ERB 69, RE 70 (WFB), RE 78 (ERB);Bielefeld - Minden - Wunstorf - Hannover
372;NWB 77;Bünde - Löhne - Hameln - Hildesheim Weserbahn
373;NWB 79;Hildesheim - Bodenburg Lammetalbahn
375;RE 60 (WFB), ERB 61;Bad Bentheim - Rheine - Osnabrück - Löhne - Bielefeld
376;;Bad Bentheim - Nordhorn - Neuenhaus
380;;Bremen - Hannover
385;ERB 66;Bremen - Osnabrück - Münster
386;WFB70, ERB 71;Rahden - Bünde - Herford - Bielefeld
390;;Bremen - Oldenburg - Emden - Norddeich
391;NWB RS4;Bremen - Hude - Nordenham (RS 4)
392;NWB 18;Wilhelmshaven - Oldenburg - Cloppenburg - Osnabrück
393;NWB 59;Esens (Ostfriesl) - Jever - Sande - Wilhelmshaven
394;NWB 58;Bremen - Vechta - Bramsche - Osnabrück
397;ARR;Leer - Weener - Nieuweschans
400;RE 6, ERB 67, ERB 69;Hamm - Gütersloh - Bielefeld
402;NWB 75;Bielefeld - Halle (Westf) - Osnabrück RB 75 Haller Willem - Bielefeld
403;NWB 74, NWB 84;Bielefeld - Sennestadt - Paderborn
404;ERB 73, ERB 82;Bielefeld - Oerlinghausen - Lage - Lemgo - Lemgo-Lüttfeld
405;ERB 72, ERB 82;Herford - Lage - Detmold - Paderborn
406;ERB 67, ERB 69;Münster - Bielefeld - Lage - Altenbeken
407;RB 64;Münster - Gronau - Enschede
408;RB 63;Münster Zentrum Nord - Münster - Coesfeld
410;RE 7 (National Express), RE 15 (WFB), ERB 65, ERB 69, ERB 89;Rheine - Münster - Hamm
411;ERB 50;Münster - Lünen - Dortmund RB 50 Der Lüner - Lünen
412;RB 51, RB 64;Dortmund - Lünen - Gronau - Enschede
415_1;RE 1, RE 2, ERB 3, RE 5 (bis 08.06.2019), RE 5 (ab 09.06.2019 National Express), RE 6, RE 11 (ABR), RE 19 (ABR), RE 42;Köln - Düsseldorf - Duisburg - Essen
415_2;RE 1, RE 2, ERB 3, RE 6, RE 11 (ABR), RE 16 (ABR), RB 40 (ABR), RE 42;Duisburg - Essen - Dortmund - Hamm (Westf)
416;ERB 3;Düsseldorf - Duisburg - Oberhausen - Dortmund - Hamm (Westf)
420;RE 5 (bis 08.06.2019), RE 5 (ab 09.06.2019 National Express), RE 19 (ABR), RB 35 (ABR);(Amsterdam -) Emmerich - Wesel - Oberhausen - Duisburg (- Köln )
421;RB 19a (ABR);(Düsseldorf - ) Wesel - Bocholt RB 32 Der Bocholter
424;NWB 45;Bottrop - Oberhausen - Duisburg - Moers RE 44
425_Fern;;(Düsseldorf - ) Duisburg - Essen - Gelsenkirchen - Münster
425_Reg;;(Düsseldorf - ) Duisburg - Essen - Gelsenkirchen - Münster
426;RB 43;Dorsten - Wanne-Eickel - Dortmund
427;RE 4, RE 16 (ABR), RB 40 (ABR), S 5;Dortmund - Witten - Hagen
428;RB 46 (ABR);Gelsenkirchen - Wanne-Eickel - Bochum
