Linie;Laufweg
7206;(Freiburg -) Denzlingen - Waldkirch - Gutach - Bleibach - Elzach (- Yach/- Biederbach - Höhenhäuser)
7207;Stadtbus Waldkirch: Gymnasium - Friedhof - Siensbach
7208;Freiburg - Merzhausen - Hexental - Ehrenstetten - Bad Krozingen/- Staufen
7209;Freiburg - Industriegebiet Nord - Denzlingen - Sexau
7211;Stadtbus Breisach Linie 1: Bahnhof - Kupfertor - Burkheimer Straße
7212;Freiburg - Hugstetten - March - Hugstetten - Freiburg
7215;Kirchzarten - Oberried - Hofsgrund - Schauinsland - Notschrei - Todtnau
7216;(Freiburg -) Kirchzarten - Stegen - St. Peter - St. Märgen - Breitnau - Hinterzarten inkl. AST Breitnau/Höllsteig
7231;Herbolzheim - Ringsheim - Rust Europa Park
7236;Elzach - Biederbach - Haslach
7240;Freiburg - Ebringen - Schallstadt - Kirchhofen - Norsingen - Bad Krozingen - Heitersheim (- Müllheim)
7241;Bürgerbusse Bad Krozingen: Oberkrozingen/Kems, Kurgebiet und Parksiedlung
7243;AST Heitersheim - Ballrechten - Oberdottingen (- Sulzburg)
7255;(Menzenschwand -) Seebrugg - Altglashütten < Bärental / Falkau > Titisee (- Neustadt)
7257;Seebrugg - Fischbach - Lenzkirch - Titisee - Neustadt
7258;Neustadt - Lenzkirch - Gündelwangen - Bonndorf
7259;Neustadt - Rötenbach - Löffingen (- Unadingen) inkl. SBG Wanderbus Löffingen - Schattenmühle - Unadingen
7252;Löffingen - Göschweiler - Löffingen
7253;Löffingen - Dittishausen - Löffingen
7261;(St. Peter -) St. Märgen < Jostal / Waldau > Neustadt
7262;Neustadt - Eisenbach - Bubenbach - Neustadt
7268;Panoramabus Triberg - Furtwangen - Thurner - Neustadt
7272;(Waldkirch -) Bleibach - Simonswald - Gütenbach - Furtwangen
7274;Elzach - Oberprechtal (- Triberg)
7300;(Titisee - Feldberg -) Todtnau - Zell i. Wiesental (- Schopfheim)
7319;St. Blasien - Häusern - Seebrugg
7342;Waldshut -/Tiengen - Gurtweil - (Berau -) Ühlingen - Grafenhausen - Seebrugg
7343;Bonndorf - Gündelwangen/- Grafenhausen - Seebrugg
9007;SkiBus Falkau - Altglashütten - Feldberg
9051;FreizeitBus Menzenschwand - Äulemer Kreuz - Aha - Schluchsee
N7200;Nachtbus Freiburg - Denzlingen - Wasser - Emmendingen - Köndringen - Malterdingen - Kenzingen
N7206;Nachtbus Freiburg - Denzlingen - Waldkirch - Gutach - Bleibach - Elzach
N7208;Nachtbus Freiburg - Merzhausen - Hexental - Ehrenkirchen - Scherzingen
N7216;Nachtbus Dreisamtal: Freiburg - Kirchzarten - Stegen - Eschbach - St. Peter inkl. Kirchzarten - Oberried - Hofsgrund
