RL100-Code;RL100-Langname;RL100-Kurzname;Typ Lang;Betriebszustand;PLC;Datum ab;Datum bis;Niederlassung
AA;Hamburg-Altona;Hamburg-Altona;Bf;Betrieb;DE14421;20200401;;2
AA  G;Hamburg-Altona Gbf;Hmb-Altona Gbf;Bft;Betrieb;DE14423;20081214;;2
AABG;Agathenburg;Agathenburg;Hp;Betrieb;DE10046;20200401;;2
AACW;Achterwehr;Achterwehr;Hp;Betrieb;DE10031;20141214;;2
AADF;Adendorf;Adendorf;Bf;Betrieb;DE10040;20081214;;2
AAE;Brest-Aspe;Brest-Aspe;NE-Hp;Betrieb;;20081214;;0
AAG;Ascheberg (Holst);Ascheberg/Holst;Bf;Betrieb;DE10308;20081214;;2
AAGD;Arnis-Grödersby;Arnis-Grödersby;NE-Hp;a.B.;;20090401;;0
AAH;Aumühle;Aumühle;Bf;Betrieb;DE10369;20201001;;9
AAH A;Aumühle Abzw;Aumühle Abzw;Bft Abzw;Betrieb;DE10371;20200401;;2
AAHG;Ahrensburg-Gartenholz;Ahrensburg-Gh;Hp;Betrieb;DE10069;20200401;;2
AAHN;Ahrensburg Nord;Ahrensburg Nord;Awanst;Betrieb;DE10067;20200401;;2
AAHR;Ahrensburg;Ahrensburg;Bf;Betrieb;DE10066;20200401;;2
AAHRW;Ahrensburg West (Bus);Ahrensburg W Bus;Bush;Betrieb;;20150324;;0
AAHZ;Altenholz;Altenholz;NE-Bf;a.B.;;20090401;;0
AAI;Hamburg Airport;Hamburg Airport;Bf;Betrieb;DE14376;20201001;;9
AAL;Albersdorf;Albersdorf;Hp;Betrieb;DE10087;20161211;;2
AALA;Alsen Abzw;Alsen Abzw;Abzw;Betrieb;DE10126;20200401;;2
AALG;Alsen DB-Grenze;Alsen DB-Gr;Gp;Betrieb;DE10127;20200401;;2
AALH;Hamburg-Allermöhe               (S-Bahn);Allermöhe;Hp;Betrieb;DE14420;20201001;;9
AALM;Hamburg-Allermöhe;Allermöhe;Abzw;Betrieb;DE14419;20200401;;2
AALS;Itzehoe Alsen;Alsen;Awanst;Betrieb;DE15254;20200401;;2
AAMP;Hamburg Anckelmannsplatz;Anckelmannsplatz;Üst;Betrieb;DE14378;20200401;;2
AAMS;Aumühle (S-Bahn);Aumühle (S-Bahn);Bf;a.B.;DE10370;20201001;;9
AAN;Hamburg-Altona (neu);Hmb-Altona (neu);Bf;Planung;DE24954;20200401;;2
AAPL;Apeler;Apeler;NE-Bf;Betrieb;;20130904;;0
AAPS;Apensen;Apensen;NE-Bf;Betrieb;;20090401;;0
AAPSB;Apensen BHE;Apensen BHE;Museum;Betrieb;;20030116;;0
AAR;Hamburg Rainweg;Rainweg;Abzw;Betrieb;DE14409;20200401;;2
AARF;Ahrensfelde (Bz Bremen);Ahrensfelde/Brm;NE-Bf;Betrieb;;20081214;;0
AARG;Ahrensburg-Gartenholz           (S-Bahn);Ahrensb-Gartenh;Bf;Planung;DE21742;20201001;;9
AARGF;Ahrensburg-Gartenholz         (Fernbahn);Ahrensb-Gh Fernb;Bft Abzw;Planung;DE21743;20200401;;2
AARS;Ahrensburg                      (S-Bahn);Ahrensbg S-Bahn;Bf;Planung;DE21744;20201001;;9
AARW;Ahrensburg West;Ahrensburg West;Hp;Planung;DE21745;20201001;;9
AAS;Hamburg-Altona                  (S-Bahn);Altona (S-Bahn);Bf;Betrieb;DE14422;20201001;;2
AAS O;Hamburg-Ottensen                (S-Bahn);Hmb-Ottensen S-B;Bft;Planung;DE21565;20201001;;2
AASA;Ashausen Abzw;Ashausen Abzw;Abzw;Betrieb;DE10314;20200401;;2
AASM;Archsum;Archsum;Bush;Betrieb;;19990101;;0
AASN;Ashausen;Ashausen;Hp;Betrieb;DE10313;20200401;;2
AAT;Altengörs;Altengörs;Hp;Betrieb;DE10167;20081214;;2
AAU;Aukrug;Aukrug;Hp;Betrieb;DE10364;20081214;;2
AAV;Alveslohe;Alvesloe;NE-Hp;Betrieb;;20120701;;0
AAW;Hamburg Alte Wöhr;Alte Wöhr;Hp;Betrieb;DE14377;20201001;;9
AAX;Hamburg-Altona ESTW-Z;Hmb-Altona ESTW;BZ;Betrieb;DE24953;20200401;;2
AB;Hamburg-Blankenese;Blankenese;Bf;Betrieb;DE14437;20201001;;9
ABAA;Basdahl;Basdahl;NE-Hp;Betrieb;;20081214;;0
ABAAK;Basdahl-Kluste;Basdahl-Kluste;NE-Hp;Betrieb;;20081214;;0
ABAD;Bardowick;Bardowick;Bf;Betrieb;DE10625;20200401;;2
ABAE;Bargteheide;Bargteheide;Bf;Betrieb;DE10635;20200401;;2
ABAF;Hamburg-Bahrenfeld;Bahrenf (S-Bahn);Hp;Betrieb;DE14424;20201001;;2
ABAG;Hamburg-Barmbek;Hamburg-Barmbek;Bf;Betrieb;DE14426;20200401;;2
ABAH;Hamburg-Bahrenfeld Abzw;Bahrenfeld Abzw;Abzw;Betrieb;DE14425;20201001;;9
ABAL;Barrl;Barrl;Bf;a.B.;DE10643;20030101;;2
ABAP;Hamburg-Barmbek                 (S-Bahn);Barmbek (S-Bahn);Bf;Betrieb;DE14427;20201001;;9
ABAS;Badenstedt (b.Rotenburg (Wümme));Badenstedt;NE-Bf;a.B.;;20090124;;0
ABAT;Bargstedt;Bargstedt;NE-Hp Anst;Betrieb;;20081214;;0
ABAW;Bardowick Hp;Bardowick Hp;Hp;Betrieb;DE10626;20200401;;2
ABB;Bickbargen;Bickbargen;Üst;Betrieb;DE11215;20201001;;9
ABBG;Blocksberg;Blocksberg;NE-Bf;Betrieb;;20081214;;0
ABBK;Hamburg-Billbrook;Hmb-Billbrook;NE-Bf;Betrieb;;20081214;;0
ABCH;Büchen;Büchen;Bf;Betrieb;DE11785;20200401;;2
ABCHG;Büchen Bbf;Büchen Bbf;Bft;Betrieb;DE11786;20081214;;2
ABCL;Barchel;Barchel;NE-Hp;Betrieb;;20090401;;0
ABDD;Breddorf;Breddorf;NE-Bf;a.B.;;20090124;;0
ABDF;Beschendorf;Beschendorf;Bf;Betrieb;DE11185;20200401;;2
ABDS;Hamburg-Bergedorf Süd;Hmb-Berged.Süd;NE-Bf;Betrieb;;20081214;;0
ABE;Beldorf;Beldorf;Hp;Betrieb;DE10750;20081214;;2
ABEF;Beckdorf;Beckdorf;NE-Bf;a.B.;;20090124;;0
ABEV;Bevern (Bremervörde);Bevern;NE-Bf;Betrieb;;20081214;;0
ABF;Bavendorf;Bavendorf;Hp;Betrieb;DE10691;20081214;;2
ABFW;Fehmarn-West;Fehmarn-West;Bf;Planung;DE24952;20200401;;2
ABG;Hamburg-Bergedorf;Hmb-Bergedorf;Bf;Betrieb;DE14429;20200401;;2
ABG G;Hamburg-Bergedorf Gbf;Hmb-Berged Gbf;Bft;Betrieb;DE14431;20090214;;2
ABG S;Hamburg-Bergedorf               (S-Bahn);Hmb-Bergedorf S;Bft;Betrieb;DE14430;20201001;;9
ABGS;Beringstedt;Beringstedt;Hp;Betrieb;DE10825;20081214;;2
ABH;Bokhorst;Bokhorst;Bf;a.B.;DE11451;20200401;;2
ABHT;Bokholt;Bokholt;NE-Hp;Betrieb;;20090401;;0
ABHV;Hamburg-Boberg-Havighorst;Boberg-Havigh;NE-Hp;a.B.;;20090124;;0
ABIL;Bienenbüttel;Bienenbüttel;Bf;Betrieb;DE11232;20200401;;2
ABIS;Hamburg-Billstedt;Hmb-Billstedt;NE-Bf;Betrieb;;20081214;;0
ABK;Brunsbüttel;Brunsbüttel;Bf;Betrieb;DE11760;20081214;;2
ABKN;Brunsbüttel Nord;Brunsbüttel Nord;Bf;a.B.;DE11762;20030101;;2
ABKO;Brunsbüttel Ost;Brunsbüttel Ost;Awanst;a.B.;DE11763;20101212;;2
ABLX;Buchholz (Nordheide) ESTW-UZ;Buchholz ESTW;BZ;Planung;DE24951;20200401;;2
ABLZ;Buchholz (Nordheide);Buchholz (Nordh);Bf;Betrieb;DE11775;20200401;;2
ABLZ1;Buchholz(Nordheide)                  EST;Buchholz(Nordh);Est;Betrieb;;19990101;;0
ABM;Bokelholm;Bokelholm;Bf;a.B.;DE11450;20200401;;2
ABM N;Bokelholm Nord;Bokelholm N;Bk;a.B.;DE21617;20190116;;2
ABM S;Bokelholm Süd;Bokelholm Süd;Bk;a.B.;DE21618;20190116;;2
ABMB;Barmstedt Brunnenstraße;Barm Brunnenstr;NE-Hp;Betrieb;;20120701;;0
ABMS;Barmstedt;Barmstedt;NE-Bf;Betrieb;;20090401;;0
ABNS;Bönningstedt;Bönningstedt;NE-Bft;Betrieb;;20120701;;0
ABOE;Bötersen;Bötersen;NE-Hp;Betrieb;;20130904;;0
ABOS;Boostedt;Boostedt;NE-Bf;Betrieb;;20081214;;0
ABR;Burg (Dithm);Burg (Dithm);Hp;Betrieb;DE11834;20200401;;2
ABRA;Burg (Dithm) Awanst;Burg Awanst;Awanst;a.B.;DE11835;20200401;;2
ABRB;Bredenbek;Bredenbek;Hp;Betrieb;DE11607;20141214;;2
ABRD;Bordesholm;Bordesholm;Bf;Betrieb;DE11488;20200401;;2
ABRI;Brillit;Brillit;NE-Hp Anst;Betrieb;;20081214;;0
ABRM;Brandenbaum;Brandenbaum;Abzw;Betrieb;DE11558;20200401;;2
ABRO;Brockel;Brockel;NE-Bf;Betrieb;;20081214;;0
ABRP;Braderup;Braderup;Bush;Betrieb;;19990101;;0
ABRS;Brokstedt;Brokstedt;Bf;Betrieb;DE11716;20200401;;2
ABS;Hamburg-Billwerder                 (Üst);Billwerder;Üst;Betrieb;DE14433;20201001;;9
ABSC;Bad Schwartau FBQ;B Schwartau FBQ;Bf;Planung;DE24950;20200401;;2
ABSD;Bad Bramstedt;Bad Bramstedt;NE-Bf;Betrieb;;20081214;;0
ABSF;Börnsen;Börnsen;NE-Hp;Betrieb;;20081214;;0
ABSK;Bad Bramstedt Kurhaus;Bad Bramst Kurh;NE-Hp;Betrieb;;20081214;;0
ABSM;Büsum;Büsum;Bf;Betrieb;DE11814;20081214;;2
ABSMH;Büsum Hafen;Büsum Hafen;Slst;Betrieb;;19990101;;0
ABSN;Besenhorst;Besenhorst;NE-Bf;a.B.;;20090124;;0
ABST;Bredstedt;Bredstedt;Bf;Betrieb;DE11608;20200401;;2
ABSTB;Bredstedt Bf;Bredstedt Bf;Bush;Betrieb;;20040303;;0
ABSTM;Bredstedt Marktplatz;Bredstedt Markt;Bush;Betrieb;;19990101;;0
ABTS;Hamburg Berliner Tor;Berliner Tor;Bft;a.B.;DE14379;20201001;;9
ABTSB;Hamburg Berliner Tor         (Bergedorf);Berliner Tor B;Bft;Betrieb;DE14382;20201001;;2
ABTSL;Hamburg Berliner Tor          (Landwehr);Berliner Tor L;Bft;Betrieb;DE14381;20201001;;2
ABUA;Burg (Fehmarn) Abzw;Burg (F) Abzw;Bft Abzw;Betrieb;DE21683;20200401;;2
ABUE;Büdelsdorf;Büdelsdorf;Bft;Planung;DE11794;20201125;;2
ABUF;Fehmarn-Burg;Fehmarn-Burg;NE-Bft;Betrieb;;20120701;;0
ABUG;Burg (Fehmarn) DB-Grenze;Burg (F) DB-Gr;Gp;Betrieb;DE11836;20200401;;2
ABUS;Büsenbachtal;Büsenbachtal;Hp;Betrieb;DE11813;20081214;;2
ABUSS;Alter Schafstall;Alter Schafstall;Museum;Betrieb;;20000414;;0
ABUW;Burg (Fehmarn) West;Burg(F)West;Bf;Betrieb;DE11837;20200401;;2
ABUWN;Burg (Fehmarn) West             Abzw Bft;Burg (F) W Abzw;Bft Abzw;Betrieb;DE25145;20210201;;2
ABV;Bremervörde;Bremervörde;NE-Bf;Betrieb;;20081214;;0
ABVD;Bremervörde Süd;Bremervörde Süd;NE-Bf;Betrieb;;20081214;;0
ABVS;Bad Bevensen;Bad Bevensen;Bf;Betrieb;DE10408;20200401;;2
ABWD;Hamburg-Burgwedel;Burgwedel;NE-Hp;Betrieb;;20081214;;0
ABWG;Buscher Weg;Buscher Weg;Abzw;Planung;DE24980;20200401;;2
ABWM;Hamburg-Billwerder-Moorfleet;Billw-Moorfl;Bf;Betrieb;DE14435;20201001;;9
ABX;Buxtehude;Buxtehude;Bf;Betrieb;DE11880;20200401;;2
ABXA;Buxtehude Abzw;Buxtehude Abzw;Bft Abzw;Betrieb;DE21663;20200401;;2
ABXG;Buxtehude DB-Grenze;Buxtehude DB-Gr;Gp;Betrieb;DE11881;20200401;;2
ABZ;Bützfleth;Bützfleth;Anst;Betrieb;DE11816;20200401;;2
ABZS;Hamburg Betriebszentrale S-Bahn;Hambg BZ S-Bahn;BZ;Betrieb;DE24949;20201001;;2
ACD;Cadenberge;Cadenberge;Bf;Betrieb;DE11883;20081214;;2
ACSS;Hamburg Claudiusstraße;Claudiusstraße;Bf;Planung;DE21746;20201001;;9
ACSSB;Hamburg Bovestraße;Bovestraße;Bft;Planung;DE21747;20201001;;9
ACV;Cuxhaven;Cuxhaven;Bf;Betrieb;DE12029;20081214;;2
ACV A;Cuxhaven Alte Liebe;Cuxhaven Alte Lb;Slst;Betrieb;;19990101;;0
ACV B;Cuxhaven Bf/ZOB;Cuxhaven Bf/ZOB;Bush;Betrieb;;20010320;;0
ACV C;Cuxhaven-Döse Kirche;Cuxhvn-Döse Kir;Bush;Betrieb;;20010315;;0
ACV E;Cuxhaven-Duhnen Seelust;Cuxhvn-Duh Seel;Bush;Betrieb;;20010317;;0
ACV F;Cuxhaven CF;Cuxhaven CF;Bft;Betrieb;DE12030;20081214;;2
ACV G;Cuxhaven Gbf;Cuxhaven Gbf;Bft;Betrieb;DE12032;20081214;;2
ACV H;Cuxhaven Helgoländer Kai;Cuxhv Helgol Kai;Slst;Betrieb;;20021219;;0
ACV K;Cuxhaven Alte Liebe Katamaran;Cuxhv Alte L Kat;Slst;Betrieb;;19990213;;0
ACV L;Cuxhaven Lichtenbergplatz;Cuxhaven Lichten;Bush;Betrieb;;20010315;;0
ACV M;Cuxhaven Amerika Bahnhof;Cux Amerika Bf;fb-Bft;Betrieb;;20100603;;2
ACV N;Cuxhaven Döser Nordfeld;Cuxhvn Dös Nord;Bush;Betrieb;;20010317;;0
ACV O;Cuxhaven-Duhnen Dorfbrunnen;Cuxhvn-Duh Dorf;Bush;Betrieb;;20010315;;0
ACV W;Cuxhaven-Döse Kreuzweg;Cuxhvn-Döse Kreu;Bush;Betrieb;;20010315;;0
ACVG;Cuxhaven DB-Grenze;Cuxhaven DB-Gr;Gp;Betrieb;DE12031;20130905;;2
ACVX;Cuxhaven ESTW;Cuxhaven ESTW;BZ;Betrieb;DE24948;20170916;;2
ADA;Dalldorf;Dalldorf;Bf;Betrieb;DE12053;20081214;;2
ADB;Dannenberg Ost;Dannenberg Ost;Bf;Betrieb;DE12062;20081214;;0
ADBG;Dannenberg Ost DB-Grenze;Dannenb O DB-Gr;Gp;Betrieb;DE12063;20141214;;2
ADBH;Dagebüll Hafen;Dagebüll Hafen;NE-Bf;Betrieb;;20081214;;0
ADBK;Dagebüll Kirche;Dagebüll Kirche;NE-Hp;Betrieb;;20081214;;0
ADDL;Diekjen-Deel;Diekjen-Deel;Bush;Betrieb;;19990101;;0
ADEV;Deutsch Evern;Deutsch Evern;Bf;Betrieb;DE12174;20200401;;2
ADF;Hamburg Dammtor;Hamburg Dammtor;Hp;Betrieb;DE14383;20200401;;2
ADH;Dauenhof;Dauenhof;Bf;Betrieb;DE12093;20200401;;2
ADL;Dahlenburg;Dahlenburg;Bf;Betrieb;DE12046;20081214;;0
ADM;Dagebüll Mole;Dagebüll Mole;NE-Bf;Betrieb;;20081214;;0
ADO;Dorum;Dorum;Bf;Betrieb;DE12420;20081214;;2
ADPA;Padborg DB (DK) entspricht XDPA;Padborg DB XDPA;Emst;Betrieb;;20210224;;0
ADR;Dollern;Dollern;Hp;Betrieb;DE12281;20200401;;2
ADS;Deinste;Deinste;NE-Bf;Betrieb;;20081214;;0
ADS K;Deinste Kleinbf;Deinste Kleinbf;Museum;Betrieb;;20000414;;0
ADST;Hamburg Dammtor                 (S-Bahn);Dammtor (S-Bahn);Hp;Betrieb;DE14384;20201001;;9
ADT;Hamburg Diebsteich;Diebsteich;Bf;Betrieb;DE14385;20201001;;2
ADW;Dannenberg West;Dannenberg West;NE-Hp;Betrieb;;20140601;;0
ADZB;Deezbüll;Deezbüll;NE-Hp;Betrieb;;20081214;;0
AE;Hamburg-Eidelstedt;Hmb-Eidelstedt;Bf;Betrieb;DE14438;20200401;;2
AE  F;Hamburg-Eidelstedt (Ef);Hmb-Eidelst Ef;Bft;Betrieb;DE14440;20081214;;2
AE  N;Hamburg-Eidelstedt (En);Hmb-Eidelst En;Bft;Betrieb;DE14441;20081214;;2
AE  O;Hamburg-Eidelstedt (Eo);Hmb-Eidelst Eo;Bft;Betrieb;DE14442;20100301;;2
AEBG;Escheburg;Escheburg;NE-Hp;Betrieb;;20081214;;0
AEBR;Sankt Annen Eiderbrücke;Eiderbrücke;Üst;Betrieb;DE19253;20200401;;2
AEC;Eckernförde;Eckernförde;Bf;Betrieb;DE12678;20100801;;2
AECH;Echem;Echem;Hp;Betrieb;DE12671;20081214;;2
AECX;Lindaunis ESTW-Z;Lindaunis ESTW;BZ;a.B.;DE24947;20171210;;2
AEF;Einfeld;Einfeld;Hp;Betrieb;DE12777;20200401;;2
AEGG;Hamburg Gutenbergstraße          (DB-Gr);Gutenbergst Gr;Gp;Betrieb;DE24979;20200401;;2
AEGS;Hamburg Elbgaustraße;Elbgaustraße;Bf;Betrieb;DE14386;20201001;;9
AEGT;Hamburg Gutenbergstraße Abzw;Gutenbergst Abzw;Bft Abzw;Betrieb;DE21690;20201001;;9
AEI;Eidersperrwerk;Eidersperrwerk;Slst;Betrieb;;19990101;;0
AEL;Elmshorn;Elmshorn;Bf;Betrieb;DE12832;20200401;;2
AEL B;Elmshorn ZOB;Elmshorn ZOB;Bush;;;20200827;;0
AEL N;Elmshorn Nord;Elmshorn Nord;Bft;Betrieb;DE12833;20081214;;2
AEL W;Elmshorn West;Elmshorn West;Bft;Betrieb;DE12834;20081214;;2
AELA;Ellerau;Ellerau;NE-Bf;Betrieb;;20081214;;0
AELB;Hamburg Elbbrücken;Elbbrücken;Hp;Betrieb;DE21601;20201001;;9
AELS;Hamburg Norderelbe;Norderelbe;Üst;Betrieb;DE21727;20201001;;9
AELX;Elmshorn ESTW-Z;Elmshorn ESTW;BZ;Betrieb;DE24946;20200401;;2
AEN;Hamburg-Eidelstedt                 (AKN);Hmb-Eidelstedt;NE-Bf;a.B.;;20190125;;0
AENG;Hamburg-Eidelstedt Zentrum DB-Gr;Eidelst Zentr Gr;Gp;Betrieb;DE14444;20201001;;9
AENZ;Hamburg-Eidelstedt Zentrum;Hmb-Eidelst Zent;NE-Bf;Betrieb;;20081214;;0
AEOF;Edendorf;Edendorf;Bf;a.B.;DE12683;20200401;;2
AEQ;Hamburg-Eidelstedt Bedienstandort;Hmb-Eidelst BSO;BSO;Planung;;20200401;;2
AERI;Hamburg Ericus;Ericus;Abzw;Betrieb;DE14388;20200401;;2
AESA;Elbgaustraße-Stellingen            (AKN);Stell      (AKN);NE-Bft;Betrieb;;20190131;;0
AESG;Elbgaustraße-Stellingen          (DB-Gr);Stelling (DB-Gr);Gp;Betrieb;DE14445;20201001;;9
AESGW;Elbgaustraße-Stellingen (AKN-Gr);Stell W (AKN-Gr);NE-Gp;Betrieb;;20190131;;0
AESL;Essel (Kr Stade);Essel (Kr Stade);NE-Hp;Betrieb;;20081214;;0
AESQ;Hamburg-Eidelstedt S-Bahn Bedienstandort;Hmb-Eidel SB BSO;BSO;Studie;;20210301;;9
AEST;Hamburg-Eidelstedt              (S-Bahn);Eidelst (S-Bahn);Bft;Betrieb;DE14439;20201001;;9
AESW;Elbgaustraße-Stellingen (Werk S-Bahn);Stell W (S-Bahn);NE-Bft;Betrieb;;20190131;;0
AEU;Eutin;Eutin;Bf;Betrieb;DE13114;20100801;;2
AEX;Hamburg-Eidelstedt ESTW-Z;Hmb-Eidelst ESTW;BZ;Betrieb;DE24945;20200401;;2
AF;Flensburg;Flensburg;Bf;Betrieb;DE13214;20200401;;2
AF  B;Flensburg Bahnhof;Flensburg Bf;Bush;Betrieb;;20080105;;0
AF  Z;Flensburg ZOB;Flensburg ZOB;Bush;Betrieb;;19990101;;0
AFAL;Faulück;Faulück;NE-Hp;a.B.;;20090401;;0
AFB;Hamburg-Klein Flottbek;Klein Flottbek;Bf;Betrieb;DE14458;20201001;;9
AFBG;Hamburg Friedrichsberg;Friedrichsbg;Hp;Betrieb;DE14390;20201001;;9
AFC;Fockbek;Fockbek;Anst;a.B.;DE13235;20200401;;2
AFD;Friedrichstadt;Friedrichstadt;Hp;Betrieb;DE13467;20200401;;2
AFE;Fredenbeck;Fredenbeck;NE-Hp;Betrieb;;20081214;;0
AFEB;Felde-Brandsbek;Felde-Brandsbek;Bf;Betrieb;DE13166;20141214;;2
AFF;Frelsdorf;Frelsdorf;NE-Hp;Betrieb;;20081214;;0
AFFB;Fiefbergen;Fiefbergen;NE-Bf;Betrieb;;20081214;;0
AFHF;Flensburg Alter Bahnhof;Flensbg Alter Bf;Bft;Betrieb;DE13215;20200401;;2
AFIB;Fischbek;Fischbek;Hp;Betrieb;DE13204;20200401;;2
AFK;Fahrenkrug;Fahrenkrug;Bft;Betrieb;DE13130;20081214;;2
AFN;Fresenburg;Fresenburg;Hp;Betrieb;DE13421;20081214;;2
AFR;Flensburg Friedensweg;Friedensweg;Abzw;Betrieb;DE13216;20200401;;2
AFRD;Friedrichsruh;Friedrichsruh;Hp;Betrieb;DE13464;20200401;;2
AFRG;Friedrichsgabe;Friedrichsgabe;NE-Hp;Betrieb;;20081214;;0
AFS;Flensburg Süd;Flensburg Süd;Awanst;Betrieb;DE13218;20200401;;2
AFT;Flintbek;Flintbek;Hp;Betrieb;DE13223;20200401;;2
AFW;Flensburg Weiche;Flensburg Weiche;Bf;Betrieb;DE13219;20200401;;2
AFW S;Flensburg Weiche Süd;Flensbg W Süd;Bft;a.B.;DE13220;20190116;;2
AFX;Flensburg ESTW-Z;Flensburg ESTW;BZ;Betrieb;DE24944;20200401;;2
AGAS;Garstedt;Garstedt;NE-Bf;a.B.;;20090124;;0
AGD;Garding;Garding;Hp;Betrieb;DE13562;20081214;;2
AGD M;Garding Mitte;Garding Mitte;Bush;Betrieb;;20200301;;0
AGEH;Geesthacht;Geesthacht;NE-Bf;Betrieb;;20081214;;0
AGF;Gettorf;Gettorf;Bf;Betrieb;DE13730;20081214;;2
AGH;Göhrde;Göhrde;Hp;Betrieb;DE13811;20081214;;2
AGHI;Grüner Hirsch;Grüner Hirsch;Bf;Betrieb;DE14146;20200401;;2
AGK;Gokels;Gokels;Hp;Betrieb;DE13813;20081214;;2
AGL;Gollau;Gollau;NE-Hp;Betrieb;;20060101;;0
AGNB;Gnarrenburg;Gnarrenburg;NE-Bf;Betrieb;;20081214;;0
AGNBN;Gnarrenburg Nord;Gnarrenburg Nord;NE-Hp;Betrieb;;20081214;;0
AGND;Glinde;Glinde;NE-Bf;Betrieb;;20081214;;0
AGO;Godenstedt;Godenstedt;NE-Bf;Betrieb;;20081214;;0
AGOE;Göhl;Göhl;Bf;Betrieb;DE13810;20200401;;2
AGR;Groß Schlamin;Groß Schlamin;Bf;Betrieb;DE14024;20200401;;2
AGRB;Großenbrode FBQ;Großenbrode FBQ;Bf;Planung;DE24943;20200401;;2
AGRD;Grabow (Kr Dannenberg);Grabow(Dannenbg);NE-Hp;Betrieb;;20060101;;0
AGRH;Großenbrode-Heiligenhafen;Gbrode-Heiligenh;Hp;Planung;DE24942;20200401;;2
AGRO;Großenbrode;Großenbrode;Bf;Betrieb;DE14057;20200401;;2
AGRS;Groß Schlamin FBQ;Gr Schlamin FBQ;Üst;Planung;DE24941;20200401;;2
AGSA;Großenaspe;Großenaspe;NE-Bf;Betrieb;;20081214;;0
AGST;Glückstadt;Glückstadt;Bf;Betrieb;DE13797;20200401;;2
AGTH;Geestenseth;Geestenseth;NE-Bf;Betrieb;;20081214;;0
AGUE;Güster;Güster;Bf;Betrieb;DE14182;20081214;;2
AH;Hamburg Hbf;Hamburg Hbf;Bf;Betrieb;DE14393;20200401;;2
AH  K;Hamburg Hbf Kirchenallee (Bus);Hmb Hbf Kirchena;Bush;Betrieb;;20160628;;0
AH  S;Hamburg Hbf Spitaler Str. (Bus);Hmb Hbf Spitaler;Bush;Betrieb;;20160628;;0
AH  Z;Hamburg Hbf ZOB;Hamburg Hbf ZOB;Bush;Betrieb;;20151006;;0
AHA;Harblek;Harblek;Hp;Betrieb;DE14580;20081214;;2
AHAB;Hamburg-Hammerbrook;Hammerbrook;Bft;Betrieb;DE14446;20201001;;9
AHAF;Haffkrug;Haffkrug;Bf;Betrieb;DE14232;20200401;;2
AHAGL;Hagel;Hagel;Museum;Betrieb;;20170916;;0
AHAK;Haffkrug FBQ;Haffkrug FBQ;Bf Abzw;Planung;;20200401;;2
AHAM;Hammah;Hammah;Hp;Betrieb;DE14524;20081214;;2
AHAN;Handeloh;Handeloh;Bf;Betrieb;DE14541;20081214;;2
AHAR;Hamburg-Harburg;Hmb-Harburg;Bf;Betrieb;DE14447;20200401;;2
AHARB;Hamburg-Harburg Bbf;Hmb-Harburg Bbf;Bft;Betrieb;DE14449;20081214;;2
AHARH;Hamburg-Harburg Betriebsbahnhof Süd;Hmb-Harb Bbf Süd;Bft;Betrieb;DE14450;20081214;;2
AHAX;Hamburg-Harburg ESTW-UZ;Hmb-Harburg ESTW;BZ;Betrieb;DE24940;20200401;;2
AHB;Hamburg Unterelbe;Hmb Unterelbe;Bf;Betrieb;DE14416;20200401;;2
AHBG;Hamburg-Hausbruch DB-Grenze;Hmb-Hausbr DB-Gr;Gp;Betrieb;DE14454;20200401;;2
AHBI;Hamburg-Billwerder;Hmb-Billwerder;Bf;Betrieb;DE14432;20200401;;2
AHBIA;Hamburg-Billwerder-Moorfleet      (Abzw);Billwerder-Moorf;Bft Abzw;Betrieb;DE14436;20200401;;2
AHBIU;Hamburg-Billwerder Ubf;Hmb-Billwerd Ubf;Bft;Betrieb;DE14434;20081214;;2
AHBK;Hollenbek;Hollenbek;Hp;a.B.;DE15043;20200401;;2
AHBR;Hamburg-Hausbruch;Hmb-Hausbruch;Bf;Betrieb;DE14452;20200401;;2
AHBRM;Hamburg-Hausbruch Mitte;Hausbruch Mitte;NE-Bft;Betrieb;;20121209;;0
AHBRS;Hamburg-Hausbruch               (S-Bahn);Hmb-Hausbruch SB;Üst;Betrieb;DE14453;20201001;;9
AHBS;Hamburg Süd;Hamburg Süd;NE-Bft;Betrieb;;20121209;;0
AHBSP;Hamburg Süd Peute;Peute;NE-Bft;Planung;;20210515;20211211;0
AHBT;Hamburg Berliner Tor               (Üst);Hmb Bln Tor Üst;Üst;Betrieb;DE14380;20200401;;2
AHCH;Hamburg Hoheneichen;Hoheneichen;Hp;Betrieb;DE14396;20201001;;9
AHDG;Hamburg Süd DB-Grenze;Hmb Süd DB-Gr;Gp;Betrieb;DE14413;20200401;;2
AHDH;Heudorf-Hüttendorf;Heudorf-Hüttendf;NE-Hp;Betrieb;;20081214;;0
AHDN;Heidenau (Kr.Harburg);Heidenau (Harb);NE-Bf;Betrieb;;20081214;;0
AHDT;Hattstedt;Hattstedt;Üst;Betrieb;DE14630;20200401;;2
AHE;Hemmingstedt;Hemmingstedt;Bf;Betrieb;DE14758;20200401;;2
AHEL;Heeslingen;Heeslingen;NE-Bf;Betrieb;;20081214;;0
AHEM;Hemmoor;Hemmoor;Hp;Betrieb;DE14759;20081214;;2
AHEN;Hechthausen;Hechthausen;Hp Üst;Betrieb;DE14658;20141214;;2
AHER;Heringsdorf (Holst);Heringsdorf(Hol);Bf;a.B.;DE14805;20200401;;2
