Abk;Name;Kurzname;Typ;Betr-Zust;Primary location code;UIC;RB;gültig von;gültig bis;Netz-Key;Fpl-rel;Fpl-Gr
AA;Hamburg-Altona;Hamburg-Altona;Bf;;DE14421;0080;2;20081214;;010934;J;N
AA  G;Hamburg-Altona Gbf;Hmb-Altona Gbf;Bft;;DE14423;0080;2;20081214;;908650;J;N
AABG;Agathenburg;Agathenburg;Hp;;DE10046;0080;2;20081214;;011924;J;N
AACW;Achterwehr;Achterwehr;Hp;;DE10031;0080;2;20141214;;106933;J;N
AADF;Adendorf;Adendorf;Bf;;DE10040;0080;2;20081214;;011601;J;N
AAE;Brest-Aspe;Brest-Aspe;NE-Hp;;;0080;;20081214;;585869;J;N
AAG;Ascheberg (Holst);Ascheberg/Holst;Bf;;DE10308;0080;2;20081214;;013664;J;N
AAGD;Arnis-Grödersby;Arnis-Grödersby;NE-Hp;a.B.;;0080;;20090401;;100307;N;N
AAH;Aumühle;Aumühle;Bf;;DE10369;0080;9;20111211;;685172;J;N
AAH A;Aumühle Abzw;Aumühle Abzw;Bft Abzw;;DE10371;0080;2;20160901;;010595;J;N
AAHG;Ahrensburg-Gartenholz;Ahrensburg-Gh;Hp;;DE10069;0080;2;20091213;;899401;J;N
AAHN;Ahrensburg Nord;Ahrensburg Nord;Awanst;;DE10067;0080;2;20081214;;909500;J;N
AAHR;Ahrensburg;Ahrensburg;Bf;;DE10066;0080;2;20081214;;016287;J;N
AAHRW;Ahrensburg West (Bus);Ahrensburg W Bus;Bush;;;0080;;20150324;;;N;N
AAHZ;Altenholz;Altenholz;NE-Bf;a.B.;;0080;;20090401;;591057;N;N
AAI;Hamburg Airport;Hamburg Airport;Bf;;DE14376;0080;9;20090124;;854711;J;N
AAL;Albersdorf;Albersdorf;Hp;;DE10087;0080;2;20161211;;014498;J;N
AALA;Alsen Abzw;Alsen Abzw;Abzw;;DE10126;0080;2;20101212;;107045;N;N
AALG;Alsen DB-Grenze;Alsen DB-Gr;Gp;;DE10127;0080;2;20091213;;106888;J;J
AALH;Hamburg-Allermöhe               (S-Bahn);Allermöhe;Hp;;DE14420;0080;9;20081214;;399808;J;N
AALM;Hamburg-Allermöhe;Allermöhe;Abzw;;DE14419;0080;2;20081214;;245357;J;N
AALS;Itzehoe Alsen;Alsen;Awanst;;DE15254;0080;2;20081214;;014969;J;N
AAMP;Hamburg Anckelmannsplatz;Anckelmannsplatz;Üst;;DE14378;0080;2;20081214;;304303;J;N
AAMS;Aumühle (S-Bahn);Aumühle (S-Bahn);Bf;a.B.;DE10370;0080;9;20140612;;108053;N;N
AAN;Hamburg-Altona (neu);Hmb-Altona (neu);Bf;Planung;;0080;2;20160101;;109733;N;N
AAPL;Apeler;Apeler;NE-Bf;;;0080;;20130904;;108062;J;N
AAPS;Apensen;Apensen;NE-Bf;;;0080;;20090401;;426031;J;N
AAPSB;Apensen BHE;Apensen BHE;Museum;;;0080;;20030116;;;N;N
AAR;Hamburg Rainweg;Rainweg;Abzw;;DE14409;0080;2;20081214;;017129;J;N
AARF;Ahrensfelde (Bz Bremen);Ahrensfelde/Brm;NE-Bf;;;0080;;20081214;;585646;J;N
AARG;Ahrensburg-Gartenholz           (S-Bahn);Ahrensb-Gartenh;Bf;Planung;DE21742;0080;9;20180224;;110444;N;N
AARGF;Ahrensburg-Gartenholz         (Fernbahn);Ahrensb-Gh Fernb;Bft Abzw;Planung;DE21743;0080;2;20180224;;110449;N;N
AARS;Ahrensburg                      (S-Bahn);Ahrensbg S-Bahn;Bf;Planung;DE21744;0080;9;20180224;;110463;N;N
AARW;Ahrensburg West;Ahrensburg West;Hp;Planung;DE21745;0080;9;20180224;;110462;N;N
AAS;Hamburg-Altona                  (S-Bahn);Altona (S-Bahn);Bf;;DE14422;0080;9;20090214;;010207;J;N
AAS O;Hamburg-Ottensen                (S-Bahn);Hmb-Ottensen S-B;Bft;Planung;DE21565;0080;9;20130905;;108911;N;N
AASA;Ashausen Abzw;Ashausen Abzw;Abzw;;DE10314;0080;2;20140814;;107558;J;N
AASM;Archsum;Archsum;Bush;;;0080;;19990101;;;;
AASN;Ashausen;Ashausen;Hp;;DE10313;0080;2;20140814;;011809;J;N
AAT;Altengörs;Altengörs;Hp;;DE10167;0080;2;20081214;;013383;J;N
AAU;Aukrug;Aukrug;Hp;;DE10364;0080;2;20081214;;014423;J;N
AAV;Alveslohe;Alvesloe;NE-Hp;;;0080;;20120701;;404095;J;N
AAW;Hamburg Alte Wöhr;Alte Wöhr;Hp;;DE14377;0080;9;20081214;;011197;J;N
AAX;Hamburg-Altona ESTW-Z;Hmb-Altona ESTW;BZ;;;0080;2;20110812;;107284;N;N
AB;Hamburg-Blankenese;Blankenese;Bf;;DE14437;0080;9;20081214;;011072;J;N
ABAA;Basdahl;Basdahl;NE-Hp;;;0080;;20081214;;585430;J;N
ABAAK;Basdahl-Kluste;Basdahl-Kluste;NE-Hp;;;0080;;20081214;;912708;J;N
ABAD;Bardowick;Bardowick;Bf;;DE10625;0080;2;20081214;;011775;J;N
ABAE;Bargteheide;Bargteheide;Bf;;DE10635;0080;2;20081214;;016295;J;N
ABAF;Hamburg-Bahrenfeld;Bahrenf (S-Bahn);Hp;;DE14424;0080;9;20081214;;010306;J;N
ABAG;Hamburg-Barmbek;Hamburg-Barmbek;Bf;;DE14426;0080;2;20081214;;011205;J;N
ABAH;Hamburg-Bahrenfeld Abzw;Bahrenfeld Abzw;Abzw;;DE14425;0080;9;20081214;;722694;J;J
ABAL;Barrl;Barrl;Bf;a.B.;DE10643;0080;2;20030101;;012252;N;N
ABAP;Hamburg-Barmbek                 (S-Bahn);Barmbek (S-Bahn);Bf;;DE14427;0080;9;20081214;;010231;J;N
ABAS;Badenstedt (b.Rotenburg (Wümme));Badenstedt;NE-Bf;a.B.;;0080;;20090124;;585075;N;N
ABAT;Bargstedt;Bargstedt;NE-Hp Anst;;;0080;;20081214;;585877;J;N
ABAW;Bardowick Hp;Bardowick Hp;Hp;;DE10626;0080;2;20130905;;107745;J;N
ABB;Bickbargen;Bickbargen;Üst;;DE11215;0080;9;20081214;;102038;J;N
ABBG;Blocksberg;Blocksberg;NE-Bf;;;0080;;20081214;;507053;J;N
ABBK;Hamburg-Billbrook;Hmb-Billbrook;NE-Bf;;;0080;;20081214;;404814;J;N
ABCH;Büchen;Büchen;Bf;;DE11785;0080;2;20100801;;010546;J;N
ABCHG;Büchen Bbf;Büchen Bbf;Bft;;DE11786;0080;2;20081214;;908649;J;N
ABCL;Barchel;Barchel;NE-Hp;;;0080;;20090401;;417048;J;N
ABDD;Breddorf;Breddorf;NE-Bf;a.B.;;0080;;20090124;;585042;N;N
ABDF;Beschendorf;Beschendorf;Bf;;DE11185;0080;2;20081214;;016477;J;N
ABDS;Hamburg-Bergedorf Süd;Hmb-Berged.Süd;NE-Bf;;;0080;;20081214;;404517;J;N
ABE;Beldorf;Beldorf;Hp;;DE10750;0080;2;20081214;;014480;J;N
ABEF;Beckdorf;Beckdorf;NE-Bf;a.B.;;0080;;20090124;;585893;N;N
ABEV;Bevern (Bremervörde);Bevern;NE-Bf;;;0080;;20081214;;585927;J;N
ABF;Bavendorf;Bavendorf;Hp;;DE10691;0080;2;20081214;;011510;J;N
ABG;Hamburg-Bergedorf;Hmb-Bergedorf;Bf;;DE14429;0080;2;20081214;;010637;J;N
ABG G;Hamburg-Bergedorf Gbf;Hmb-Berged Gbf;Bft;;DE14431;0080;2;20090214;;908663;J;N
ABG S;Hamburg-Bergedorf               (S-Bahn);Hmb-Bergedorf S;Bft;;DE14430;0080;9;20090214;;908662;J;N
ABGS;Beringstedt;Beringstedt;Hp;;DE10825;0080;2;20081214;;014456;J;N
ABH;Bokhorst;Bokhorst;Bf;a.B.;DE11451;0080;2;20030101;;013698;N;N
ABHT;Bokholt;Bokholt;NE-Hp;;;0080;;20090401;;438044;J;N
ABHV;Hamburg-Boberg-Havighorst;Boberg-Havigh;NE-Hp;a.B.;;0080;;20090124;;100358;N;N
ABIL;Bienenbüttel;Bienenbüttel;Bf;;DE11232;0080;2;20081214;;011718;J;N
ABIS;Hamburg-Billstedt;Hmb-Billstedt;NE-Bf;;;0080;;20081214;;404921;J;N
ABK;Brunsbüttel;Brunsbüttel;Bf;;DE11760;0080;2;20081214;;015024;J;N
ABKN;Brunsbüttel Nord;Brunsbüttel Nord;Bf;a.B.;DE11762;0080;2;20030101;;334326;N;N
ABKO;Brunsbüttel Ost;Brunsbüttel Ost;Awanst;a.B.;DE11763;0080;2;20101212;;015016;N;N
ABLX;Buchholz (Nordheide) ESTW-UZ;Buchholz ESTW;BZ;Planung;;0080;2;20110812;;106664;N;N
ABLZ;Buchholz (Nordheide);Buchholz (Nordh);Bf;;DE11775;0080;2;20081214;;012336;J;N
ABLZ1;Buchholz(Nordheide)                  EST;Buchholz(Nordh);Est;;;0080;;19990101;;;;
ABM;Bokelholm;Bokelholm;Bf;a.B.;DE11450;0080;2;20030101;;014076;N;N
ABM N;Bokelholm Nord;Bokelholm N;Bk;;DE21617;0080;2;20081214;;912271;J;N
ABM S;Bokelholm Süd;Bokelholm Süd;Bk;;DE21618;0080;2;20081214;;912270;J;N
ABMB;Barmstedt Brunnenstraße;Barm Brunnenstr;NE-Hp;;;0080;;20120701;;438069;J;N
ABMS;Barmstedt;Barmstedt;NE-Bf;;;0080;;20090401;;438077;J;N
ABNS;Bönningstedt;Bönningstedt;NE-Bft;;;0080;;20120701;;404079;J;N
ABOE;Bötersen;Bötersen;NE-Hp;;;0080;;20130904;;108067;J;N
ABOS;Boostedt;Boostedt;NE-Bf;;;0080;;20081214;;404228;J;N
ABR;Burg (Dithm);Burg (Dithm);Hp;;DE11834;0080;2;20101212;;015040;J;N
ABRA;Burg (Dithm) Awanst;Burg Awanst;Awanst;a.B.;DE11835;0080;2;20080101;;720417;N;N
ABRB;Bredenbek;Bredenbek;Hp;;DE11607;0080;2;20141214;;106923;J;N
ABRD;Bordesholm;Bordesholm;Bf;;DE11488;0080;2;20081214;;013003;J;N
ABRI;Brillit;Brillit;NE-Hp Anst;;;0080;;20081214;;585281;J;N
ABRM;Brandenbaum;Brandenbaum;Abzw;;DE11558;0080;2;20110301;;017038;J;N
ABRO;Brockel;Brockel;NE-Bf;;;0080;;20081214;;585992;J;N
ABRP;Braderup;Braderup;Bush;;;0080;;19990101;;;;
ABRS;Brokstedt;Brokstedt;Bf;;DE11716;0080;2;20081214;;012930;J;N
ABS;Hamburg-Billwerder                 (Üst);Billwerder;Üst;;DE14433;0080;9;20081214;;192153;J;N
ABSD;Bad Bramstedt;Bad Bramstedt;NE-Bf;;;0080;;20081214;;404194;J;N
ABSF;Börnsen;Börnsen;NE-Hp;;;0080;;20081214;;404533;J;N
ABSK;Bad Bramstedt Kurhaus;Bad Bramst Kurh;NE-Hp;;;0080;;20081214;;404186;J;N
ABSM;Büsum;Büsum;Bf;;DE11814;0080;2;20081214;;015420;J;N
ABSMH;Büsum Hafen;Büsum Hafen;Slst;;;0080;;19990101;;;;
ABSN;Besenhorst;Besenhorst;NE-Bf;a.B.;;0080;;20090124;;404558;N;N
ABST;Bredstedt;Bredstedt;Bf;;DE11608;0080;2;20081214;;015685;J;N
ABSTB;Bredstedt Bf;Bredstedt Bf;Bush;;;0080;;20040303;;;N;N
ABSTM;Bredstedt Marktplatz;Bredstedt Markt;Bush;;;0080;;19990101;;;;
ABTS;Hamburg Berliner Tor;Berliner Tor;Bft;a.B.;DE14379;0080;9;20171210;20181208;010264;N;N
ABTSB;Hamburg Berliner Tor         (Bergedorf);Berliner Tor B;Bft;;DE14382;0080;9;20171210;;910021;J;N
ABTSL;Hamburg Berliner Tor          (Landwehr);Berliner Tor L;Bft;;DE14381;0080;9;20171210;;910022;J;N
ABUA;Burg (Fehmarn) Abzw;Burg (F) Abzw;Bft Abzw;;DE21683;0080;2;20161211;;109522;J;N
ABUE;Büdelsdorf;Büdelsdorf;Bft;Studie;DE11794;0080;2;20090301;20221231;106926;N;N
ABUF;Fehmarn-Burg;Fehmarn-Burg;NE-Bft;;;0080;;20120701;;016626;J;N
ABUG;Burg (Fehmarn) DB-Grenze;Burg (F) DB-Gr;Gp;;DE11836;0080;2;20091213;;106922;J;J
ABUS;Büsenbachtal;Büsenbachtal;Hp;;DE11813;0080;2;20081214;;012070;J;N
ABUSS;Alter Schafstall;Alter Schafstall;Museum;;;0080;;20000414;;;N;N
ABUW;Burg (Fehmarn) West;Burg(F)West;Bf;;DE11837;0080;2;20081214;;016964;J;N
ABV;Bremervörde;Bremervörde;NE-Bf;;;0080;;20081214;;585778;J;N
ABVD;Bremervörde Süd;Bremervörde Süd;NE-Bf;;;0080;;20081214;;417014;J;N
ABVS;Bad Bevensen;Bad Bevensen;Bf;;DE10408;0080;2;20081214;;011700;J;N
ABWD;Hamburg-Burgwedel;Burgwedel;NE-Hp;;;0080;;20081214;;404061;J;N
ABWM;Hamburg-Billwerder-Moorfleet;Billw-Moorfl;Hp;;DE14435;0080;9;20081214;;010652;J;N
ABX;Buxtehude;Buxtehude;Bf;;DE11880;0080;2;20081214;;011882;J;N
ABXA;Buxtehude Abzw;Buxtehude Abzw;Bft Abzw;;DE21663;0080;2;20151213;;109398;N;N
ABXG;Buxtehude DB-Grenze;Buxtehude DB-Gr;Gp;;DE11881;0080;2;20081214;;884965;J;J
ABZ;Bützfleth;Bützfleth;Anst;;DE11816;0080;2;20030101;;011932;N;N
ABZS;Hamburg Betriebszentrale S-Bahn;Hambg BZ S-Bahn;BZ;;;0080;9;20080101;;104456;N;N
ACD;Cadenberge;Cadenberge;Bf;;DE11883;0080;2;20081214;;012005;J;N
ACSS;Hamburg Claudiusstraße;Claudiusstraße;Bf;Planung;DE21746;0080;9;20180224;;110452;N;N
ACSSB;Hamburg Bovestraße;Bovestraße;Bft;Planung;DE21747;0080;9;20180224;;110453;N;N
ACV;Cuxhaven;Cuxhaven;Bf;;DE12029;0080;2;20081214;;012054;J;N
ACV A;Cuxhaven Alte Liebe;Cuxhaven Alte Lb;Slst;;;0080;;19990101;;;;
ACV B;Cuxhaven Bf/ZOB;Cuxhaven Bf/ZOB;Bush;;;0080;;20010320;;;;
ACV C;Cuxhaven-Döse Kirche;Cuxhvn-Döse Kir;Bush;;;0080;;20010315;;;N;N
ACV E;Cuxhaven-Duhnen Seelust;Cuxhvn-Duh Seel;Bush;;;0080;;20010317;;;N;N
ACV F;Cuxhaven CF;Cuxhaven CF;Bft;;DE12030;0080;2;20081214;;908660;J;N
ACV G;Cuxhaven Gbf;Cuxhaven Gbf;Bft;;DE12032;0080;2;20081214;;911732;J;N
ACV H;Cuxhaven Helgoländer Kai;Cuxhv Helgol Kai;Slst;;;0080;;20021219;;;N;N
ACV K;Cuxhaven Alte Liebe Katamaran;Cuxhv Alte L Kat;Slst;;;0080;;19990213;;;;
ACV L;Cuxhaven Lichtenbergplatz;Cuxhaven Lichten;Bush;;;0080;;20010315;;;N;N
ACV M;Cuxhaven Amerika Bahnhof;Cux Amerika Bf;fb-Bft;;;0080;2;20100603;;911084;J;N
ACV N;Cuxhaven Döser Nordfeld;Cuxhvn Dös Nord;Bush;;;0080;;20010317;;;N;N
ACV O;Cuxhaven-Duhnen Dorfbrunnen;Cuxhvn-Duh Dorf;Bush;;;0080;;20010315;;;N;N
ACV W;Cuxhaven-Döse Kreuzweg;Cuxhvn-Döse Kreu;Bush;;;0080;;20010315;;;N;N
ACVG;Cuxhaven DB-Grenze;Cuxhaven DB-Gr;Gp;;DE12031;0080;2;20130905;;107378;J;N
ACVX;Cuxhaven ESTW;Cuxhaven ESTW;BZ;;;0080;2;20170916;;108601;N;N
ADA;Dalldorf;Dalldorf;Bf;;DE12053;0080;2;20081214;;011569;J;N
ADB;Dannenberg Ost;Dannenberg Ost;Bf;;DE12062;0080;2;20081214;;011460;J;J
ADBG;Dannenberg Ost DB-Grenze;Dannenb O DB-Gr;Gp;;DE12063;0080;2;20141214;;108861;J;N
ADBH;Dagebüll Hafen;Dagebüll Hafen;NE-Bf;;;0080;;20081214;;507079;J;N
ADBK;Dagebüll Kirche;Dagebüll Kirche;NE-Hp;;;0080;;20081214;;507061;J;N
ADDL;Diekjen-Deel;Diekjen-Deel;Bush;;;0080;;19990101;;;;
ADEV;Deutsch Evern;Deutsch Evern;Bf;;DE12174;0080;2;20081214;;011726;J;N
ADF;Hamburg Dammtor;Hamburg Dammtor;Hp;;DE14383;0080;2;20081214;;010892;J;N
ADH;Dauenhof;Dauenhof;Bf;;DE12093;0080;2;20081214;;012914;J;N
ADL;Dahlenburg;Dahlenburg;Bf;;DE12046;0080;2;20081214;;011502;J;N
ADM;Dagebüll Mole;Dagebüll Mole;NE-Bf;;;0080;;20081214;;507087;J;N
ADO;Dorum;Dorum;Bf;;DE12420;0080;2;20081214;;015933;J;N
ADPA;Padborg DB;Padborg DB;Emst;;;0080;;20060528;;;;
ADR;Dollern;Dollern;Hp;;DE12281;0080;2;20081214;;011916;J;N
ADS;Deinste;Deinste;NE-Bf;;;0080;;20081214;;585737;J;N
ADS K;Deinste Kleinbf;Deinste Kleinbf;Museum;;;0080;;20000414;;;N;N
ADST;Hamburg Dammtor                 (S-Bahn);Dammtor (S-Bahn);Hp;;DE14384;0080;9;20081214;;010249;J;N
ADT;Hamburg Diebsteich;Diebsteich;Bf;;DE14385;0080;9;20081214;;012823;J;N
ADW;Dannenberg West;Dannenberg West;NE-Hp;;;0080;;20140601;;011627;J;N
ADZB;Deezbüll;Deezbüll;NE-Hp;;;0080;;20081214;;507004;J;N
AE;Hamburg-Eidelstedt;Hmb-Eidelstedt;Bf;;DE14438;0080;2;20081214;;012807;J;N
AE  F;Hamburg-Eidelstedt (Ef);Hmb-Eidelst Ef;Bft;;DE14440;0080;2;20081214;;908654;J;N
AE  N;Hamburg-Eidelstedt (En);Hmb-Eidelst En;Bft;;DE14441;0080;2;20081214;;908655;J;N
AE  O;Hamburg-Eidelstedt (Eo);Hmb-Eidelst Eo;Bft;;DE14442;0080;2;20100301;;908656;J;J
AEBG;Escheburg;Escheburg;NE-Hp;;;0080;;20081214;;404541;J;N
AEBR;Sankt Annen Eiderbrücke;Eiderbrücke;Üst;;DE19253;0080;2;20081214;;397216;J;N
AEC;Eckernförde;Eckernförde;Bf;;DE12678;0080;2;20100801;;013920;J;N
AECH;Echem;Echem;Hp;;DE12671;0080;2;20081214;;011593;J;N
AECX;Lindaunis ESTW-Z;Lindaunis ESTW;BZ;a.B.;;0080;2;20171210;;106208;N;N
AEF;Einfeld;Einfeld;Hp;;DE12777;0080;2;20081214;;012997;J;N
AEGS;Hamburg Elbgaustraße;Elbgaustraße;Bf;;DE14386;0080;9;20081214;;012773;J;N
AEGT;Hamburg Gutenbergstraße Abzw;Gutenbergst Abzw;Bft Abzw;Planung;DE21690;0080;9;20151022;;109658;N;N
AEI;Eidersperrwerk;Eidersperrwerk;Slst;;;0080;;19990101;;;;
AEL;Elmshorn;Elmshorn;Bf;;DE12832;0080;2;20081214;;012880;J;N
AEL N;Elmshorn Nord;Elmshorn Nord;Bft;;DE12833;0080;2;20081214;;908666;J;N
AEL W;Elmshorn West;Elmshorn West;Bft;;DE12834;0080;2;20081214;;908667;J;N
AELA;Ellerau;Ellerau;NE-Bf;;;0080;;20081214;;404111;J;N
AELB;Hamburg Elbbrücken;Elbbrücken;Hp;Planung;DE21601;0080;9;20170513;20181208;109269;N;N
AELB;Hamburg Elbbrücken;Elbbrücken;Hp;;DE21601;0080;9;20181209;;109269;J;N
AELG;Elmshorn DB-Grenze;Elmshorn DB-Gr;Gp;;DE21669;0080;2;20161211;;109473;J;N
AELS;Hamburg Norderelbe;Norderelbe;Üst;;DE21727;0080;9;20171210;;110148;J;N
AELX;Elmshorn ESTW-Z;Elmshorn ESTW;BZ;;;0080;2;20110812;;107288;N;N
AEN;Hamburg-Eidelstedt                 (AKN);Hmb-Eidelstedt;NE-Bf;;;0080;;20081214;;404046;J;N
AENG;Hamburg-Eidelstedt Zentrum DB-Gr;Eidelst Zentr Gr;Gp;;DE14444;0080;9;20090124;;913374;J;N
AENZ;Hamburg-Eidelstedt Zentrum;Hmb-Eidelst Zent;NE-Bf;;;0080;;20081214;;404947;J;N
AEOF;Edendorf;Edendorf;Bf;a.B.;DE12683;0080;2;20030101;;014399;N;N
AEQ;Hamburg-Eidelstedt Bedienstandort;Hmb-Eidelst BSO;BSO;Planung;;0080;2;20180301;;110483;N;N
AERI;Hamburg Ericus;Ericus;Abzw;;DE14388;0080;2;20081214;;070219;J;N
AESG;Hamburg-Eidelstedt/Stellingen DB-Gr;Hmb-Eidelst Gr;Gp;;DE14445;0080;9;20081214;;913375;N;N
AESL;Essel (Kr Stade);Essel (Kr Stade);NE-Hp;;;0080;;20081214;;585760;J;N
AESQ;Hamburg-Eidelstedt S-Bahn Bedienstandort;Hmb-Eidel SB BSO;BSO;Planung;;0080;9;20180301;;110484;N;N
AEST;Hamburg-Eidelstedt              (S-Bahn);Eidelst (S-Bahn);Bft;;DE14439;0080;9;20111211;;012799;J;N
AEU;Eutin;Eutin;Bf;;DE13114;0080;2;20100801;;013540;J;N
AEX;Hamburg-Eidelstedt ESTW-Z;Hmb-Eidelst ESTW;BZ;;;0080;2;20140108;;109058;N;N
AF;Flensburg;Flensburg;Bf;;DE13214;0080;2;20081214;;014274;J;N
AF  B;Flensburg Bahnhof;Flensburg Bf;Bush;;;0080;;20080105;;;N;N
AF  Z;Flensburg ZOB;Flensburg ZOB;Bush;;;0080;;19990101;;;;
AFAL;Faulück;Faulück;NE-Hp;a.B.;;0080;;20090401;;100316;N;N
AFB;Hamburg-Klein Flottbek;Klein Flottbek;Bf;;DE14458;0080;9;20081214;;011056;J;N
AFBG;Hamburg Friedrichsberg;Friedrichsbg;Hp;;DE14390;0080;9;20081214;;011221;J;N
AFC;Fockbek;Fockbek;Anst;a.B.;DE13235;0080;2;20030101;;014530;N;N
AFD;Friedrichstadt;Friedrichstadt;Hp;;DE13467;0080;2;20101212;;015503;J;N
AFE;Fredenbeck;Fredenbeck;NE-Hp;;;0080;;20081214;;585745;J;N
AFEB;Felde-Brandsbek;Felde-Brandsbek;Bf;;DE13166;0080;2;20141214;;331025;J;N
AFF;Frelsdorf;Frelsdorf;NE-Hp;;;0080;;20081214;;585802;J;N
AFFB;Fiefbergen;Fiefbergen;NE-Bf;;;0080;;20081214;;489120;J;N
AFHF;Flensburg Alter Bahnhof;Flensbg Alter Bf;Bft;;DE13215;0080;2;20030101;;014316;N;N
AFIB;Fischbek;Fischbek;Hp;;DE13204;0080;2;20081214;;873992;J;N
AFK;Fahrenkrug;Fahrenkrug;Bft;;DE13130;0080;2;20081214;;013409;J;N
AFN;Fresenburg;Fresenburg;Hp;;DE13421;0080;2;20081214;;013367;J;N
AFR;Flensburg Friedensweg;Friedensweg;Abzw;;DE13216;0080;2;20081214;;017046;J;N
AFRD;Friedrichsruh;Friedrichsruh;Hp;;DE13464;0080;2;20081214;;010587;J;N
AFRG;Friedrichsgabe;Friedrichsgabe;NE-Hp;;;0080;;20081214;;593061;J;N
AFS;Flensburg Süd;Flensburg Süd;Awanst;;DE13218;0080;2;20081214;;354266;J;N
AFT;Flintbek;Flintbek;Hp;;DE13223;0080;2;20081214;;013011;J;N
AFW;Flensburg Weiche;Flensburg Weiche;Bf;;DE13219;0080;2;20081214;;014241;J;N
AFW S;Flensburg Weiche Süd;Flensbg W Süd;Bft;;DE13220;0080;2;20081214;;910552;J;N
AFX;Flensburg ESTW-Z;Flensburg ESTW;BZ;;;0080;2;20110812;;107286;N;N
AGAS;Garstedt;Garstedt;NE-Bf;a.B.;;0080;;20090124;;593012;N;N
AGD;Garding;Garding;Hp;;DE13562;0080;2;20081214;;015628;J;N
AGD M;Garding Mitte;Garding Mitte;Bush;;;0080;;20160629;20181231;;N;N
AGEH;Geesthacht;Geesthacht;NE-Bf;;;0080;;20081214;;404574;J;N
AGF;Gettorf;Gettorf;Bf;;DE13730;0080;2;20081214;;013896;J;N
AGH;Göhrde;Göhrde;Hp;;DE13811;0080;2;20081214;;011494;J;N
AGHI;Grüner Hirsch;Grüner Hirsch;Bf;;DE14146;0080;2;20081214;;016493;J;N
AGK;Gokels;Gokels;Hp;;DE13813;0080;2;20081214;;014464;J;N
AGL;Gollau;Gollau;NE-Hp;;;0080;;20060101;;425926;N;N
AGNB;Gnarrenburg;Gnarrenburg;NE-Bf;;;0080;;20081214;;585307;J;N
AGNBN;Gnarrenburg Nord;Gnarrenburg Nord;NE-Hp;;;0080;;20081214;;912704;J;N
AGND;Glinde;Glinde;NE-Bf;;;0080;;20081214;;404905;J;N
AGO;Godenstedt;Godenstedt;NE-Bf;;;0080;;20081214;;585943;J;N
AGOE;Göhl;Göhl;Bf;;DE13810;0080;2;20081214;;016527;J;N
AGR;Groß Schlamin;Groß Schlamin;Bf;;DE14024;0080;2;20081214;;016469;J;N
AGRD;Grabow (Kr Dannenberg);Grabow(Dannenbg);NE-Hp;;;0080;;20060101;;425934;N;N
AGRO;Großenbrode;Großenbrode;Bf;;DE14057;0080;2;20081214;;016576;J;N
AGSA;Großenaspe;Großenaspe;NE-Bf;;;0080;;20081214;;404210;J;N
AGST;Glückstadt;Glückstadt;Bf;;DE13797;0080;2;20081214;;014910;J;N
AGTH;Geestenseth;Geestenseth;NE-Bf;;;0080;;20081214;;585810;J;N
AGUE;Güster;Güster;Bf;;DE14182;0080;2;20081214;;016857;J;N
AH;Hamburg Hbf;Hamburg Hbf;Bf;;DE14393;0080;2;20081214;;010710;J;N
AH  K;Hamburg Hbf Kirchenallee (Bus);Hmb Hbf Kirchena;Bush;;;0080;;20160628;;;N;N
AH  S;Hamburg Hbf Spitaler Str. (Bus);Hmb Hbf Spitaler;Bush;;;0080;;20160628;;;N;N
AH  Z;Hamburg Hbf ZOB;Hamburg Hbf ZOB;Bush;;;0080;;20151006;;;N;N
AHA;Harblek;Harblek;Hp;;DE14580;0080;2;20081214;;015586;J;N
AHAB;Hamburg-Hammerbrook;Hammerbrook;Bft;;DE14446;0080;9;20081214;;010405;J;N
AHAF;Haffkrug;Haffkrug;Bf;;DE14232;0080;2;20081214;;016428;J;N
AHAGL;Hagel;Hagel;Museum;;;0080;;20170916;;;N;N
AHAM;Hammah;Hammah;Hp;;DE14524;0080;2;20081214;;011940;J;N
AHAN;Handeloh;Handeloh;Bf;;DE14541;0080;2;20081214;;012195;J;N
AHAR;Hamburg-Harburg;Hmb-Harburg;Bf;;DE14447;0080;2;20081214;;011346;J;N
AHARB;Hamburg-Harburg Bbf;Hmb-Harburg Bbf;Bft;;DE14449;0080;2;20081214;;908657;J;N
AHARH;Hamburg-Harburg Betriebsbahnhof Süd;Hmb-Harb Bbf Süd;Bft;;DE14450;0080;2;20081214;;912305;J;N
AHAX;Hamburg-Harburg ESTW-UZ;Hmb-Harburg ESTW;BZ;;;0080;2;20110812;;106658;N;N
AHB;Hamburg Unterelbe;Hmb Unterelbe;Bf;;DE14416;0080;2;20081214;;011387;J;N
AHBG;Hamburg-Hausbruch DB-Grenze;Hmb-Hausbr DB-Gr;Gp;;DE14454;0080;2;20091213;;106854;J;N
AHBI;Hamburg-Billwerder;Hmb-Billwerder;Bf;;DE14432;0080;2;20081214;;070177;J;J
AHBIA;Hamburg-Billwerder-Moorfleet      (Abzw);Billwerder-Moorf;Bft Abzw;;DE14436;0080;2;20130301;;304360;J;N
AHBIU;Hamburg-Billwerder Ubf;Hmb-Billwerd Ubf;Bft;;DE14434;0080;2;20081214;;908658;J;N
AHBK;Hollenbek;Hollenbek;Hp;a.B.;DE15043;0080;2;20030101;;013151;N;N
AHBR;Hamburg-Hausbruch;Hmb-Hausbruch;Bf;;DE14452;0080;2;20081214;;011858;J;N
