Abk;Name;Kurzname;Typ;Betr-Zust;Primary location code;UIC;RB;gültig von;gültig bis;Netz-Key;Fpl-rel;Fpl-Gr
RFS;Frauenalb-Schielberg;Frauenalb-Schie.;NE-Bf;;;0080;;20081214;;406165;J;N
RFSG;Freiburg-St Georgen;Freibg-St Georg;Hp;;DE13390;0080;6;20081214;;144048;J;N
RFST;Frankenstein (Pfalz);Frankenst/Pfalz;Hp;;DE13265;0080;6;20081214;;194076;J;N
RFT;Frankenthal Hbf;Frankenthal Hbf;Bf;;DE13268;0080;6;20081214;;190736;J;N
RFTL;Friedrichstal (Baden);Friedrichst(Ba);vp-Hp;;DE13469;0080;6;20081224;;140699;J;N
RFTS;Frankenthal Süd;Frankenthal Süd;Hp;;DE13269;0080;6;20141214;;107233;J;N
RFTZ;Fützen;Fützen;Museum;;;0080;;20081214;;;J;N
RFU;Furschenbach;Furschenbach;NE-Bf;;;0080;;20090401;;401067;J;N
RFUE;Fürth (Odenw);Fürth (Odenw);Hp;;DE13515;0080;5;20081214;;113191;J;N
RFW;Freiburg West;Freiburg West;Hp;;DE13387;0080;6;20081214;;143545;J;N
RFWI;Freiburg-Wiehre;Freiburg-Wiehre;Bf;;DE13391;0080;6;20081214;;143644;J;N
RFZ;Freiburg-Zähringen;Freibg-Zähringen;Hp;;DE13392;0080;6;20081214;;143487;J;N
RG;Gottmadingen;Gottmadingen;Bf;;DE13878;0080;6;20081214;;144923;J;N
RGA;Geisingen-Aulfingen;Geisngn-Aulfgn;NE-Hp;;;0080;;20081214;;912805;J;N
RGB;Gengenbach;Gengenbach;Bf;;DE13645;0080;6;20081214;;144972;J;N
RGBA;Gausbach;Gausbach;vp-Hp;;DE13579;0080;6;20081219;;660746;J;N
RGCH;Heddesheim/Hirschberg;Heddesheim/Hberg;Bf;;DE14660;0080;6;20111211;;113316;J;N
RGDN;Gundelfingen;Gundelfingen;Hp Abzw;;DE14197;0080;6;20121209;;384438;J;N
RGDW;Gündelwangen;Gündelwangen;Tp;;;0080;;19990101;;;;
RGE;Germersheim;Germersheim;Bf;;DE13688;0080;6;20081214;;190975;J;N
RGEB;Germersheim Bundeswehr-Depot;Bundeswehr-Depot;Awanst;a.B.;DE13689;0080;6;20101212;;339960;N;N
RGEH;Germersheim Mitte (Hoch);Germersh Mitte/H;Hp;;DE13691;0080;6;20131217;;108501;J;N
RGEM;Germersheim Mitte;Germershm Mitte;Hp;;DE13690;0080;6;20101212;;107080;J;N
RGES;Germersheim Süd;Germershm Süd;Hp;;DE13692;0080;6;20101212;;107081;J;N
RGG;Gaggenau;Gaggenau;vp-Bf;;DE13544;0080;6;20081219;;142547;J;N
RGH;Gottenheim;Gottenheim;Bf;;DE13870;0080;6;20081214;;143586;J;N
RGHA;Geisingen-Hausen;Geisngn-Hausen;NE-Hp;;;0080;;20081214;;912803;J;N
RGHF;Grimmelshofen;Grimmelshofen;Museum;;;0080;;20081214;;;J;N
RGHG;Gottenheim DB/SWEG;Gottenhm DB/SWEG;Gp;;DE13871;0080;6;20101212;;107315;J;N
RGHM;Gönnheim;Gönnheim;NE-Hp;;;0080;;20081214;;592048;J;N
RGHO;Gaienhofen;Gaienhofen;Slst;;;0080;;19990101;;;;
RGK;Geisingen-Kirchen;Geisngn-Kirchen;NE-Hp;;;0080;;20081214;;912804;J;N
RGL;Geisingen-Leipferdingen;Geisngn-Leipferd;NE-Hp;;;0080;;20081214;;912806;J;N
RGM;Grombach;Grombach;Bf;;DE13989;0080;6;20081214;;141945;J;N
RGM K;Grombach Kirchhardter Straße;Grombach Kirchha;Bush;;;0080;;20131031;20181231;;N;N
RGN;Graben-Neudorf;Graben-Neudorf;Bf;;DE13885;0080;6;20081214;;140681;J;N
RGN W;Graben-Neudorf SEW-Eurodrive;Graben-Neud SEW;Bush;;;0080;;20140712;20181231;;N;N
RGNN;Graben-Neudorf Nord;Gra-Neudorf Nord;Hp;;DE13886;0080;6;20081214;;392787;J;N
RGNNP;Graben-Neudorf Nord Polizei;Graben-N Polizei;Bush;;;0080;;20110527;;;N;N
RGO;Gondelsheim (Baden);Gondelshm(Baden);Hp;;DE13835;0080;6;20081214;;140939;J;N
RGOE;Gölshausen;Gölshausen;vp-Bf;;DE13824;0080;6;20081224;;141010;J;N
RGOI;Gölshausen Industriegebiet;Gölsh-Industrie;vp-Bft;;DE13825;0080;6;20101212;;383083;J;N
RGOM;Gochsheim (Baden);Gochsheim(Baden);NE-Bf;;;0080;;20090401;;421230;J;N
RGOR;Godramstein;Godramstein;Bf;;DE13808;0080;6;20081214;;196899;J;N
RGOS;Gondelsheim Schloßstadion;Go Schloßstadion;Hp;;DE13837;0080;6;20081214;;392514;J;N
RGR;Grünstadt;Grünstadt;Bf;;DE14152;0080;6;20081214;;193508;J;N
RGRH;Grenzacher Horn;Grenzacher Horn;Abzw;a.B.;DE13952;0080;6;20030101;;144576;N;N
RGRN;Grünstadt Nord;Grünstadt Nord;Hp;;DE14153;0080;6;20081214;;218628;J;N
RGRO;Großsachsen Ort;Großsachsen Ort;NE-Bf;;;0080;;20081214;;515593;J;N
RGRU;Grunern;Grunern;NE-Anst;a.B.;;0080;;20090401;;487546;N;N
RGRZ;Grenzach;Grenzach;Bf;;DE13951;0080;6;20081214;;144584;J;N
RGS;Gernsbach;Gernsbach;vp-Bf;;DE13698;0080;6;20081219;;142562;J;N
RGSD;Gernsbach Mitte;Gernsbach Mitte;vp-Bft;;DE13699;0080;6;20101212;;660696;J;N
RGSN;Geisingen;Geisingen;Hp;;DE13605;0080;6;20081214;;145334;J;N
RGSS;Grießen (Baden);Grießen (Baden);Hp;;DE13969;0080;6;20081214;;144808;J;N
RGT;Gutach (Schwarzwaldbahn);Gutach/Schwarzw.;Bf;a.B.;DE14213;0080;6;20030101;;145102;N;N
RGTA;Gutach (Breisgau);Gutach(Breisgau);Hp;;DE14212;0080;6;20081214;;143404;J;N
RGTF;Gutach Freilichtmuseum;Gutach Freilicht;Hp;;DE14214;0080;6;20141214;;108156;J;N
RGUN;Gundelsheim (Neckar);Gundelshm/Neckar;Bf;;DE14202;0080;6;20081214;;141325;J;N
RGZ;Grötzingen;Grötzingen;Bf;;DE14122;0080;6;20081214;;141051;J;J
RGZA;Grötzingen AVG;Grötzingen AVG;vp-Bf;;DE14123;0080;6;20081214;;882159;J;J
RGZG;Grötzingen DB/AVG;Grötzing DB/AVG;Gp;;DE14124;0080;6;20081214;;886333;J;N
RGZK;Grötzingen Krappmühlenweg;Grötzgn Krappmw;NE-Bf;;;0080;;20081214;;406124;J;N
RGZM;Grötzingen Kirchstraße;Grötzgn Kirchstr;NE-Hp;;;0080;;20081214;;912619;J;N
RGZO;Grötzingen Oberausstraße;Gz Oberausstr;vp-Bft;;DE14125;0080;6;20101212;;082529;J;J
RH;Heidelberg Hbf;Heidelberg Hbf;Bf;;DE14673;0080;6;20081214;;140210;J;N
RH  A;Heidelberg Seegarten;Heidelbg Seegart;Bush;;;0080;;20160205;20181231;;N;N
RH  B;Heidelberg Bfs-Vorplatz;Heidelberg Bf-Vp;Bush;;;0080;;19990101;;;;
RH  E;Heidelberg Alte Eppelheimer-/E-Maier-Str;Heidelb Ep/Maier;Bush;;;0080;;20180223;;;N;N
RH  G;Heidelberg Gaisbergstraße;Heidelbg Gaisbg;Bush;;;0080;;20120911;20201231;;N;N
RH  L;Heidelberg Hbf Willy-Brandt-Platz;Heidelb Hbf W-Br;Bush;;;0080;;20140730;;;N;N
RH  O;Heidelberg Orthopädische Klinik;Heidelbg Klinik;Bush;;;0080;;20120912;20201231;;N;N
RH  P;Heidelberg Poststraße;Heidelbg Poststr;Bush;;;0080;;20120911;20201231;;N;N
RH  S;Heidelberg Schleuse/Kleingemünder Straße;Heidelbg Schleus;Bush;;;0080;;20120911;20201231;;N;N
RH  W;Heidelberg Hbf Abstellanlage West;Hd Abstell West;Bft;;DE14674;0080;6;20080101;;913302;N;N
RHA;Hausach;Hausach;Bf;;DE14639;0080;6;20081214;;145029;J;N
RHAD;Hardheim;Hardheim;Hp Anst;a.B.;DE14583;0080;6;20030101;;141614;N;N
RHAG;Lörrach-Haagen/Messe;Lö Haagen/Messe;Bft;;DE16478;0080;6;20101212;;144436;J;N
RHAI;Hainstadt (Baden);Hainstadt(Baden);Hp;;DE14293;0080;6;20121209;;141580;J;N
